Orthogroup	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
OG0024141	tr|A0A1X7UBT5|A0A1X7UBT5_AMPQE			
OG0024142	tr|A0A1X7UBU1|A0A1X7UBU1_AMPQE			
OG0024143	tr|A0A1X7UBU8|A0A1X7UBU8_AMPQE			
OG0024144	tr|A0A1X7UBW4|A0A1X7UBW4_AMPQE			
OG0024145	tr|A0A1X7UBW5|A0A1X7UBW5_AMPQE			
OG0024146	tr|A0A1X7UBX3|A0A1X7UBX3_AMPQE			
OG0024147	tr|A0A1X7UBZ6|A0A1X7UBZ6_AMPQE			
OG0024148	tr|A0A1X7UBZ9|A0A1X7UBZ9_AMPQE			
OG0024149	tr|A0A1X7UC02|A0A1X7UC02_AMPQE			
OG0024150	tr|A0A1X7UC15|A0A1X7UC15_AMPQE			
OG0024151	tr|A0A1X7UC16|A0A1X7UC16_AMPQE			
OG0024152	tr|A0A1X7UC21|A0A1X7UC21_AMPQE			
OG0024153	tr|A0A1X7UC34|A0A1X7UC34_AMPQE			
OG0024154	tr|A0A1X7UC37|A0A1X7UC37_AMPQE			
OG0024155	tr|A0A1X7UC40|A0A1X7UC40_AMPQE			
OG0024156	tr|A0A1X7UC53|A0A1X7UC53_AMPQE			
OG0024157	tr|A0A1X7UC61|A0A1X7UC61_AMPQE			
OG0024158	tr|A0A1X7UC75|A0A1X7UC75_AMPQE			
OG0024159	tr|A0A1X7UC82|A0A1X7UC82_AMPQE			
OG0024160	tr|A0A1X7UC86|A0A1X7UC86_AMPQE			
OG0024161	tr|A0A1X7UCA1|A0A1X7UCA1_AMPQE			
OG0024162	tr|A0A1X7UCA7|A0A1X7UCA7_AMPQE			
OG0024163	tr|A0A1X7UCB2|A0A1X7UCB2_AMPQE			
OG0024164	tr|A0A1X7UCB4|A0A1X7UCB4_AMPQE			
OG0024165	tr|A0A1X7UCC6|A0A1X7UCC6_AMPQE			
OG0024166	tr|A0A1X7UCE2|A0A1X7UCE2_AMPQE			
OG0024167	tr|A0A1X7UCE5|A0A1X7UCE5_AMPQE			
OG0024168	tr|A0A1X7UCF2|A0A1X7UCF2_AMPQE			
OG0024169	tr|A0A1X7UCG0|A0A1X7UCG0_AMPQE			
OG0024170	tr|A0A1X7UCG5|A0A1X7UCG5_AMPQE			
OG0024171	tr|A0A1X7UCH7|A0A1X7UCH7_AMPQE			
OG0024172	tr|A0A1X7UCH9|A0A1X7UCH9_AMPQE			
OG0024173	tr|A0A1X7UCI3|A0A1X7UCI3_AMPQE			
OG0024174	tr|A0A1X7UCI5|A0A1X7UCI5_AMPQE			
OG0024175	tr|A0A1X7UCJ7|A0A1X7UCJ7_AMPQE			
OG0024176	tr|A0A1X7UCK5|A0A1X7UCK5_AMPQE			
OG0024177	tr|A0A1X7UCK7|A0A1X7UCK7_AMPQE			
OG0024178	tr|A0A1X7UCK9|A0A1X7UCK9_AMPQE			
OG0024179	tr|A0A1X7UCN1|A0A1X7UCN1_AMPQE			
OG0024180	tr|A0A1X7UCN3|A0A1X7UCN3_AMPQE			
OG0024181	tr|A0A1X7UCP2|A0A1X7UCP2_AMPQE			
OG0024182	tr|A0A1X7UCR1|A0A1X7UCR1_AMPQE			
OG0024183	tr|A0A1X7UCR4|A0A1X7UCR4_AMPQE			
OG0024184	tr|A0A1X7UCR9|A0A1X7UCR9_AMPQE			
OG0024185	tr|A0A1X7UCS0|A0A1X7UCS0_AMPQE			
OG0024186	tr|A0A1X7UCS7|A0A1X7UCS7_AMPQE			
OG0024187	tr|A0A1X7UCS9|A0A1X7UCS9_AMPQE			
OG0024188	tr|A0A1X7UCT9|A0A1X7UCT9_AMPQE			
OG0024189	tr|A0A1X7UCU2|A0A1X7UCU2_AMPQE			
OG0024190	tr|A0A1X7UCU5|A0A1X7UCU5_AMPQE			
OG0024191	tr|A0A1X7UCU9|A0A1X7UCU9_AMPQE			
OG0024192	tr|A0A1X7UCV1|A0A1X7UCV1_AMPQE			
OG0024193	tr|A0A1X7UCW3|A0A1X7UCW3_AMPQE			
OG0024194	tr|A0A1X7UCX3|A0A1X7UCX3_AMPQE			
OG0024195	tr|A0A1X7UCX6|A0A1X7UCX6_AMPQE			
OG0024196	tr|A0A1X7UCX9|A0A1X7UCX9_AMPQE			
OG0024197	tr|A0A1X7UCZ2|A0A1X7UCZ2_AMPQE			
OG0024198	tr|A0A1X7UCZ4|A0A1X7UCZ4_AMPQE			
OG0024199	tr|A0A1X7UCZ7|A0A1X7UCZ7_AMPQE			
OG0024200	tr|A0A1X7UD00|A0A1X7UD00_AMPQE			
OG0024201	tr|A0A1X7UD03|A0A1X7UD03_AMPQE			
OG0024202	tr|A0A1X7UD09|A0A1X7UD09_AMPQE			
OG0024203	tr|A0A1X7UD11|A0A1X7UD11_AMPQE			
OG0024204	tr|A0A1X7UD12|A0A1X7UD12_AMPQE			
OG0024205	tr|A0A1X7UD26|A0A1X7UD26_AMPQE			
OG0024206	tr|A0A1X7UD41|A0A1X7UD41_AMPQE			
OG0024207	tr|A0A1X7UD43|A0A1X7UD43_AMPQE			
OG0024208	tr|A0A1X7UD74|A0A1X7UD74_AMPQE			
OG0024209	tr|A0A1X7UD78|A0A1X7UD78_AMPQE			
OG0024210	tr|A0A1X7UD85|A0A1X7UD85_AMPQE			
OG0024211	tr|A0A1X7UD87|A0A1X7UD87_AMPQE			
OG0024212	tr|A0A1X7UD89|A0A1X7UD89_AMPQE			
OG0024213	tr|A0A1X7UD99|A0A1X7UD99_AMPQE			
OG0024214	tr|A0A1X7UDC2|A0A1X7UDC2_AMPQE			
OG0024215	tr|A0A1X7UDC8|A0A1X7UDC8_AMPQE			
OG0024216	tr|A0A1X7UDD8|A0A1X7UDD8_AMPQE			
OG0024217	tr|A0A1X7UDE4|A0A1X7UDE4_AMPQE			
OG0024218	tr|A0A1X7UDF4|A0A1X7UDF4_AMPQE			
OG0024219	tr|A0A1X7UDF8|A0A1X7UDF8_AMPQE			
OG0024220	tr|A0A1X7UDG0|A0A1X7UDG0_AMPQE			
OG0024221	tr|A0A1X7UDG4|A0A1X7UDG4_AMPQE			
OG0024222	tr|A0A1X7UDH4|A0A1X7UDH4_AMPQE			
OG0024223	tr|A0A1X7UDH5|A0A1X7UDH5_AMPQE			
OG0024224	tr|A0A1X7UDI5|A0A1X7UDI5_AMPQE			
OG0024225	tr|A0A1X7UDI7|A0A1X7UDI7_AMPQE			
OG0024226	tr|A0A1X7UDK3|A0A1X7UDK3_AMPQE			
OG0024227	tr|A0A1X7UDK6|A0A1X7UDK6_AMPQE			
OG0024228	tr|A0A1X7UDL6|A0A1X7UDL6_AMPQE			
OG0024229	tr|A0A1X7UDM4|A0A1X7UDM4_AMPQE			
OG0024230	tr|A0A1X7UDN7|A0A1X7UDN7_AMPQE			
OG0024231	tr|A0A1X7UDQ2|A0A1X7UDQ2_AMPQE			
OG0024232	tr|A0A1X7UDR6|A0A1X7UDR6_AMPQE			
OG0024233	tr|A0A1X7UDR8|A0A1X7UDR8_AMPQE			
OG0024234	tr|A0A1X7UDS0|A0A1X7UDS0_AMPQE			
OG0024235	tr|A0A1X7UDS4|A0A1X7UDS4_AMPQE			
OG0024236	tr|A0A1X7UDU2|A0A1X7UDU2_AMPQE			
OG0024237	tr|A0A1X7UDX4|A0A1X7UDX4_AMPQE			
OG0024238	tr|A0A1X7UDY0|A0A1X7UDY0_AMPQE			
OG0024239	tr|A0A1X7UDY1|A0A1X7UDY1_AMPQE			
OG0024240	tr|A0A1X7UDZ7|A0A1X7UDZ7_AMPQE			
OG0024241	tr|A0A1X7UE15|A0A1X7UE15_AMPQE			
OG0024242	tr|A0A1X7UE21|A0A1X7UE21_AMPQE			
OG0024243	tr|A0A1X7UE22|A0A1X7UE22_AMPQE			
OG0024244	tr|A0A1X7UE23|A0A1X7UE23_AMPQE			
OG0024245	tr|A0A1X7UE76|A0A1X7UE76_AMPQE			
OG0024246	tr|A0A1X7UE79|A0A1X7UE79_AMPQE			
OG0024247	tr|A0A1X7UEA0|A0A1X7UEA0_AMPQE			
OG0024248	tr|A0A1X7UEB9|A0A1X7UEB9_AMPQE			
OG0024249	tr|A0A1X7UEC2|A0A1X7UEC2_AMPQE			
OG0024250	tr|A0A1X7UED9|A0A1X7UED9_AMPQE			
OG0024251	tr|A0A1X7UEE0|A0A1X7UEE0_AMPQE			
OG0024252	tr|A0A1X7UEE6|A0A1X7UEE6_AMPQE			
OG0024253	tr|A0A1X7UEF1|A0A1X7UEF1_AMPQE			
OG0024254	tr|A0A1X7UEF2|A0A1X7UEF2_AMPQE			
OG0024255	tr|A0A1X7UEG0|A0A1X7UEG0_AMPQE			
OG0024256	tr|A0A1X7UEJ1|A0A1X7UEJ1_AMPQE			
OG0024257	tr|A0A1X7UEJ2|A0A1X7UEJ2_AMPQE			
OG0024258	tr|A0A1X7UEJ9|A0A1X7UEJ9_AMPQE			
OG0024259	tr|A0A1X7UEK1|A0A1X7UEK1_AMPQE			
OG0024260	tr|A0A1X7UEK2|A0A1X7UEK2_AMPQE			
OG0024261	tr|A0A1X7UEK8|A0A1X7UEK8_AMPQE			
OG0024262	tr|A0A1X7UEL2|A0A1X7UEL2_AMPQE			
OG0024263	tr|A0A1X7UEM6|A0A1X7UEM6_AMPQE			
OG0024264	tr|A0A1X7UER3|A0A1X7UER3_AMPQE			
OG0024265	tr|A0A1X7UER4|A0A1X7UER4_AMPQE			
OG0024266	tr|A0A1X7UER8|A0A1X7UER8_AMPQE			
OG0024267	tr|A0A1X7UES5|A0A1X7UES5_AMPQE			
OG0024268	tr|A0A1X7UES9|A0A1X7UES9_AMPQE			
OG0024269	tr|A0A1X7UET2|A0A1X7UET2_AMPQE			
OG0024270	tr|A0A1X7UET8|A0A1X7UET8_AMPQE			
OG0024271	tr|A0A1X7UEU2|A0A1X7UEU2_AMPQE			
OG0024272	tr|A0A1X7UEU5|A0A1X7UEU5_AMPQE			
OG0024273	tr|A0A1X7UEV7|A0A1X7UEV7_AMPQE			
OG0024274	tr|A0A1X7UEV8|A0A1X7UEV8_AMPQE			
OG0024275	tr|A0A1X7UEV9|A0A1X7UEV9_AMPQE			
OG0024276	tr|A0A1X7UEW4|A0A1X7UEW4_AMPQE			
OG0024277	tr|A0A1X7UEX0|A0A1X7UEX0_AMPQE			
OG0024278	tr|A0A1X7UEX3|A0A1X7UEX3_AMPQE			
OG0024279	tr|A0A1X7UEY1|A0A1X7UEY1_AMPQE			
OG0024280	tr|A0A1X7UEZ4|A0A1X7UEZ4_AMPQE			
OG0024281	tr|A0A1X7UF08|A0A1X7UF08_AMPQE			
OG0024282	tr|A0A1X7UF09|A0A1X7UF09_AMPQE			
OG0024283	tr|A0A1X7UF10|A0A1X7UF10_AMPQE			
OG0024284	tr|A0A1X7UF11|A0A1X7UF11_AMPQE			
OG0024285	tr|A0A1X7UF13|A0A1X7UF13_AMPQE			
OG0024286	tr|A0A1X7UF16|A0A1X7UF16_AMPQE			
OG0024287	tr|A0A1X7UF32|A0A1X7UF32_AMPQE			
OG0024288	tr|A0A1X7UF44|A0A1X7UF44_AMPQE			
OG0024289	tr|A0A1X7UF58|A0A1X7UF58_AMPQE			
OG0024290	tr|A0A1X7UF61|A0A1X7UF61_AMPQE			
OG0024291	tr|A0A1X7UF71|A0A1X7UF71_AMPQE			
OG0024292	tr|A0A1X7UF97|A0A1X7UF97_AMPQE			
OG0024293	tr|A0A1X7UFA2|A0A1X7UFA2_AMPQE			
OG0024294	tr|A0A1X7UFA8|A0A1X7UFA8_AMPQE			
OG0024295	tr|A0A1X7UFC0|A0A1X7UFC0_AMPQE			
OG0024296	tr|A0A1X7UFE3|A0A1X7UFE3_AMPQE			
OG0024297	tr|A0A1X7UFF4|A0A1X7UFF4_AMPQE			
OG0024298	tr|A0A1X7UFF8|A0A1X7UFF8_AMPQE			
OG0024299	tr|A0A1X7UFH1|A0A1X7UFH1_AMPQE			
OG0024300	tr|A0A1X7UFH4|A0A1X7UFH4_AMPQE			
OG0024301	tr|A0A1X7UFI7|A0A1X7UFI7_AMPQE			
OG0024302	tr|A0A1X7UFI9|A0A1X7UFI9_AMPQE			
OG0024303	tr|A0A1X7UFJ0|A0A1X7UFJ0_AMPQE			
OG0024304	tr|A0A1X7UFK4|A0A1X7UFK4_AMPQE			
OG0024305	tr|A0A1X7UFL2|A0A1X7UFL2_AMPQE			
OG0024306	tr|A0A1X7UFM4|A0A1X7UFM4_AMPQE			
OG0024307	tr|A0A1X7UFN2|A0A1X7UFN2_AMPQE			
OG0024308	tr|A0A1X7UFN7|A0A1X7UFN7_AMPQE			
OG0024309	tr|A0A1X7UFP2|A0A1X7UFP2_AMPQE			
OG0024310	tr|A0A1X7UFP8|A0A1X7UFP8_AMPQE			
OG0024311	tr|A0A1X7UFQ5|A0A1X7UFQ5_AMPQE			
OG0024312	tr|A0A1X7UFR4|A0A1X7UFR4_AMPQE			
OG0024313	tr|A0A1X7UFS9|A0A1X7UFS9_AMPQE			
OG0024314	tr|A0A1X7UFT7|A0A1X7UFT7_AMPQE			
OG0024315	tr|A0A1X7UFU8|A0A1X7UFU8_AMPQE			
OG0024316	tr|A0A1X7UFU9|A0A1X7UFU9_AMPQE			
OG0024317	tr|A0A1X7UFV0|A0A1X7UFV0_AMPQE			
OG0024318	tr|A0A1X7UFV6|A0A1X7UFV6_AMPQE			
OG0024319	tr|A0A1X7UFV7|A0A1X7UFV7_AMPQE			
OG0024320	tr|A0A1X7UFV8|A0A1X7UFV8_AMPQE			
OG0024321	tr|A0A1X7UFV9|A0A1X7UFV9_AMPQE			
OG0024322	tr|A0A1X7UFW3|A0A1X7UFW3_AMPQE			
OG0024323	tr|A0A1X7UFX4|A0A1X7UFX4_AMPQE			
OG0024324	tr|A0A1X7UFY0|A0A1X7UFY0_AMPQE			
OG0024325	tr|A0A1X7UFY3|A0A1X7UFY3_AMPQE			
OG0024326	tr|A0A1X7UFZ7|A0A1X7UFZ7_AMPQE			
OG0024327	tr|A0A1X7UFZ8|A0A1X7UFZ8_AMPQE			
OG0024328	tr|A0A1X7UG09|A0A1X7UG09_AMPQE			
OG0024329	tr|A0A1X7UG15|A0A1X7UG15_AMPQE			
OG0024330	tr|A0A1X7UG24|A0A1X7UG24_AMPQE			
OG0024331	tr|A0A1X7UG31|A0A1X7UG31_AMPQE			
OG0024332	tr|A0A1X7UG36|A0A1X7UG36_AMPQE			
OG0024333	tr|A0A1X7UG39|A0A1X7UG39_AMPQE			
OG0024334	tr|A0A1X7UG42|A0A1X7UG42_AMPQE			
OG0024335	tr|A0A1X7UG57|A0A1X7UG57_AMPQE			
OG0024336	tr|A0A1X7UG66|A0A1X7UG66_AMPQE			
OG0024337	tr|A0A1X7UG67|A0A1X7UG67_AMPQE			
OG0024338	tr|A0A1X7UG75|A0A1X7UG75_AMPQE			
OG0024339	tr|A0A1X7UG87|A0A1X7UG87_AMPQE			
OG0024340	tr|A0A1X7UG95|A0A1X7UG95_AMPQE			
OG0024341	tr|A0A1X7UGA3|A0A1X7UGA3_AMPQE			
OG0024342	tr|A0A1X7UGB8|A0A1X7UGB8_AMPQE			
OG0024343	tr|A0A1X7UGC5|A0A1X7UGC5_AMPQE			
OG0024344	tr|A0A1X7UGD2|A0A1X7UGD2_AMPQE			
OG0024345	tr|A0A1X7UGD6|A0A1X7UGD6_AMPQE			
OG0024346	tr|A0A1X7UGE8|A0A1X7UGE8_AMPQE			
OG0024347	tr|A0A1X7UGF6|A0A1X7UGF6_AMPQE			
OG0024348	tr|A0A1X7UGI1|A0A1X7UGI1_AMPQE			
OG0024349	tr|A0A1X7UGJ4|A0A1X7UGJ4_AMPQE			
OG0024350	tr|A0A1X7UGK9|A0A1X7UGK9_AMPQE			
OG0024351	tr|A0A1X7UGL4|A0A1X7UGL4_AMPQE			
OG0024352	tr|A0A1X7UGM0|A0A1X7UGM0_AMPQE			
OG0024353	tr|A0A1X7UGM5|A0A1X7UGM5_AMPQE			
OG0024354	tr|A0A1X7UGN0|A0A1X7UGN0_AMPQE			
OG0024355	tr|A0A1X7UGN3|A0A1X7UGN3_AMPQE			
OG0024356	tr|A0A1X7UGP1|A0A1X7UGP1_AMPQE			
OG0024357	tr|A0A1X7UGR9|A0A1X7UGR9_AMPQE			
OG0024358	tr|A0A1X7UGS0|A0A1X7UGS0_AMPQE			
OG0024359	tr|A0A1X7UGS2|A0A1X7UGS2_AMPQE			
OG0024360	tr|A0A1X7UGT0|A0A1X7UGT0_AMPQE			
OG0024361	tr|A0A1X7UGT6|A0A1X7UGT6_AMPQE			
OG0024362	tr|A0A1X7UGV1|A0A1X7UGV1_AMPQE			
OG0024363	tr|A0A1X7UGV5|A0A1X7UGV5_AMPQE			
OG0024364	tr|A0A1X7UGV8|A0A1X7UGV8_AMPQE			
OG0024365	tr|A0A1X7UGW1|A0A1X7UGW1_AMPQE			
OG0024366	tr|A0A1X7UGW9|A0A1X7UGW9_AMPQE			
OG0024367	tr|A0A1X7UGX1|A0A1X7UGX1_AMPQE			
OG0024368	tr|A0A1X7UGX8|A0A1X7UGX8_AMPQE			
OG0024369	tr|A0A1X7UGY4|A0A1X7UGY4_AMPQE			
OG0024370	tr|A0A1X7UGY6|A0A1X7UGY6_AMPQE			
OG0024371	tr|A0A1X7UH45|A0A1X7UH45_AMPQE			
OG0024372	tr|A0A1X7UH47|A0A1X7UH47_AMPQE			
OG0024373	tr|A0A1X7UH49|A0A1X7UH49_AMPQE			
OG0024374	tr|A0A1X7UH50|A0A1X7UH50_AMPQE			
OG0024375	tr|A0A1X7UH53|A0A1X7UH53_AMPQE			
OG0024376	tr|A0A1X7UH64|A0A1X7UH64_AMPQE			
OG0024377	tr|A0A1X7UH66|A0A1X7UH66_AMPQE			
OG0024378	tr|A0A1X7UH73|A0A1X7UH73_AMPQE			
OG0024379	tr|A0A1X7UH85|A0A1X7UH85_AMPQE			
OG0024380	tr|A0A1X7UH87|A0A1X7UH87_AMPQE			
OG0024381	tr|A0A1X7UH94|A0A1X7UH94_AMPQE			
OG0024382	tr|A0A1X7UHA1|A0A1X7UHA1_AMPQE			
OG0024383	tr|A0A1X7UHA2|A0A1X7UHA2_AMPQE			
OG0024384	tr|A0A1X7UHA8|A0A1X7UHA8_AMPQE			
OG0024385	tr|A0A1X7UHC0|A0A1X7UHC0_AMPQE			
OG0024386	tr|A0A1X7UHC4|A0A1X7UHC4_AMPQE			
OG0024387	tr|A0A1X7UHC6|A0A1X7UHC6_AMPQE			
OG0024388	tr|A0A1X7UHC9|A0A1X7UHC9_AMPQE			
OG0024389	tr|A0A1X7UHF5|A0A1X7UHF5_AMPQE			
OG0024390	tr|A0A1X7UHF8|A0A1X7UHF8_AMPQE			
OG0024391	tr|A0A1X7UHJ3|A0A1X7UHJ3_AMPQE			
OG0024392	tr|A0A1X7UHL6|A0A1X7UHL6_AMPQE			
OG0024393	tr|A0A1X7UHM5|A0A1X7UHM5_AMPQE			
OG0024394	tr|A0A1X7UHN2|A0A1X7UHN2_AMPQE			
OG0024395	tr|A0A1X7UHN3|A0A1X7UHN3_AMPQE			
OG0024396	tr|A0A1X7UHP8|A0A1X7UHP8_AMPQE			
OG0024397	tr|A0A1X7UHQ0|A0A1X7UHQ0_AMPQE			
OG0024398	tr|A0A1X7UHQ6|A0A1X7UHQ6_AMPQE			
OG0024399	tr|A0A1X7UHS8|A0A1X7UHS8_AMPQE			
OG0024400	tr|A0A1X7UHT0|A0A1X7UHT0_AMPQE			
OG0024401	tr|A0A1X7UHT2|A0A1X7UHT2_AMPQE			
OG0024402	tr|A0A1X7UHU2|A0A1X7UHU2_AMPQE			
OG0024403	tr|A0A1X7UHU5|A0A1X7UHU5_AMPQE			
OG0024404	tr|A0A1X7UHW5|A0A1X7UHW5_AMPQE			
OG0024405	tr|A0A1X7UHW8|A0A1X7UHW8_AMPQE			
OG0024406	tr|A0A1X7UHY6|A0A1X7UHY6_AMPQE			
OG0024407	tr|A0A1X7UHZ1|A0A1X7UHZ1_AMPQE			
OG0024408	tr|A0A1X7UI32|A0A1X7UI32_AMPQE			
OG0024409	tr|A0A1X7UI39|A0A1X7UI39_AMPQE			
OG0024410	tr|A0A1X7UI42|A0A1X7UI42_AMPQE			
OG0024411	tr|A0A1X7UI63|A0A1X7UI63_AMPQE			
OG0024412	tr|A0A1X7UI80|A0A1X7UI80_AMPQE			
OG0024413	tr|A0A1X7UI81|A0A1X7UI81_AMPQE			
OG0024414	tr|A0A1X7UI83|A0A1X7UI83_AMPQE			
OG0024415	tr|A0A1X7UI97|A0A1X7UI97_AMPQE			
OG0024416	tr|A0A1X7UIB4|A0A1X7UIB4_AMPQE			
OG0024417	tr|A0A1X7UIC4|A0A1X7UIC4_AMPQE			
OG0024418	tr|A0A1X7UIE7|A0A1X7UIE7_AMPQE			
OG0024419	tr|A0A1X7UIF9|A0A1X7UIF9_AMPQE			
OG0024420	tr|A0A1X7UIH9|A0A1X7UIH9_AMPQE			
OG0024421	tr|A0A1X7UII2|A0A1X7UII2_AMPQE			
OG0024422	tr|A0A1X7UII5|A0A1X7UII5_AMPQE			
OG0024423	tr|A0A1X7UII7|A0A1X7UII7_AMPQE			
OG0024424	tr|A0A1X7UII9|A0A1X7UII9_AMPQE			
OG0024425	tr|A0A1X7UIJ6|A0A1X7UIJ6_AMPQE			
OG0024426	tr|A0A1X7UIL4|A0A1X7UIL4_AMPQE			
OG0024427	tr|A0A1X7UIL5|A0A1X7UIL5_AMPQE			
OG0024428	tr|A0A1X7UIL7|A0A1X7UIL7_AMPQE			
OG0024429	tr|A0A1X7UIM8|A0A1X7UIM8_AMPQE			
OG0024430	tr|A0A1X7UIT2|A0A1X7UIT2_AMPQE			
OG0024431	tr|A0A1X7UIT7|A0A1X7UIT7_AMPQE			
OG0024432	tr|A0A1X7UIU4|A0A1X7UIU4_AMPQE			
OG0024433	tr|A0A1X7UIV1|A0A1X7UIV1_AMPQE			
OG0024434	tr|A0A1X7UIV3|A0A1X7UIV3_AMPQE			
OG0024435	tr|A0A1X7UIV9|A0A1X7UIV9_AMPQE			
OG0024436	tr|A0A1X7UIW0|A0A1X7UIW0_AMPQE			
OG0024437	tr|A0A1X7UIW8|A0A1X7UIW8_AMPQE			
OG0024438	tr|A0A1X7UIX4|A0A1X7UIX4_AMPQE			
OG0024439	tr|A0A1X7UIX9|A0A1X7UIX9_AMPQE			
OG0024440	tr|A0A1X7UIY0|A0A1X7UIY0_AMPQE			
OG0024441	tr|A0A1X7UIY3|A0A1X7UIY3_AMPQE			
OG0024442	tr|A0A1X7UIY6|A0A1X7UIY6_AMPQE			
OG0024443	tr|A0A1X7UIZ1|A0A1X7UIZ1_AMPQE			
OG0024444	tr|A0A1X7UIZ2|A0A1X7UIZ2_AMPQE			
OG0024445	tr|A0A1X7UIZ9|A0A1X7UIZ9_AMPQE			
OG0024446	tr|A0A1X7UJ13|A0A1X7UJ13_AMPQE			
OG0024447	tr|A0A1X7UJ27|A0A1X7UJ27_AMPQE			
OG0024448	tr|A0A1X7UJ32|A0A1X7UJ32_AMPQE			
OG0024449	tr|A0A1X7UJ42|A0A1X7UJ42_AMPQE			
OG0024450	tr|A0A1X7UJ43|A0A1X7UJ43_AMPQE			
OG0024451	tr|A0A1X7UJ46|A0A1X7UJ46_AMPQE			
OG0024452	tr|A0A1X7UJ59|A0A1X7UJ59_AMPQE			
OG0024453	tr|A0A1X7UJ60|A0A1X7UJ60_AMPQE			
OG0024454	tr|A0A1X7UJ65|A0A1X7UJ65_AMPQE			
OG0024455	tr|A0A1X7UJ69|A0A1X7UJ69_AMPQE			
OG0024456	tr|A0A1X7UJ70|A0A1X7UJ70_AMPQE			
OG0024457	tr|A0A1X7UJ73|A0A1X7UJ73_AMPQE			
OG0024458	tr|A0A1X7UJ74|A0A1X7UJ74_AMPQE			
OG0024459	tr|A0A1X7UJ96|A0A1X7UJ96_AMPQE			
OG0024460	tr|A0A1X7UJ99|A0A1X7UJ99_AMPQE			
OG0024461	tr|A0A1X7UJA0|A0A1X7UJA0_AMPQE			
OG0024462	tr|A0A1X7UJB0|A0A1X7UJB0_AMPQE			
OG0024463	tr|A0A1X7UJD0|A0A1X7UJD0_AMPQE			
OG0024464	tr|A0A1X7UJD2|A0A1X7UJD2_AMPQE			
OG0024465	tr|A0A1X7UJE0|A0A1X7UJE0_AMPQE			
OG0024466	tr|A0A1X7UJI0|A0A1X7UJI0_AMPQE			
OG0024467	tr|A0A1X7UJI5|A0A1X7UJI5_AMPQE			
OG0024468	tr|A0A1X7UJJ3|A0A1X7UJJ3_AMPQE			
OG0024469	tr|A0A1X7UJJ5|A0A1X7UJJ5_AMPQE			
OG0024470	tr|A0A1X7UJK0|A0A1X7UJK0_AMPQE			
OG0024471	tr|A0A1X7UJK4|A0A1X7UJK4_AMPQE			
OG0024472	tr|A0A1X7UJK8|A0A1X7UJK8_AMPQE			
OG0024473	tr|A0A1X7UJL3|A0A1X7UJL3_AMPQE			
OG0024474	tr|A0A1X7UJL5|A0A1X7UJL5_AMPQE			
OG0024475	tr|A0A1X7UJM6|A0A1X7UJM6_AMPQE			
OG0024476	tr|A0A1X7UJN4|A0A1X7UJN4_AMPQE			
OG0024477	tr|A0A1X7UJP8|A0A1X7UJP8_AMPQE			
OG0024478	tr|A0A1X7UJQ3|A0A1X7UJQ3_AMPQE			
OG0024479	tr|A0A1X7UJQ5|A0A1X7UJQ5_AMPQE			
OG0024480	tr|A0A1X7UJR7|A0A1X7UJR7_AMPQE			
OG0024481	tr|A0A1X7UJS5|A0A1X7UJS5_AMPQE			
OG0024482	tr|A0A1X7UJS6|A0A1X7UJS6_AMPQE			
OG0024483	tr|A0A1X7UJS7|A0A1X7UJS7_AMPQE			
OG0024484	tr|A0A1X7UJS9|A0A1X7UJS9_AMPQE			
OG0024485	tr|A0A1X7UJT1|A0A1X7UJT1_AMPQE			
OG0024486	tr|A0A1X7UJT2|A0A1X7UJT2_AMPQE			
OG0024487	tr|A0A1X7UJU0|A0A1X7UJU0_AMPQE			
OG0024488	tr|A0A1X7UJU2|A0A1X7UJU2_AMPQE			
OG0024489	tr|A0A1X7UJU3|A0A1X7UJU3_AMPQE			
OG0024490	tr|A0A1X7UJU4|A0A1X7UJU4_AMPQE			
OG0024491	tr|A0A1X7UJU7|A0A1X7UJU7_AMPQE			
OG0024492	tr|A0A1X7UJV7|A0A1X7UJV7_AMPQE			
OG0024493	tr|A0A1X7UJV9|A0A1X7UJV9_AMPQE			
OG0024494	tr|A0A1X7UJX7|A0A1X7UJX7_AMPQE			
OG0024495	tr|A0A1X7UJY1|A0A1X7UJY1_AMPQE			
OG0024496	tr|A0A1X7UJY6|A0A1X7UJY6_AMPQE			
OG0024497	tr|A0A1X7UJY8|A0A1X7UJY8_AMPQE			
OG0024498	tr|A0A1X7UJZ1|A0A1X7UJZ1_AMPQE			
OG0024499	tr|A0A1X7UJZ2|A0A1X7UJZ2_AMPQE			
OG0024500	tr|A0A1X7UK15|A0A1X7UK15_AMPQE			
OG0024501	tr|A0A1X7UK30|A0A1X7UK30_AMPQE			
OG0024502	tr|A0A1X7UK37|A0A1X7UK37_AMPQE			
OG0024503	tr|A0A1X7UK47|A0A1X7UK47_AMPQE			
OG0024504	tr|A0A1X7UK48|A0A1X7UK48_AMPQE			
OG0024505	tr|A0A1X7UK50|A0A1X7UK50_AMPQE			
OG0024506	tr|A0A1X7UK51|A0A1X7UK51_AMPQE			
OG0024507	tr|A0A1X7UK59|A0A1X7UK59_AMPQE			
OG0024508	tr|A0A1X7UK67|A0A1X7UK67_AMPQE			
OG0024509	tr|A0A1X7UK81|A0A1X7UK81_AMPQE			
OG0024510	tr|A0A1X7UK94|A0A1X7UK94_AMPQE			
