Orthogroup	Niphates_augustus.hints.aa	Ephydatia_Emu_v1_prots
OG0001961	jg13944.t1	Em0015g736a, Em0306g5a, Em0305g7a
OG0001962	jg13477.t2, jg30299.t3, jg13477.t3, jg13477.t1, jg30299.t1, jg30299.t2	Em0018g788a
OG0001963	jg19127.t1	Em0783g1a, Em0001g2638a, Em0001g2564a, Em0001g2597a, Em0001g2422a, Em0001g2617a, Em0001g2637a, Em0001g2565a
OG0001964	jg1151.t2, jg1151.t1, jg10074.t1, jg10074.t2, jg1151.t3, jg10075.t1	Em0001g409a, Em0001g404a
OG0001965	jg25303.t1	Em0018g256a, Em0115g6a, Em0419g1a, Em0018g255a, Em0115g7a
OG0001966	jg25153.t1, jg25154.t1, jg25141.t1, jg25143.t1	Em0015g170a
OG0001967	jg25550.t1	Em0019g659a, Em0004g1214a, Em0019g947a
OG0001967	jg14463.t1	Em0221g1a, Em0019g976a
OG0001968	jg4070.t1, jg25929.t1, jg25927.t1, jg4063.t1, jg25931.t1	Em0002g288a, Em0019g679a, Em0015g14a, Em0006g1182a
OG0001969	jg2452.t1	Em1106g1a, Em0445g3a, Em0013g4a, Em0446g3a, Em0416g3a, Em0013g7a, Em0464g3a, Em0324g4a
OG0001970	jg5585.t1, jg9220.t1, jg5584.t1, jg23517.t1, jg9386.t1, jg2124.t1, jg847.t1, jg9387.t1	Em0006g377a
OG0001972	jg19579.t1, jg6450.t1	Em0786g3a, Em0179g18a, Em0179g9a, Em0023g50a
OG0001973	jg28938.t1, jg8479.t1	Em0001g1123a, Em0001g1133a, Em0829g1a, Em0110g5a, Em0012g160a, Em0110g1a, Em0012g156a
OG0001974	jg2586.t1	Em0013g888a
OG0001975	jg15808.t1	Em0021g842a, Em0395g15a, Em0192g2a, Em0021g876a
OG0001976	jg12930.t1, jg1306.t1, jg1307.t1	Em0012g37a, Em0012g10a
OG0001977	jg20516.t1, jg7893.t1	Em0001g1749a, Em0001g1733a, Em0001g1719a, Em0001g1699a, Em0001g2514a
OG0001978	jg18590.t1	Em0003g1831a, Em0003g1790a, Em0003g1762a, Em0003g1794a, Em0003g1816a, Em0003g1782a, Em0003g1769a
OG0001979	jg11672.t1, jg10371.t1, jg5391.t1, jg24997.t1	Em0018g653a, Em0018g628a, Em0018g644a, Em0018g621a
OG0001980	jg25627.t1, jg6944.t1, jg6943.t1, jg25626.t1	Em0015g1026a, Em0015g1027a
OG0001981	jg17364.t1, jg10786.t1, jg1718.t1, jg25100.t1, jg25574.t1, jg25570.t1	Em0022g18a, Em0022g2a
OG0001987	jg20168.t1, jg23529.t1	Em0002g262a, Em0014g272a, Em0702g2a, Em0001g852a, Em0216g7a, Em0013g456a, Em0002g152a, Em0020g291a
OG0001996	jg10315.t1, jg10316.t1, jg19615.t1, jg24045.t1	Em0747g1a, Em0001g1383a, Em0004g1618a
OG0001996	jg28732.t1	Em0016g768a, Em0005g970a
OG0002001	jg9257.t1, jg7630.t1, jg14007.t1, jg26317.t1, jg26642.t1	Em0037g15a, Em0001g2002a, Em0022g972a, Em0006g317a, Em0006g322a
OG0002004	jg164.t1, jg7285.t1, jg21729.t1, jg27374.t1, jg14108.t1, jg5011.t1, jg17600.t1, jg1815.t1	Em0007g185a, Em0001g2607a
OG0002019	jg23525.t1, jg23456.t1, jg6042.t1	Em0005g1199a, Em0109g8a, Em0005g819a, Em0008g725a, Em0003g989a, Em0003g1094a, Em0010g24a
OG0002042	jg23949.t1, jg3587.t1, jg7396.t1, jg1276.t1, jg8081.t1, jg1605.t1, jg27095.t1, jg27303.t1, jg22610.t1	Em0023g583a
OG0002089	jg28065.t1	Em0010g1018a, Em0010g981a
OG0002092	jg8378.t1	Em0012g999a, Em0277g4a
OG0002103	jg14597.t1	Em0016g1084a, Em0016g1085a, Em0016g1102a
OG0002104	jg28455.t1	Em0019g265a, Em0019g257a, Em0402g11a
OG0002105	jg18112.t1	Em0019g668a
OG0002106	jg15851.t1	Em0013g1103a, Em0013g1118a, Em0011g869a
OG0002107	jg20768.t1, jg20983.t1, jg3034.t1, jg3034.t2	Em0008g1228a
OG0002113	jg30540.t1, jg3123.t1	Em0022g717a
OG0002114	jg9855.t1	Em0003g911a, Em0003g1038a
OG0002115	jg12833.t1	Em0012g392a, Em0170g4a
OG0002115	jg28310.t1	Em0019g661a
OG0002117	jg30219.t1, jg11313.t1, jg30218.t1	Em0011g19a
OG0002118	jg10777.t1	Em0018g308a
OG0002118	jg24232.t1	Em0018g164a
OG0002121	jg6319.t1, jg14689.t1	Em0011g231a
OG0002122	jg1970.t1	Em0021g374a, Em1242g1a
OG0002129	jg4809.t1, jg21959.t2	Em0010g384a, Em0001g3213a, Em0004g1191a
OG0002132	jg27952.t1	Em0019g153a
OG0002137	jg9085.t1	Em0016g1161a, Em0059g13a, Em0692g2a, Em0093g8a
OG0002140	jg27425.t1	Em0011g1184a
OG0002142	jg12272.t1	Em0014g52a
OG0002143	jg30230.t1, jg11323.t1	Em0011g388a
OG0002145	jg9499.t1, jg27036.t1, jg3744.t1, jg15963.t1	Em0011g868a, Em0011g848a
OG0002147	jg11972.t1, jg26073.t1	Em0003g1398a
OG0002148	jg1923.t1	Em1343g1a
OG0002149	jg20841.t1, jg20841.t2	Em0014g936a
OG0002150	jg20210.t1	Em0023g664a, Em0023g663a, Em0023g649a, Em0023g643a
OG0002151	jg29028.t1	Em0022g639a, Em0022g646a, Em0022g632a, Em0022g623a, Em0022g630a
OG0002154	jg2299.t1	Em0012g873a, Em0012g820a
OG0002159	jg4314.t1	Em0145g12a, Em0425g5a, Em0099g3a, Em0099g23a, Em0429g7a, Em0099g14a
OG0002164	jg10751.t1, jg22289.t1, jg21764.t1	Em0019g657a
OG0002166	jg14687.t1, jg30124.t1	Em0011g216a
OG0002168	jg6825.t1	Em0011g851a
OG0002169	jg30424.t1, jg6180.t1	Em0009g812a
OG0002170	jg19264.t1	Em0016g910a
OG0002171	jg19156.t1, jg3518.t1	Em0011g1026a
OG0002172	jg27323.t1, jg27334.t1, jg27325.t1, jg19461.t1	Em0003g617a
OG0002173	jg1067.t1, jg24111.t1	Em0022g243a
OG0002176	jg2645.t1	Em0013g104a
OG0002178	jg21339.t1, jg20228.t1	Em0005g1593a, Em0005g1588a, Em0005g1592a
OG0002180	jg11150.t1	Em0017g89a
OG0002181	jg25622.t1	Em0047g34a, Em0047g32a, Em0047g16a, Em0047g39a
OG0002182	jg16717.t1, jg20925.t1	Em0016g363a
OG0002184	jg24497.t1, jg15498.t1, jg2991.t1	Em0022g294a
OG0002189	jg25364.t1, jg27846.t1, jg7482.t1, jg2187.t1	Em0008g503a, Em0009g866a, Em0024g197a, Em0021g12a
OG0002190	jg8481.t1, jg8481.t2	Em0311g1a, Em0021g526a
OG0002191	jg6210.t1	Em0009g1026a
OG0002191	jg6211.t1	Em0009g1046a, Em0096g5a
OG0002194	jg2043.t1, jg2048.t1, jg2041.t1, jg2045.t1, jg18662.t1	Em0018g1051a
OG0002196	jg6492.t1	Em0661g6a
OG0002196	jg3967.t1, jg21568.t1	Em0007g584a
OG0002198	jg28219.t1	Em0021g428a, Em0081g10a
OG0002200	jg28920.t1, jg16310.t1, jg2928.t1, jg28922.t1, jg2930.t1	Em0003g1488a
OG0002201	jg8974.t1	Em0016g284a
OG0002202	jg17221.t1, jg1172.t1, jg1175.t1, jg26514.t1	Em0024g178a, Em1073g1a, Em0024g176a
OG0002203	jg24196.t1	Em0017g633a, Em0024g286a, Em0017g680a
OG0002204	jg19903.t1, jg19902.t1	Em0016g276a
OG0002206	jg23326.t1, jg25102.t1, jg27248.t1, jg25103.t1, jg25101.t1, jg29678.t1	Em0020g198a
OG0002207	jg25983.t1	Em0008g816a, Em0008g817a
OG0002209	jg21118.t1, jg22025.t1, jg21952.t1	Em0016g474a
OG0002213	jg11969.t1, jg26072.t1, jg11971.t1, jg26070.t1	Em0003g1359a
OG0002214	jg14050.t1, jg26132.t1, jg5444.t1, jg14047.t1, jg28706.t1	Em0017g813a, Em0009g218a, Em0012g154a
OG0002215	jg3082.t1, jg25536.t1	Em0022g399a
OG0002216	jg6315.t1, jg11439.t1, jg18199.t1	Em0005g238a, Em0022g85a
OG0002217	jg3639.t1, jg11365.t1, jg18275.t1	Em0021g921a
OG0002218	jg8389.t2, jg8389.t1	Em0012g535a, Em0012g556a, Em0012g534a, Em0012g555a
OG0002219	jg30048.t1, jg9260.t1, jg23858.t1	Em0003g1690a, Em0863g1a
OG0002221	jg4952.t1, jg4963.t1, jg4970.t1, jg4972.t1, jg4975.t1, jg4979.t1	Em0018g1135a, Em0018g1096a
OG0002222	jg22517.t1, jg22523.t1, jg22523.t2, jg1753.t2, jg1753.t1	Em0008g30a
OG0002224	jg6919.t1	Em0964g1a, Em0004g50a, Em0202g14a, Em0202g3a, Em0202g9a
OG0002225	jg19143.t1	Em0001g2486a, Em0001g2506a, Em0001g2516a, Em0007g770a
OG0002226	jg11024.t1	Em0017g224a
OG0002228	jg21609.t1, jg11378.t1, jg19794.t1, jg18259.t1, jg19793.t1	Em0011g796a
OG0002229	jg24544.t1	Em0023g100a, Em0420g1a
OG0002231	jg6800.t1, jg22187.t1	Em0011g824a
OG0002237	jg2005.t1, jg4711.t1	Em0004g1439a
OG0002238	jg7172.t1, jg7172.t2, jg7173.t1	Em0021g683a, Em0021g688a, Em0796g1a
OG0002239	jg18047.t1, jg17370.t1, jg18045.t1	Em0018g314a, Em0018g323a
OG0002240	jg11801.t1, jg15676.t1, jg11876.t1, jg15678.t1, jg11872.t1	Em0016g245a
OG0002242	jg13362.t1	Em0019g292a, Em0144g11a
OG0002250	jg21740.t1, jg16300.t1	Em0018g109a, Em0002g419a
OG0002251	jg14824.t1, jg16711.t1, jg24725.t1	Em0011g245a
OG0002254	jg29117.t1, jg29115.t1	Em0022g328a
OG0002255	jg18677.t1, jg2027.t1, jg18679.t1, jg2031.t1	Em0018g1124a
OG0002259	jg15022.t1, jg15029.t1, jg19673.t1	Em0016g263a, Em0162g18a
OG0002261	jg13351.t1, jg13352.t1, jg13349.t1, jg13350.t1, jg7668.t1	Em0001g3339a
OG0002263	jg7638.t1	Em0005g1033a
OG0002264	jg22288.t1, jg21765.t1, jg21961.t1	Em0583g3a
OG0002266	jg28461.t1, jg28458.t1	Em0402g8a, Em0019g260a, Em0019g268a, Em0402g7a
OG0002268	jg3035.t1, jg20982.t1, jg20766.t1	Em0008g1082a
OG0002270	jg16409.t1, jg16476.t1, jg13148.t1, jg16388.t1	Em0003g181a, Em0003g186a
OG0002271	jg12251.t1	Em0021g586a, Em0001g1079a, Em0001g1102a
OG0002274	jg22115.t1	Em0011g77a, Em0776g1a
OG0002274	jg22116.t1	Em0011g78a
OG0002276	jg19245.t1	Em0016g621a
OG0002279	jg27141.t1, jg4419.t1, jg2132.t1	Em0022g443a
OG0002280	jg21735.t1, jg4785.t1, jg16103.t1, jg5252.t1, jg23986.t1, jg5253.t1	Em0053g22a, Em0021g436a
OG0002281	jg2864.t1	Em0008g197a, Em0008g207a
OG0002282	jg20327.t1, jg25640.t1, jg3160.t1, jg5211.t1, jg5213.t1, jg21376.t1, jg4516.t1	Em0006g1001a
OG0002284	jg8144.t1, jg8144.t2	Em0024g243a
OG0002287	jg6440.t1, jg19646.t1, jg30114.t1	Em0013g1025a, Em0004g735a
OG0002288	jg28502.t1	Em0019g820a, Em0019g822a
OG0002290	jg20859.t1	Em0014g554a, Em0014g553a, Em0019g827a, Em0014g561a, Em0614g3a
OG0002291	jg6835.t2, jg6835.t1, jg6835.t3	Em0011g799a
OG0002292	jg18447.t1, jg688.t2, jg18464.t1	Em0163g5a, Em0010g266a, Em0010g286a, Em0007g936a
OG0002293	jg7383.t1, jg14423.t1	Em0010g4a, Em0019g491a, Em0015g106a, Em0019g503a
OG0002294	jg25615.t1, jg26985.t1, jg2992.t2, jg24496.t1, jg2992.t1, jg15499.t1	Em0022g578a
OG0002299	jg14389.t1, jg3226.t1, jg3228.t1, jg20582.t1	Em0008g1011a
OG0002300	jg13070.t1, jg14105.t1	Em0022g784a
OG0002300	jg13071.t1	Em0022g783a
OG0002301	jg11879.t1, jg15673.t1, jg14864.t1	Em0014g600a
OG0002301	jg8316.t1	Em0021g409a
OG0002307	jg28712.t1	Em0001g817a, Em0001g838a, Em0022g674a, Em0818g1a, Em0719g1a, Em0079g1a, Em0101g9a
OG0002308	jg27886.t1, jg27064.t1, jg27067.t1	Em0010g869a, Em0010g871a, Em0010g868a
OG0002309	jg11513.t1	Em0001g1332a
OG0002310	jg8045.t1, jg7468.t2, jg7468.t1	Em0015g770a, Em0015g776a, Em0015g779a, Em0015g778a
OG0002311	jg8057.t1, jg7462.t1, jg7464.t1, jg8055.t1, jg18315.t1	Em0015g909a
OG0002313	jg4634.t1, jg4634.t2	Em0010g812a, Em0494g4a, Em0548g3a, Em0273g1a
OG0002314	jg14672.t1, jg233.t1	Em0016g1188a, Em0016g1108a
OG0002317	jg861.t1	Em0009g526a, Em0044g25a, Em0009g482a, Em0044g27a
OG0002318	jg3827.t1	Em0007g452a, Em0023g826a, Em0001g1764a, Em0077g5a
OG0002320	jg19356.t1, jg13445.t1, jg19356.t2, jg13444.t1	Em0698g4a, Em0015g749a, Em0114g13a
OG0002322	jg13442.t1, jg19358.t1	Em0015g751a, Em0114g15a, Em0011g938a, Em0015g752a
OG0002323	jg8961.t1, jg8964.t1, jg8960.t1	Em0016g376a, Em0016g374a, Em0016g375a
OG0002324	jg20538.t1	Em0008g1027a, Em0003g1174a
OG0002325	jg27693.t1	Em0009g607a
OG0002325	jg7671.t1	Em0186g5a, Em0009g131a
OG0002326	jg411.t1	Em0022g248a
OG0002327	jg24103.t1, jg1057.t1, jg1052.t1, jg24097.t1	Em0022g169a
OG0002328	jg23054.t1, jg23054.t2	Em0002g1503a, Em0002g1495a, Em0002g1499a, Em0002g1519a, Em0535g1a, Em0002g1514a
OG0002329	jg5910.t1, jg28330.t1	Em0019g690a, Em0019g691a, Em0019g696a, Em0019g697a
OG0002330	jg30320.t1, jg6616.t1, jg16113.t1, jg6633.t1, jg22501.t1, jg19528.t1, jg22516.t1	Em0364g4a
OG0002331	jg1867.t1, jg3498.t1, jg3495.t1, jg16014.t1, jg16018.t2, jg16018.t1	Em0009g1282a
OG0002332	jg29067.t1	Em0004g1353a, Em0004g1355a, Em0004g1354a
OG0002333	jg12199.t1, jg16838.t1	Em0021g932a, Em0956g3a
OG0002334	jg27197.t1, jg27195.t1, jg27194.t1	Em0013g1120a
OG0002335	jg8436.t1	Em0023g877a, Em0086g4a
OG0002336	jg8432.t1	Em0012g1036a
OG0002336	jg8430.t1	Em0012g1034a
OG0002336	jg8431.t1	Em0012g1035a
OG0002337	jg26295.t1, jg15180.t1, jg26448.t1, jg22690.t1, jg22706.t1	Em1239g1a, Em0007g1217a
OG0002338	jg29311.t1, jg22153.t1, jg22161.t1	Em0011g242a
OG0002339	jg29512.t1, jg29508.t1, jg29511.t1, jg23713.t1, jg27010.t1	Em0011g508a
OG0002340	jg17024.t1, jg17024.t3, jg17024.t2	Em0015g1250a, Em0598g2a, Em0597g2a
OG0002341	jg9884.t1	Em0007g39a
OG0002342	jg26815.t2, jg26815.t1, jg22490.t2, jg22490.t1, jg26785.t2, jg26785.t1	Em0012g975a
OG0002344	jg20300.t1, jg20301.t1	Em0014g22a
OG0002345	jg1657.t1, jg15674.t1, jg14873.t1, jg11878.t1, jg21522.t1, jg27552.t1	Em0016g524a
OG0002346	jg6256.t1, jg24329.t1	Em0006g211a, Em0006g215a, Em0006g227a
OG0002349	jg583.t1, jg15777.t1, jg2953.t1	Em0023g99a
OG0002349	jg15783.t1, jg16919.t1	Em0023g97a
OG0002351	jg15941.t1, jg24131.t1, jg6957.t1, jg3501.t2, jg3501.t3, jg16193.t2, jg19598.t1	Em0008g1039a
OG0002353	jg20706.t1	Em0023g198a
OG0002356	jg7967.t1	Em0020g577a, Em0020g589a, Em0020g592a, Em0020g574a, Em0020g575a, Em0020g591a, Em0020g594a
OG0002358	jg24342.t1	Em0023g408a
OG0002359	jg13111.t1, jg16423.t1, jg17302.t1, jg23504.t1, jg10001.t1, jg7402.t1, jg11471.t1	Em0001g2226a
OG0002360	jg12734.t1	Em0005g709a
OG0002361	jg8364.t1	Em0013g999a, Em0013g994a, Em0013g1022a
OG0002362	jg13310.t1	Em0009g1194a
OG0002363	jg21182.t1, jg18561.t1, jg15379.t1, jg21260.t1, jg12065.t1	Em0016g623a, Em0831g2a, Em0077g12a
OG0002364	jg21258.t1, jg15377.t1, jg18559.t1, jg12063.t1, jg21180.t1	Em0016g656a, Em0016g649a
OG0002366	jg18989.t1, jg18989.t2	Em0001g123a, Em0001g114a, Em0001g122a
OG0002367	jg28299.t1, jg28299.t2	Em0215g1a, Em0019g932a
OG0002368	jg28274.t1	Em0019g355a
OG0002369	jg20315.t1	Em0005g65a, Em0005g60a
OG0002370	jg28444.t1	Em0551g4a, Em0019g109a, Em0551g6a, Em0019g112a, Em0551g7a, Em0019g111a
OG0002371	jg20196.t1	Em0006g972a, Em0006g969a, Em0006g970a
OG0002372	jg14159.t1, jg8601.t1, jg14172.t1	Em0023g779a, Em0003g690a
OG0002373	jg11108.t1	Em0017g219a, Em0017g223a, Em0017g216a, Em0017g218a, Em0017g217a, Em0017g215a
OG0002374	jg11085.t1, jg2466.t2, jg2466.t1	Em0009g967a, Em0009g1159a
OG0002376	jg10204.t1, jg24526.t1	Em0015g809a, Em0015g799a
OG0002376	jg10207.t1	Em0015g807a
OG0002377	jg12324.t1	Em0010g233a, Em0210g8a, Em0010g235a, Em0210g6a, Em0210g9a, Em0010g232a
OG0002378	jg29247.t1	Em0099g7a, Em0099g19a, Em0425g3a, Em0429g3a, Em0145g16a, Em0099g11a
OG0002382	jg10093.t1	Em0020g931a, Em0020g926a
OG0002382	jg10094.t1	Em0020g930a
OG0002384	jg15531.t1, jg9664.t1	Em0005g1324a
OG0002385	jg20748.t1, jg20749.t1	Em0001g1416a, Em0007g525a, Em0018g586a
OG0002386	jg29900.t1	Em0020g936a, Em0630g3a, Em0020g937a
OG0002387	jg12742.t1	Em0005g1526a, Em0187g9a, Em0036g10a, Em0112g11a
OG0002388	jg8021.t1, jg26673.t1	Em0007g1580a, Em0007g1562a, Em0007g1577a, Em0007g1563a, Em0007g1535a, Em0007g1278a
OG0002389	jg27407.t1	Em0023g122a
OG0002389	jg27408.t1, jg27402.t1	Em0002g1592a, Em0023g120a
OG0002390	jg20819.t1, jg20684.t1	Em0023g267a
OG0002391	jg3999.t1, jg4024.t1, jg29300.t2, jg22252.t1, jg29300.t1, jg3989.t1	Em0016g1167a
OG0002392	jg10306.t1, jg30191.t1, jg27644.t1	Em0016g91a, Em0016g76a, Em0016g90a
OG0002393	jg17973.t1, jg17974.t1	Em0003g458a
OG0002394	jg19035.t1	Em0014g591a, Em0014g589a
OG0002395	jg28584.t1	Em0018g633a, Em0018g619a, Em0018g630a, Em0018g615a, Em0018g614a
OG0002396	jg11733.t1	Em0016g898a, Em0016g899a, Em0648g2a, Em0010g47a, Em0674g2a, Em0010g73a
OG0002397	jg17824.t1, jg25104.t1, jg17821.t1, jg17815.t1, jg24414.t1	Em0018g70a
OG0002398	jg4604.t1	Em0010g1031a, Em0010g1030a, Em0010g1016a
OG0002399	jg11610.t1	Em0010g121a
OG0002399	jg24546.t1	Em0010g120a
OG0002400	jg28199.t1, jg28432.t1	Em0018g1094a, Em0018g1137a
OG0002401	jg27761.t1, jg6023.t1	Em0010g710a
OG0002402	jg11735.t1	Em0010g62a, Em0010g50a, Em0010g55a
OG0002402	jg11734.t1	Em0010g56a
OG0002403	jg11042.t1	Em0017g519a, Em0017g506a, Em0017g510a, Em0017g514a
OG0002404	jg1481.t1, jg6021.t1, jg27763.t1	Em0179g21a, Em0786g6a, Em0023g53a, Em0179g12a
OG0002407	jg11523.t1	Em0598g3a, Em0597g3a, Em0015g1251a, Em0598g4a
OG0002408	jg9103.t1, jg9103.t2, jg9103.t3, jg21982.t1	Em0001g2763a, Em0001g2753a, Em0001g2754a
OG0002410	jg2723.t1	Em0004g86a, Em0013g396a, Em0013g404a
OG0002411	jg13340.t1	Em0021g426a, Em0081g7a, Em0081g2a, Em0019g554a, Em0734g2a, Em0006g967a
OG0002412	jg29164.t1	Em0022g519a
OG0002413	jg13416.t1, jg23225.t1	Em0022g136a, Em0022g139a
OG0002414	jg8515.t1	Em0020g14a
OG0002415	jg8638.t1, jg1212.t1	Em0023g125a
OG0002416	jg2512.t1, jg2513.t2, jg2513.t1	Em0013g172a
OG0002418	jg18902.t1	Em0001g1153a, Em0001g1240a, Em0001g1152a
OG0002419	jg19115.t1	Em0001g1072a
OG0002419	jg19114.t1	Em0001g1112a
OG0002420	jg19013.t2, jg19013.t1	Em0001g653a, Em0001g648a, Em0001g651a, Em0001g650a, Em0001g646a
OG0002421	jg8478.t1, jg22214.t1	Em0012g384a
OG0002422	jg7894.t1, jg20517.t1	Em0001g1747a, Em0001g1720a, Em0001g1734a, Em0001g1742a, Em0001g1722a
OG0002423	jg18401.t1	Em0003g1040a, Em0003g851a, Em0003g1088a, Em0003g1069a, Em0001g1333a, Em0003g850a, Em0003g1089a
OG0002424	jg29571.t1	Em0016g602a, Em0016g612a, Em0020g241a, Em0020g286a, Em0020g274a, Em0020g273a, Em0020g287a
OG0002425	jg7979.t1	Em0020g368a
OG0002425	jg7982.t1	Em0020g372a, Em0341g3a, Em0020g370a, Em0020g393a
OG0002426	jg29752.t1	Em0010g878a
OG0002427	jg20015.t1, jg20018.t1	Em0014g296a, Em0014g280a
OG0002428	jg23656.t1	Em0517g1a, Em0518g1a, Em0014g435a, Em0014g488a, Em0014g417a
OG0002429	jg6969.t1	Em0008g1294a
OG0002431	jg20011.t1	Em0014g263a, Em0014g265a, Em0014g168a
OG0002432	jg29757.t1	Em0010g893a, Em0009g112a
OG0002434	jg18012.t1	Em0021g278a, Em0001g69a, Em0001g71a, Em0001g73a, Em0001g70a, Em0018g144a
OG0002450	jg6559.t1	Em0002g1926a, Em0002g865a, Em0001g1753a
OG0002450	jg23545.t1, jg30100.t1	Em0652g3a, Em0015g997a, Em0001g3518a
OG0002486	jg720.t1, jg1556.t1, jg7334.t1, jg13647.t1, jg7594.t1, jg5763.t1, jg6596.t1	Em0006g415a, Em0006g1193a
OG0002488	jg4142.t1, jg26624.t1, jg7318.t1, jg26391.t1, jg13577.t1, jg26613.t1, jg5820.t1	Em0007g183a
OG0002489	jg28686.t1, jg28695.t1, jg27849.t1, jg26117.t1, jg25359.t1, jg26123.t1, jg651.t1, jg9354.t1	Em0007g203a
OG0002495	jg577.t1, jg25837.t1, jg25831.t1, jg25832.t1, jg25835.t1, jg578.t1, jg576.t1, jg25830.t1	Em0009g1197a
OG0002498	jg30563.t1, jg1070.t1, jg3984.t1, jg3992.t1, jg29294.t1, jg22255.t1, jg29295.t1	Em0294g3a, Em0022g584a
OG0002499	jg1514.t1, jg23411.t1, jg416.t1, jg19729.t1, jg14946.t1, jg19727.t1, jg19730.t1, jg19726.t1	Em1048g1a
OG0002563	jg1723.t1, jg1848.t1, jg1719.t1, jg1720.t1	Em0018g245a, Em0419g11a
OG0002567	jg14430.t1, jg14429.t1	Em0015g1185a
OG0002569	jg12264.t1, jg12264.t2	Em0021g41a
OG0002571	jg11564.t1	Em0010g464a, Em0010g447a, Em0481g3a
OG0002573	jg8872.t1, jg8872.t2	Em0016g84a, Em0016g70a
OG0002578	jg26946.t1, jg23052.t1, jg4121.t1	Em0005g1326a, Em0005g1331a
OG0002579	jg1413.t1, jg24366.t1, jg15315.t1, jg18569.t1	Em0023g798a
OG0002580	jg23231.t1	Em0022g265a, Em0022g254a, Em0022g263a, Em0022g252a
OG0002581	jg6174.t1	Em0009g1030a
OG0002584	jg19242.t1, jg19243.t1	Em0016g722a, Em0016g703a, Em0041g4a
OG0002592	jg19632.t1, jg16467.t1, jg22036.t1	Em0002g750a
OG0002596	jg13732.t1	Em0007g839a, Em0019g692a
OG0002598	jg30549.t2, jg30549.t1, jg3115.t1, jg3115.t2	Em0022g708a
OG0002599	jg8978.t1	Em0018g1023a, Em0018g1080a
OG0002602	jg12166.t1, jg519.t1, jg16387.t1, jg14296.t1	Em0001g765a
OG0002603	jg12266.t1	Em0021g43a
OG0002604	jg2687.t1, jg11270.t1	Em0335g1a, Em0017g99a, Em0014g721a
OG0002605	jg7639.t1	Em0009g759a, Em0009g750a
OG0002606	jg17877.t1	Em0825g1a, Em0013g785a
OG0002610	jg8982.t1	Em0016g538a
OG0002610	jg7934.t1	Em0020g1004a
OG0002616	jg8971.t1	Em0484g1a, Em0016g220a
OG0002621	jg29119.t1	Em0022g319a, Em0447g9a
OG0002622	jg14912.t1, jg25921.t1, jg25930.t1, jg25928.t1, jg25926.t1	Em0016g812a
OG0002623	jg1395.t1, jg2595.t1	Em0001g724a, Em0001g723a
OG0002624	jg16840.t1	Em0021g912a
OG0002627	jg7637.t1	Em0009g184a
OG0002629	jg6171.t1	Em0009g1095a
OG0002630	jg17478.t1	Em0003g1861a
OG0002632	jg22777.t1	Em0010g989a
OG0002633	jg12374.t1	Em0004g307a
OG0002634	jg27024.t1, jg8192.t1	Em0003g1407a
OG0002635	jg3076.t1, jg25542.t1, jg3076.t2	Em0022g332a, Em0022g331a
OG0002636	jg2851.t1, jg18362.t1, jg18363.t1	Em0008g93a
OG0002637	jg24391.t1, jg24389.t1, jg24390.t1	Em0020g364a, Em0020g362a
OG0002639	jg28427.t1	Em0018g796a, Em0018g794a
OG0002641	jg2536.t1	Em0013g232a, Em0013g223a, Em0002g1402a
OG0002642	jg17955.t1	Em0003g394a, Em0003g374a
OG0002644	jg16844.t1	Em0021g992a
OG0002645	jg12271.t1, jg12271.t2	Em0021g557a
OG0002649	jg12095.t1, jg16181.t1	Em0023g848a
OG0002650	jg21322.t1, jg11268.t1	Em0015g80a
OG0002651	jg1945.t1	Em0018g1017a
OG0002652	jg9526.t1, jg1359.t1	Em0011g773a
OG0002653	jg17844.t1	Em0131g7a, Em0008g1192a, Em0131g8a, Em0008g1175a
OG0002654	jg21346.t1, jg21346.t2, jg20221.t1	Em0005g1474a
OG0002655	jg17612.t1, jg21875.t1, jg5549.t1	Em0010g1026a
OG0002657	jg19262.t1, jg19261.t1	Em0016g913a
OG0002660	jg20277.t1, jg19945.t2, jg19945.t1	Em0028g15a, Em0028g5a
OG0002661	jg16949.t1	Em0018g340a
OG0002662	jg11682.t1, jg22543.t1	Em0015g1035a
OG0002664	jg18682.t1, jg2023.t1	Em0018g1125a
OG0002666	jg21687.t1	Em0055g3a, Em0055g1a, Em0055g7a
OG0002667	jg29024.t1, jg29025.t1	Em0022g162a, Em0872g2a, Em0872g3a
OG0002671	jg8615.t1, jg3267.t1	Em0022g130a
OG0002672	jg3268.t1, jg8616.t1	Em0022g131a
OG0002673	jg23211.t1, jg23210.t1	Em0015g905a
OG0002674	jg2699.t1	Em0105g8a, Em0013g722a, Em0008g342a, Em0025g90a
OG0002676	jg12800.t1	Em0021g881a
OG0002676	jg15812.t1	Em0021g880a
OG0002678	jg22467.t2, jg22467.t1, jg15222.t1	Em0023g355a
OG0002681	jg3223.t1, jg3224.t1, jg3225.t1	Em0022g278a
OG0002683	jg25408.t1, jg10695.t1	Em0005g1599a, Em0015g1117a
OG0002687	jg16934.t1	Em0018g315a, Em0018g324a
OG0002688	jg19352.t1, jg13449.t1	Em0015g1106a, Em0002g1676a, Em0015g1088a
OG0002689	jg2037.t1, jg18669.t1, jg18665.t1	Em0018g1052a
OG0002690	jg13925.t1	Em0015g1130a, Em0015g1148a, Em0015g1143a
OG0002692	jg26881.t1, jg19760.t1	Em0018g825a, Em0018g822a, Em0018g793a
