Orthogroup	Niphates_augustus.hints.aa	Human_UP000005640_9606
OG0003000	jg26931.t1, jg13265.t1, jg26932.t1	sp|Q49A92|CH034_HUMAN
OG0003001	jg18048.t2, jg18048.t1	sp|Q9Y666|S12A7_HUMAN, sp|Q9H2X9|S12A5_HUMAN, sp|Q9UP95|S12A4_HUMAN, sp|Q9UHW9|S12A6_HUMAN
OG0003002	jg10748.t1, jg23489.t1	sp|Q9P219|DAPLE_HUMAN, sp|Q3V6T2|GRDN_HUMAN
OG0003003	jg1308.t1, jg12931.t1, jg4597.t1	sp|O43633|CHM2A_HUMAN
OG0003004	jg11994.t1, jg25699.t1, jg11017.t1, jg11990.t1	sp|P54803|GALC_HUMAN
OG0003005	jg10752.t1	sp|Q9UKT4|FBX5_HUMAN, sp|Q4G163|FBX43_HUMAN
OG0003006	jg13696.t1, jg13695.t1, jg18007.t1	sp|Q9Y2L5|TPPC8_HUMAN
OG0003007	jg27933.t1	sp|A8K0Z3|WASH1_HUMAN, sp|Q9NQA3|WASH6_HUMAN, sp|A8MWX3|WASH4_HUMAN, sp|Q6VEQ5|WASH2_HUMAN, sp|C4AMC7|WASH3_HUMAN
OG0003008	jg28259.t1, jg821.t1, jg10817.t1	sp|Q9BSE5|SPEB_HUMAN
OG0003009	jg26936.t1, jg24789.t1, jg26938.t1, jg12968.t1	sp|Q93100|KPBB_HUMAN
OG0003011	jg29662.t1	sp|Q8IUI4|S29P2_HUMAN, sp|Q8TEQ0|SNX29_HUMAN, sp|Q86U02|CN165_HUMAN, sp|Q8NDZ0|BEND2_HUMAN
OG0003012	jg28196.t1, jg28198.t1	sp|P16885|PLCG2_HUMAN, sp|P19174|PLCG1_HUMAN
OG0003013	jg2353.t2, jg10986.t1	sp|Q6N075|MFSD5_HUMAN
OG0003014	jg25507.t2, jg25507.t1, jg2366.t1	sp|O75643|U520_HUMAN
OG0003015	jg2355.t1	sp|Q9HBL8|NMRL1_HUMAN
OG0003016	jg25150.t1, jg16162.t1	sp|Q6GPH4|XAF1_HUMAN
OG0003017	jg6019.t1, jg27765.t1, jg1479.t1, jg27765.t2, jg27765.t3	sp|Q8IWW8|HOT_HUMAN
OG0003018	jg3773.t2, jg3773.t1, jg24357.t1	sp|P08922|ROS1_HUMAN
OG0003020	jg3782.t1, jg3778.t1, jg3784.t1, jg11375.t1	sp|Q6P2H3|CEP85_HUMAN, sp|Q5SZL2|CE85L_HUMAN
OG0003021	jg9114.t1, jg21971.t1, jg3628.t1	sp|Q92630|DYRK2_HUMAN
OG0003022	jg2412.t1	sp|Q03014|HHEX_HUMAN
OG0003023	jg2730.t1	sp|Q96JY0|MAEL_HUMAN
OG0003024	jg19582.t1, jg6455.t1	sp|O14713|ITBP1_HUMAN
OG0003025	jg28094.t1	sp|Q15834|CC85B_HUMAN, sp|Q96PX6|CC85A_HUMAN, sp|A6NKD9|CC85C_HUMAN
OG0003027	jg8483.t1	sp|Q5VXI9|LIPN_HUMAN, sp|P38571|LICH_HUMAN, sp|Q5VXJ0|LIPK_HUMAN, sp|P07098|LIPG_HUMAN
OG0003028	jg4748.t1	sp|Q6ZWJ1|STXB4_HUMAN
OG0003030	jg12882.t1, jg1986.t1, jg1986.t2, jg1270.t1	sp|Q9NW13|RBM28_HUMAN
OG0003031	jg2576.t1	sp|Q96F10|SAT2_HUMAN, sp|Q86VE3|SATL1_HUMAN, sp|P21673|SAT1_HUMAN
OG0003034	jg11020.t1, jg1304.t1, jg12928.t1	sp|P37023|ACVL1_HUMAN, sp|Q04771|ACVR1_HUMAN
OG0003035	jg8321.t1	sp|Q9UQK1|PPR3C_HUMAN, sp|Q86XI6|PPR3B_HUMAN, sp|B7ZBB8|PP13G_HUMAN, sp|O95685|PPR3D_HUMAN, sp|Q9H7J1|PPR3E_HUMAN
OG0003036	jg23229.t1, jg13418.t1, jg28926.t1	sp|Q9P2N5|RBM27_HUMAN, sp|Q5T8P6|RBM26_HUMAN
OG0003037	jg2557.t1, jg2556.t1, jg2559.t1, jg2558.t1	sp|Q9HAT2|SIAE_HUMAN
OG0003038	jg2308.t1	sp|P78363|ABCA4_HUMAN, sp|Q8IZY2|ABCA7_HUMAN, sp|O95477|ABCA1_HUMAN, sp|Q9BZC7|ABCA2_HUMAN
OG0003039	jg2539.t1, jg2538.t2, jg2538.t1, jg2537.t1	sp|Q13363|CTBP1_HUMAN, sp|P56545|CTBP2_HUMAN
OG0003040	jg18947.t2, jg18947.t1	sp|Q8IZD2|KMT2E_HUMAN, sp|Q9C0A6|SETD5_HUMAN
OG0003041	jg2548.t1	sp|Q9BQW3|COE4_HUMAN, sp|Q9UH73|COE1_HUMAN, sp|Q9H4W6|COE3_HUMAN, sp|Q9HAK2|COE2_HUMAN
OG0003042	jg19112.t1	sp|Q99685|MGLL_HUMAN
OG0003043	jg6907.t1, jg6906.t1	sp|Q92551|IP6K1_HUMAN, sp|Q9UHH9|IP6K2_HUMAN, sp|Q96PC2|IP6K3_HUMAN
OG0003044	jg19144.t1	sp|Q9BQ15|SOSB1_HUMAN, sp|Q96AH0|SOSB2_HUMAN
OG0003045	jg29777.t1	sp|Q86TP1|PRUN1_HUMAN, sp|Q86WG3|ATCAY_HUMAN, sp|Q7Z465|BNIPL_HUMAN, sp|Q12982|BNIP2_HUMAN, sp|Q8WUY3|PRUN2_HUMAN
OG0003046	jg16785.t1	sp|Q9NTN3|S35D1_HUMAN
OG0003047	jg6992.t1	sp|Q8NHS0|DNJB8_HUMAN, sp|Q7Z6W7|DNJB7_HUMAN, sp|O75190|DNJB6_HUMAN, sp|P25686|DNJB2_HUMAN, sp|Q8WWF6|DNJB3_HUMAN
OG0003048	jg29865.t1, jg29866.t1, jg29867.t1	sp|Q9NRA0|SPHK2_HUMAN, sp|Q9NYA1|SPHK1_HUMAN
OG0003049	jg23655.t1	sp|Q9Y6I9|TX264_HUMAN
OG0003050	jg29444.t1	sp|Q8N957|ANKF1_HUMAN
OG0003051	jg22995.t1, jg22995.t2	sp|P42694|HELZ_HUMAN
OG0003052	jg20960.t1, jg20959.t1, jg20958.t2, jg20958.t1	sp|O14832|PAHX_HUMAN
OG0003053	jg15991.t1, jg7563.t1, jg3472.t1, jg4646.t1	sp|Q68DA7|FMN1_HUMAN, sp|Q9NZ56|FMN2_HUMAN
OG0003054	jg11162.t1, jg11162.t2	sp|Q9HCS4|TF7L1_HUMAN, sp|Q9NQB0|TF7L2_HUMAN, sp|Q9UJU2|LEF1_HUMAN, sp|P36402|TCF7_HUMAN
OG0003055	jg15993.t1, jg3474.t1, jg4643.t1, jg7565.t1	sp|Q9UI26|IPO11_HUMAN
OG0003056	jg7557.t1, jg4652.t1, jg4652.t2, jg7557.t2	sp|Q8TEQ8|PIGO_HUMAN
OG0003058	jg5237.t1	sp|Q9BPX1|DHB14_HUMAN
OG0003058	jg18071.t1	sp|Q6PKH6|DR4L2_HUMAN, sp|Q9BTZ2|DHRS4_HUMAN, sp|P0CG22|DR4L1_HUMAN
OG0003059	jg16936.t1	sp|Q9NPI1|BRD7_HUMAN, sp|Q9H8M2|BRD9_HUMAN
OG0003060	jg12980.t1, jg26955.t1, jg26949.t1, jg13746.t1	sp|Q9H211|CDT1_HUMAN
OG0003064	jg18078.t1	sp|P59074|CHM4P_HUMAN, sp|Q9H444|CHM4B_HUMAN
OG0003066	jg20756.t1, jg20756.t2	sp|O14641|DVL2_HUMAN, sp|Q92997|DVL3_HUMAN, sp|O14640|DVL1_HUMAN, sp|P54792|DVLP1_HUMAN
OG0003152	jg12250.t1	sp|Q8NF50|DOCK8_HUMAN, sp|Q96HP0|DOCK6_HUMAN
OG0003152	jg12249.t1	sp|Q5JSL3|DOC11_HUMAN, sp|Q9BZ29|DOCK9_HUMAN, sp|Q96BY6|DOC10_HUMAN
OG0003238	jg1435.t1	sp|Q8IVF5|TIAM2_HUMAN, sp|Q13009|TIAM1_HUMAN
OG0003240	jg11031.t1	sp|O95628|CNOT4_HUMAN
OG0003241	jg8972.t1	sp|Q5T1M5|FKB15_HUMAN
OG0003243	jg28120.t1	sp|Q15004|PAF15_HUMAN
OG0003246	jg2270.t1	sp|Q96N46|TTC14_HUMAN
OG0003247	jg12032.t1	sp|Q9NVP1|DDX18_HUMAN
OG0003248	jg8048.t1, jg8047.t1	sp|Q9NWS0|PIHD1_HUMAN
OG0003251	jg3598.t1, jg4195.t1	sp|Q5TEU4|NDUF5_HUMAN
OG0003252	jg14740.t1	sp|P54725|RD23A_HUMAN, sp|P54727|RD23B_HUMAN
OG0003254	jg18514.t1	sp|Q9Y385|UB2J1_HUMAN
OG0003260	jg14585.t1, jg14586.t1	sp|O95876|FRITZ_HUMAN
OG0003262	jg20738.t1	sp|Q7Z4L9|PPR42_HUMAN
OG0003265	jg3545.t1	sp|O75694|NU155_HUMAN
OG0003266	jg28628.t1, jg29290.t1	sp|Q96EP0|RNF31_HUMAN
OG0003267	jg28637.t1, jg2662.t1	sp|Q9UQE7|SMC3_HUMAN
OG0003269	jg18995.t1	sp|Q4V328|GRAP1_HUMAN
OG0003278	jg14662.t1	sp|O43172|PRP4_HUMAN
OG0003280	jg18536.t1	sp|Q9Y5B6|PAXB1_HUMAN
OG0003281	jg18696.t2, jg18696.t1	sp|Q9NY99|SNTG2_HUMAN, sp|Q9NSN8|SNTG1_HUMAN
OG0003283	jg18877.t1, jg25169.t1	sp|Q9UDR5|AASS_HUMAN
OG0003285	jg1912.t1	sp|Q9Y3B6|EMC9_HUMAN, sp|O43402|EMC8_HUMAN
OG0003287	jg17392.t1	sp|Q96PV7|F193B_HUMAN, sp|P78312|F193A_HUMAN
OG0003290	jg18325.t1, jg501.t1, jg18323.t1	sp|Q09013|DMPK_HUMAN
OG0003292	jg18521.t1	sp|Q8N3L3|TXLNB_HUMAN
OG0003296	jg17554.t1	sp|P13284|GILT_HUMAN
OG0003297	jg12749.t1	sp|Q5RHP9|ERIC3_HUMAN
OG0003299	jg6173.t1	sp|Q5T1V6|DDX59_HUMAN
OG0003303	jg5337.t1, jg26960.t1	sp|A8K855|EFCB7_HUMAN
OG0003304	jg19256.t1	sp|Q5NDL2|EOGT_HUMAN
OG0003305	jg2347.t1, jg2348.t1	sp|Q5T655|CFA58_HUMAN
OG0003306	jg10985.t1	sp|P45984|MK09_HUMAN, sp|P45983|MK08_HUMAN, sp|P53779|MK10_HUMAN
OG0003307	jg14367.t1	sp|Q8TBY9|CF251_HUMAN
OG0003308	jg20564.t1	sp|O95476|CNEP1_HUMAN
OG0003312	jg12146.t1, jg12147.t1	sp|Q02040|AK17A_HUMAN
OG0003314	jg20733.t1	sp|P51530|DNA2_HUMAN
OG0003315	jg3194.t1, jg9311.t1	sp|Q9UNH6|SNX7_HUMAN, sp|Q5VWJ9|SNX30_HUMAN
OG0003318	jg12255.t1	sp|Q5JVF3|PCID2_HUMAN
OG0003319	jg7906.t1	sp|P60953|CDC42_HUMAN
OG0003320	jg29830.t1	sp|Q8IY33|MILK2_HUMAN, sp|Q8N3F8|MILK1_HUMAN, sp|Q6ZW33|MICLK_HUMAN
OG0003321	jg5972.t1	sp|Q5T011|SZT2_HUMAN
OG0003325	jg12743.t1	sp|Q8TDY4|ASAP3_HUMAN, sp|Q9ULH1|ASAP1_HUMAN, sp|O43150|ASAP2_HUMAN
OG0003327	jg19183.t1	sp|Q92800|EZH1_HUMAN, sp|Q15910|EZH2_HUMAN
OG0003331	jg11966.t1, jg18267.t1	sp|Q96E22|NGBR_HUMAN
OG0003333	jg11215.t1	sp|Q8TEP8|CE192_HUMAN
OG0003336	jg17060.t1	sp|O95232|LC7L3_HUMAN
OG0003339	jg8957.t1	sp|Q5VVW2|GARL3_HUMAN
OG0003340	jg13312.t1	sp|Q5T6F0|DCA12_HUMAN, sp|Q5VW00|DC122_HUMAN, sp|Q5VU92|DC121_HUMAN
OG0003342	jg19241.t1	sp|Q8TAD8|SNIP1_HUMAN
OG0003344	jg8342.t1	sp|Q96E52|OMA1_HUMAN
OG0003345	jg12522.t1, jg9586.t1	sp|Q13627|DYR1A_HUMAN, sp|Q9Y463|DYR1B_HUMAN
OG0003346	jg20098.t1	sp|O14524|NEMP1_HUMAN, sp|A6NFY4|NEMP2_HUMAN
OG0003347	jg4059.t1	sp|P42680|TEC_HUMAN, sp|Q08881|ITK_HUMAN
OG0003348	jg4481.t1	sp|Q5T9L3|WLS_HUMAN
OG0003349	jg18997.t1	sp|Q15075|EEA1_HUMAN
OG0003351	jg8680.t1, jg1249.t1	sp|Q9NPJ3|ACO13_HUMAN
OG0003352	jg8889.t1, jg8889.t2	sp|Q8IY17|PLPL6_HUMAN, sp|Q6ZV29|PLPL7_HUMAN
OG0003353	jg6789.t1	sp|Q5VYS8|TUT7_HUMAN, sp|Q5TAX3|TUT4_HUMAN
OG0003355	jg23086.t1, jg25319.t1	sp|Q8NFU5|IPMK_HUMAN
OG0003356	jg7670.t1	sp|Q9P2K8|E2AK4_HUMAN
OG0003358	jg20550.t1, jg20551.t1	sp|Q9BQG0|MBB1A_HUMAN
OG0003362	jg17075.t2, jg17075.t1	sp|Q587J7|TDR12_HUMAN
OG0003363	jg27427.t1	sp|O14787|TNPO2_HUMAN, sp|Q92973|TNPO1_HUMAN
OG0003368	jg7660.t1, jg7660.t2	sp|Q12770|SCAP_HUMAN
OG0003375	jg8172.t2, jg8172.t1	sp|Q9Y5Y5|PEX16_HUMAN
OG0003376	jg23613.t1	sp|Q9H4Z3|CAPAM_HUMAN, sp|O15428|PINL_HUMAN, sp|Q13526|PIN1_HUMAN
OG0003381	jg26983.t2, jg26983.t1, jg24140.t1, jg25613.t1	sp|O15042|SR140_HUMAN
OG0003382	jg25419.t1, jg9620.t1	sp|Q5T8I3|F102B_HUMAN, sp|Q5T9C2|F102A_HUMAN
OG0003389	jg4695.t1	sp|Q53H12|AGK_HUMAN
OG0003390	jg27657.t1	sp|Q13596|SNX1_HUMAN, sp|O60749|SNX2_HUMAN
OG0003392	jg19048.t1	sp|O60828|PQBP1_HUMAN
OG0003396	jg10472.t1, jg15071.t1, jg15073.t1	sp|Q9NUY8|TBC23_HUMAN
OG0003397	jg28225.t1	sp|Q8WUM0|NU133_HUMAN
OG0003398	jg12261.t1	sp|Q14376|GALE_HUMAN
OG0003400	jg20851.t1	sp|P22033|MUTA_HUMAN
OG0003401	jg10690.t1	sp|A4FU69|EFCB5_HUMAN
OG0003402	jg27966.t1	sp|Q9HAW4|CLSPN_HUMAN
OG0003404	jg7948.t1	sp|Q9UPN4|CP131_HUMAN
OG0003407	jg20511.t1, jg7891.t1	sp|O75691|UTP20_HUMAN
OG0003408	jg6184.t1	sp|Q99973|TEP1_HUMAN
OG0003411	jg7694.t1, jg23400.t1, jg12586.t1	sp|Q8NAG6|ANKL1_HUMAN
OG0003417	jg3513.t1, jg3514.t1	sp|Q9UNN5|FAF1_HUMAN
OG0003418	jg28341.t1	sp|Q6ZT12|UBR3_HUMAN, sp|Q8IWV8|UBR2_HUMAN, sp|Q8IWV7|UBR1_HUMAN
OG0003419	jg4196.t1, jg3599.t1	sp|Q5T0N1|CFA70_HUMAN
OG0003420	jg22329.t1, jg4215.t1	sp|P42229|STA5A_HUMAN, sp|P51692|STA5B_HUMAN
OG0003422	jg28481.t1	sp|Q6ZUT9|DEN5B_HUMAN, sp|Q6IQ26|DEN5A_HUMAN
OG0003423	jg18458.t1	sp|Q4G0Z9|MCMD2_HUMAN
OG0003424	jg30224.t1, jg11318.t1	sp|P13994|CC130_HUMAN
OG0003429	jg28583.t1, jg28583.t2	sp|Q9BQC3|DPH2_HUMAN
OG0003432	jg8194.t1, jg8193.t1	sp|Q9BU23|LMF2_HUMAN
OG0003433	jg4730.t2, jg4730.t1, jg4731.t1	sp|Q8NI27|THOC2_HUMAN
OG0003435	jg12181.t1, jg12179.t1	sp|Q9UBS9|SUCO_HUMAN
OG0003436	jg19255.t1	sp|Q5VWQ8|DAB2P_HUMAN, sp|Q9UJF2|NGAP_HUMAN, sp|Q96PV0|SYGP1_HUMAN
OG0003437	jg27959.t1, jg15954.t1	sp|Q96KG9|SCYL1_HUMAN
OG0003438	jg13325.t1	sp|Q9NRS6|SNX15_HUMAN, sp|Q96S38|KS6C1_HUMAN, sp|Q9Y6S9|RPKL1_HUMAN
OG0003439	jg4613.t1	sp|Q9NR31|SAR1A_HUMAN, sp|Q9Y6B6|SAR1B_HUMAN
OG0003440	jg8500.t1	sp|Q9UMZ3|PTPRQ_HUMAN
OG0003441	jg18835.t1	sp|Q99952|PTN18_HUMAN
OG0003443	jg6740.t1	sp|Q15345|LRC41_HUMAN, sp|Q96HA7|TONSL_HUMAN
OG0003444	jg11619.t1	sp|Q7RTS9|DYM_HUMAN
OG0003446	jg17071.t1	sp|Q6ZNQ3|LRC69_HUMAN
OG0003447	jg20849.t1	sp|Q9H0C8|ILKAP_HUMAN
OG0003448	jg4405.t1	sp|Q6PML9|ZNT9_HUMAN
OG0003449	jg24426.t1, jg27703.t1, jg24427.t1	sp|Q96BZ4|PLD4_HUMAN, sp|Q8IV08|PLD3_HUMAN
OG0003450	jg2599.t1	sp|Q9UEY8|ADDG_HUMAN, sp|P35612|ADDB_HUMAN, sp|P35611|ADDA_HUMAN
OG0003451	jg17073.t1	sp|Q15024|EXOS7_HUMAN
OG0003452	jg26883.t1, jg27903.t1, jg372.t1	sp|P53396|ACLY_HUMAN
OG0003454	jg8214.t1, jg6076.t1	sp|O15229|KMO_HUMAN
OG0003455	jg3140.t1, jg17039.t1	sp|Q9NZJ0|DTL_HUMAN
OG0003459	jg18113.t1	sp|Q5VZK9|CARL1_HUMAN, sp|Q6F5E8|CARL2_HUMAN, sp|Q8ND23|CARL3_HUMAN
OG0003460	jg6846.t1, jg18186.t1, jg6663.t1	sp|Q8IUR0|TPPC5_HUMAN
OG0003462	jg13279.t1, jg1009.t1	sp|Q2NL67|PARP6_HUMAN, sp|Q8N3A8|PARP8_HUMAN
OG0003463	jg19161.t1, jg2003.t1, jg4709.t1	sp|Q9UJ83|HACL1_HUMAN
OG0003464	jg12213.t1	sp|Q6DCA0|AMERL_HUMAN, sp|Q9Y4X0|AMMR1_HUMAN
OG0003466	jg11615.t1	sp|P0C7V7|SC11B_HUMAN, sp|P67812|SC11A_HUMAN, sp|Q9BY50|SC11C_HUMAN
OG0003467	jg11686.t1	sp|A8MU46|SMTL1_HUMAN, sp|P53814|SMTN_HUMAN, sp|Q2TAL5|SMTL2_HUMAN
OG0003468	jg11583.t1	sp|Q9HCE0|EPG5_HUMAN
OG0003472	jg7902.t1	sp|P28072|PSB6_HUMAN
OG0003474	jg19265.t1, jg19278.t1	sp|Q9P1Z9|CC180_HUMAN
OG0003475	jg14470.t1, jg14468.t1	sp|O43272|PROD_HUMAN
OG0003476	jg20843.t1, jg20843.t2	sp|P28331|NDUS1_HUMAN
OG0003479	jg28141.t1	sp|Q5SRD1|TI23B_HUMAN, sp|O14925|TIM23_HUMAN
OG0003480	jg20033.t1	sp|Q8WVP7|LMBR1_HUMAN, sp|Q6UX01|LMBRL_HUMAN
OG0003482	jg28140.t1	sp|Q9UNS2|CSN3_HUMAN
OG0003483	jg4358.t1	sp|Q8N960|CE120_HUMAN
OG0003485	jg22585.t1, jg27346.t1	sp|Q6PI26|SHQ1_HUMAN
OG0003491	jg11574.t1, jg14257.t1, jg16519.t1	sp|P50440|GATM_HUMAN
OG0003492	jg8020.t1, jg26672.t1	sp|Q8NEZ3|WDR19_HUMAN
OG0003494	jg13405.t1, jg23218.t1	sp|P51587|BRCA2_HUMAN
OG0003500	jg24852.t1	sp|Q9BWU0|NADAP_HUMAN
OG0003501	jg981.t1, jg3212.t1	sp|O00566|MPP10_HUMAN
OG0003504	jg1298.t1, jg12923.t1	sp|Q9H6X2|ANTR1_HUMAN, sp|P58335|ANTR2_HUMAN, sp|A6NF34|ANTRL_HUMAN
OG0003507	jg20822.t1	sp|Q9Y646|CBPQ_HUMAN
OG0003514	jg7688.t1, jg23394.t1, jg12580.t1	sp|A6NNX1|RIAD1_HUMAN
OG0003517	jg14643.t1	sp|Q9UKM7|MA1B1_HUMAN
OG0003519	jg18517.t1	sp|O95104|SCAF4_HUMAN, sp|Q9UPN6|SCAF8_HUMAN
OG0003522	jg6869.t1, jg1941.t1	sp|Q9BX40|LS14B_HUMAN, sp|Q8ND56|LS14A_HUMAN
OG0003523	jg8867.t1, jg8448.t1	sp|Q969M7|UBE2F_HUMAN
OG0003524	jg12197.t1	sp|Q86UY8|NT5D3_HUMAN, sp|Q9H857|NT5D2_HUMAN
OG0003525	jg11596.t1	sp|Q96NH3|BROMI_HUMAN
OG0003527	jg8979.t1	sp|Q96EK5|KBP_HUMAN
OG0003531	jg1902.t1	sp|Q9NVM4|ANM7_HUMAN
OG0003534	jg8741.t1	sp|Q8IWG1|DNAI3_HUMAN
OG0003535	jg18437.t1	sp|Q15633|TRBP2_HUMAN, sp|O75569|PRKRA_HUMAN
OG0003537	jg14356.t1	sp|Q86W42|THOC6_HUMAN
OG0003539	jg18506.t1	sp|Q9BQ75|CMS1_HUMAN
OG0003540	jg11466.t1, jg11441.t1, jg18197.t1	sp|Q86SZ2|TPC6B_HUMAN, sp|O75865|TPC6A_HUMAN
OG0003541	jg27205.t1	sp|Q9BXU7|UBP26_HUMAN, sp|Q9HBJ7|UBP29_HUMAN, sp|Q86T82|UBP37_HUMAN
OG0003545	jg18466.t1, jg18468.t1	sp|Q9UNX4|WDR3_HUMAN
OG0003552	jg29432.t1	sp|Q9NQX4|MYO5C_HUMAN, sp|Q9Y4I1|MYO5A_HUMAN, sp|Q9ULV0|MYO5B_HUMAN
OG0003554	jg23829.t1	sp|Q9Y6G9|DC1L1_HUMAN, sp|O43237|DC1L2_HUMAN
OG0003557	jg2653.t1	sp|O94830|DDHD2_HUMAN, sp|Q9Y6Y8|S23IP_HUMAN
OG0003558	jg21662.t1, jg21665.t1	sp|Q13813|SPTN1_HUMAN, sp|P02549|SPTA1_HUMAN
OG0003565	jg18839.t1	sp|Q96SW2|CRBN_HUMAN
OG0003567	jg7996.t1, jg22265.t1, jg26654.t1	sp|A0A1B0GTD5|TEX49_HUMAN
OG0003568	jg7669.t1, jg7669.t2	sp|Q9NZ43|USE1_HUMAN
OG0003569	jg14503.t1	sp|O00541|PESC_HUMAN
OG0003572	jg12445.t1, jg24647.t1	sp|Q92990|GLMN_HUMAN
OG0003576	jg11030.t1	sp|Q96PE7|MCEE_HUMAN
OG0003577	jg15075.t1, jg10475.t1	sp|Q56P03|EAPP_HUMAN
OG0003581	jg27991.t1, jg272.t1	sp|O96017|CHK2_HUMAN
OG0003583	jg3479.t1, jg15998.t1, jg7570.t1	sp|Q8IUZ0|LRC49_HUMAN
OG0003587	jg25545.t1, jg3073.t1	sp|Q8TF61|FBX41_HUMAN, sp|Q70YC5|ZN365_HUMAN
OG0003590	jg24853.t1	sp|Q9BT22|ALG1_HUMAN, sp|C9J202|AG1L2_HUMAN, sp|Q6GMV1|ALG1L_HUMAN
OG0003592	jg13968.t1, jg9429.t1, jg26904.t1	sp|Q9HCG8|CWC22_HUMAN
OG0003594	jg16763.t1, jg23275.t1	sp|Q6N063|OGFD2_HUMAN
OG0003600	jg16837.t1	sp|P46736|BRCC3_HUMAN
OG0003603	jg15956.t1, jg15960.t1, jg9496.t1	sp|A6NDU8|CE051_HUMAN
OG0003605	jg8311.t1	sp|Q9BX68|HINT2_HUMAN
OG0003606	jg8617.t1, jg3269.t1	sp|Q9Y244|POMP_HUMAN
OG0003608	jg27994.t1, jg27993.t1	sp|Q9UJM8|HAOX1_HUMAN
OG0003610	jg4209.t1, jg17923.t1	sp|Q8N841|TTLL6_HUMAN, sp|A6NNM8|TTL13_HUMAN
OG0003611	jg14862.t1, jg28881.t1	sp|Q9UJX0|OSGI1_HUMAN, sp|Q9Y236|OSGI2_HUMAN
OG0003614	jg1732.t1, jg16637.t1, jg16636.t1, jg1731.t1	sp|Q9Y4C8|RBM19_HUMAN
OG0003615	jg15856.t1	sp|Q86X83|COMD2_HUMAN
OG0003616	jg27934.t1	sp|Q9BZL6|KPCD2_HUMAN, sp|Q15139|KPCD1_HUMAN, sp|O94806|KPCD3_HUMAN
OG0003617	jg1075.t1, jg24118.t1	sp|Q8TE85|GRHL3_HUMAN, sp|Q6ISB3|GRHL2_HUMAN, sp|Q9NZI5|GRHL1_HUMAN
OG0003619	jg27935.t1	sp|O95197|RTN3_HUMAN, sp|Q9NQC3|RTN4_HUMAN, sp|Q16799|RTN1_HUMAN, sp|O75298|RTN2_HUMAN
OG0003621	jg8396.t1	sp|Q8N6H7|ARFG2_HUMAN, sp|Q9NP61|ARFG3_HUMAN
OG0003622	jg3232.t1, jg13472.t1, jg3231.t1	sp|P0C7U1|ASA2B_HUMAN, sp|Q9NR71|ASAH2_HUMAN
OG0003623	jg14104.t1, jg13069.t1	sp|Q8WUF8|F172A_HUMAN, sp|A6NC97|F172B_HUMAN
OG0003624	jg17482.t1	sp|O00327|BMAL1_HUMAN, sp|Q8WYA1|BMAL2_HUMAN
OG0003627	jg6793.t1	sp|O95716|RAB3D_HUMAN, sp|P20337|RAB3B_HUMAN, sp|P20336|RAB3A_HUMAN, sp|Q96E17|RAB3C_HUMAN
OG0003629	jg11254.t1, jg18957.t1	sp|Q96BM9|ARL8A_HUMAN, sp|Q9NVJ2|ARL8B_HUMAN
OG0003630	jg10779.t1	sp|Q9NR61|DLL4_HUMAN, sp|O00548|DLL1_HUMAN, sp|P78504|JAG1_HUMAN, sp|Q9Y219|JAG2_HUMAN
OG0003633	jg8683.t1, jg1252.t1	sp|Q8N0X4|CLYBL_HUMAN
OG0003634	jg3254.t1, jg22755.t1	sp|P51790|CLCN3_HUMAN, sp|P51795|CLCN5_HUMAN, sp|P51793|CLCN4_HUMAN
OG0003636	jg1250.t1, jg8681.t1	sp|Q15691|MARE1_HUMAN, sp|Q9UPY8|MARE3_HUMAN, sp|Q15555|MARE2_HUMAN
OG0003638	jg18450.t1, jg689.t1, jg18446.t1	sp|Q4VC31|MIX23_HUMAN
OG0003639	jg4376.t1	sp|P69849|NOMO3_HUMAN, sp|Q15155|NOMO1_HUMAN, sp|Q5JPE7|NOMO2_HUMAN
OG0003640	jg18321.t1	sp|Q9BQB6|VKOR1_HUMAN, sp|Q8N0U8|VKORL_HUMAN
OG0003641	jg11519.t1	sp|Q9NYA4|MTMR4_HUMAN, sp|Q13615|MTMR3_HUMAN
OG0003642	jg22576.t1, jg2135.t1, jg22573.t1, jg27343.t1	sp|Q8IV38|ANKY2_HUMAN
OG0003644	jg1940.t1, jg6870.t1	sp|Q9UHA2|S18L2_HUMAN, sp|Q15532|SSXT_HUMAN, sp|O75177|CREST_HUMAN
OG0003646	jg20350.t1, jg24747.t1	sp|Q12979|ABR_HUMAN, sp|P11274|BCR_HUMAN
OG0003647	jg8174.t1, jg8173.t1	sp|Q16831|UPP1_HUMAN, sp|O95045|UPP2_HUMAN
OG0003648	jg904.t1	sp|O95379|TFIP8_HUMAN, sp|Q8WVP5|TP8L1_HUMAN, sp|Q6P589|TP8L2_HUMAN, sp|Q5GJ75|TP8L3_HUMAN
OG0003649	jg25797.t1, jg19194.t1, jg19193.t1	sp|Q9Y2Q3|GSTK1_HUMAN
OG0003651	jg4623.t1	sp|P07602|SAP_HUMAN, sp|Q6NUJ1|SAPL1_HUMAN
OG0003656	jg20271.t1	sp|P11277|SPTB1_HUMAN, sp|O15020|SPTN2_HUMAN, sp|Q01082|SPTB2_HUMAN, sp|Q9H254|SPTN4_HUMAN
OG0003658	jg27001.t1, jg23708.t1, jg27004.t1, jg17049.t1	sp|Q9NRP7|STK36_HUMAN
