Orthogroup	Human_UP000005640_9606	Amphimedon_UP000007879_400682
OG0004817	sp|Q96JM4|LRIQ1_HUMAN	tr|A0A1X7U9W0|A0A1X7U9W0_AMPQE
OG0004818	sp|Q8IYE1|CCD13_HUMAN	tr|A0A1X7U9X4|A0A1X7U9X4_AMPQE
OG0004819	sp|P19544|WT1_HUMAN	tr|A0A1X7U9Y9|A0A1X7U9Y9_AMPQE
OG0004820	sp|Q9HBG4|VPP4_HUMAN, sp|Q93050|VPP1_HUMAN	tr|A0A1X7U9Z2|A0A1X7U9Z2_AMPQE
OG0004822	sp|Q92636|FAN_HUMAN	tr|A0A1X7UAC0|A0A1X7UAC0_AMPQE
OG0004823	sp|Q8WXB1|MT21A_HUMAN, sp|Q96AZ1|EFMT3_HUMAN	tr|A0A1X7UAR9|A0A1X7UAR9_AMPQE
OG0004824	sp|Q9H6D7|HAUS4_HUMAN	tr|A0A1X7UAV8|A0A1X7UAV8_AMPQE
OG0004827	sp|Q9H0Z9|RBM38_HUMAN, sp|Q9BX46|RBM24_HUMAN	tr|A0A1X7UB33|A0A1X7UB33_AMPQE
OG0004828	sp|Q6PHR2|ULK3_HUMAN	tr|A0A1X7UB96|A0A1X7UB96_AMPQE, tr|A0A1X7UCL9|A0A1X7UCL9_AMPQE, tr|A0A1X7UC63|A0A1X7UC63_AMPQE
OG0004832	sp|Q93099|HGD_HUMAN	tr|A0A1X7UBP9|A0A1X7UBP9_AMPQE
OG0004833	sp|Q96C36|P5CR2_HUMAN, sp|P32322|P5CR1_HUMAN, sp|Q6NXP6|NXRD1_HUMAN	tr|A0A1X7UBY2|A0A1X7UBY2_AMPQE
OG0004834	sp|P56537|IF6_HUMAN	tr|A0A1X7UC20|A0A1X7UC20_AMPQE
OG0004836	sp|Q15751|HERC1_HUMAN	tr|A0A1X7UYH3|A0A1X7UYH3_AMPQE, tr|A0A1X7UC79|A0A1X7UC79_AMPQE
OG0004838	sp|P24864|CCNE1_HUMAN, sp|O96020|CCNE2_HUMAN	tr|A0A1X7UCC3|A0A1X7UCC3_AMPQE
OG0004840	sp|Q16822|PCKGM_HUMAN, sp|P35558|PCKGC_HUMAN	tr|A0A1X7UCW8|A0A1X7UCW8_AMPQE
OG0004842	sp|P20290|BTF3_HUMAN, sp|Q96K17|BT3L4_HUMAN	tr|A0A1X7UD35|A0A1X7UD35_AMPQE
OG0004843	sp|Q96AG4|LRC59_HUMAN	tr|A0A1X7UD61|A0A1X7UD61_AMPQE
OG0004844	sp|O95600|KLF8_HUMAN, sp|Q9Y4X4|KLF12_HUMAN	tr|A0A1X7UDA5|A0A1X7UDA5_AMPQE
OG0004845	sp|Q8N612|FHI1B_HUMAN, sp|Q05DH4|FHI1A_HUMAN	tr|A0A1X7UDC4|A0A1X7UDC4_AMPQE
OG0004846	sp|P29120|NEC1_HUMAN, sp|P09958|FURIN_HUMAN	tr|A0A1X7UDL5|A0A1X7UDL5_AMPQE
OG0004847	sp|P28347|TEAD1_HUMAN	tr|A0A1X7UDU0|A0A1X7UDU0_AMPQE
OG0004848	sp|P35222|CTNB1_HUMAN, sp|P14923|PLAK_HUMAN	tr|A0A1X7UDX0|A0A1X7UDX0_AMPQE
OG0004849	sp|Q12798|CETN1_HUMAN, sp|P41208|CETN2_HUMAN	tr|A0A1X7UE70|A0A1X7UE70_AMPQE
OG0004850	sp|O60921|HUS1_HUMAN, sp|Q8NHY5|HUS1B_HUMAN	tr|A0A1X7UEC4|A0A1X7UEC4_AMPQE
OG0004851	sp|Q96EP1|CHFR_HUMAN	tr|A0A1X7UEF5|A0A1X7UEF5_AMPQE
OG0004852	sp|Q4G0J3|LARP7_HUMAN	tr|A0A1X7UEG2|A0A1X7UEG2_AMPQE
OG0004853	sp|Q8IWX7|UN45B_HUMAN, sp|Q9H3U1|UN45A_HUMAN	tr|A0A1X7UEI8|A0A1X7UEI8_AMPQE
OG0004854	sp|Q13614|MTMR2_HUMAN	tr|A0A1X7UEU3|A0A1X7UEU3_AMPQE
OG0004855	sp|P46059|S15A1_HUMAN, sp|Q16348|S15A2_HUMAN	tr|A0A1X7UG83|A0A1X7UG83_AMPQE, tr|A0A1X7UEU9|A0A1X7UEU9_AMPQE
OG0004856	sp|P15735|PHKG2_HUMAN, sp|Q16816|PHKG1_HUMAN	tr|A0A1X7UEV6|A0A1X7UEV6_AMPQE
OG0004857	sp|Q9NVH0|EXD2_HUMAN	tr|A0A1X7UEW5|A0A1X7UEW5_AMPQE
OG0004859	sp|O60237|MYPT2_HUMAN, sp|O14974|MYPT1_HUMAN, sp|Q9BZL4|PP12C_HUMAN	tr|A0A1X7UF54|A0A1X7UF54_AMPQE
OG0004860	sp|Q9HB20|PKHA3_HUMAN, sp|O95397|PKHA9_HUMAN, sp|Q96JA3|PKHA8_HUMAN	tr|A0A1X7UFD0|A0A1X7UFD0_AMPQE
OG0004861	sp|Q8N183|NDUF2_HUMAN	tr|A0A1X7UFD2|A0A1X7UFD2_AMPQE
OG0004863	sp|Q71RG4|TMUB2_HUMAN, sp|Q9BVT8|TMUB1_HUMAN	tr|A0A1X7UFR3|A0A1X7UFR3_AMPQE
OG0004866	sp|O14908|GIPC1_HUMAN, sp|Q8TF64|GIPC3_HUMAN	tr|A0A1X7UG72|A0A1X7UG72_AMPQE
OG0004867	sp|Q8IXU6|S35F2_HUMAN, sp|Q5T1Q4|S35F1_HUMAN	tr|A0A1X7UGB4|A0A1X7UGB4_AMPQE
OG0004868	sp|Q9Y3D7|TIM16_HUMAN	tr|A0A1X7UGJ3|A0A1X7UGJ3_AMPQE
OG0004869	sp|Q86X95|CIR1_HUMAN	tr|A0A1X7UGK1|A0A1X7UGK1_AMPQE
OG0004870	sp|Q6P1M0|S27A4_HUMAN	tr|A0A1X7UHS2|A0A1X7UHS2_AMPQE, tr|A0A1X7UGW3|A0A1X7UGW3_AMPQE
OG0004871	sp|Q6N069|NAA16_HUMAN, sp|Q9BXJ9|NAA15_HUMAN	tr|A0A1X7UH32|A0A1X7UH32_AMPQE
OG0004872	sp|O15541|R113A_HUMAN, sp|Q8IZP6|R113B_HUMAN	tr|A0A1X7UH35|A0A1X7UH35_AMPQE
OG0004873	sp|P08151|GLI1_HUMAN, sp|P10071|GLI3_HUMAN, sp|P10070|GLI2_HUMAN	tr|A0A1X7UH40|A0A1X7UH40_AMPQE
OG0004875	sp|P46926|GNPI1_HUMAN, sp|Q8TDQ7|GNPI2_HUMAN	tr|A0A1X7UH74|A0A1X7UH74_AMPQE
OG0004876	sp|Q96T37|RBM15_HUMAN, sp|Q8NDT2|RB15B_HUMAN	tr|A0A1X7UH93|A0A1X7UH93_AMPQE
OG0004877	sp|P61218|RPAB2_HUMAN	tr|A0A1X7UHG4|A0A1X7UHG4_AMPQE
OG0004878	sp|O75110|ATP9A_HUMAN, sp|O43861|ATP9B_HUMAN	tr|A0A1X7UHJ8|A0A1X7UHJ8_AMPQE
OG0004879	sp|P83916|CBX1_HUMAN, sp|P45973|CBX5_HUMAN, sp|Q13185|CBX3_HUMAN	tr|A0A1X7UHM6|A0A1X7UHM6_AMPQE
OG0004881	sp|P25940|CO5A3_HUMAN, sp|P13942|COBA2_HUMAN, sp|P20908|CO5A1_HUMAN, sp|P12107|COBA1_HUMAN	tr|A0A1X7UHR0|A0A1X7UHR0_AMPQE
OG0004882	sp|Q13601|KRR1_HUMAN	tr|A0A1X7UHR3|A0A1X7UHR3_AMPQE
OG0004883	sp|Q494U1|PKHN1_HUMAN, sp|Q15052|ARHG6_HUMAN, sp|Q14155|ARHG7_HUMAN	tr|A0A1X7UHU7|A0A1X7UHU7_AMPQE, tr|A0A1X7UI47|A0A1X7UI47_AMPQE
OG0004884	sp|A6NKH3|RL37L_HUMAN, sp|P61513|RL37A_HUMAN	tr|A0A1X7UHW6|A0A1X7UHW6_AMPQE
OG0004885	sp|O60568|PLOD3_HUMAN, sp|Q02809|PLOD1_HUMAN, sp|O00469|PLOD2_HUMAN	tr|A0A1X7UHW9|A0A1X7UHW9_AMPQE
OG0004886	sp|P54687|BCAT1_HUMAN	tr|A0A1X7UI08|A0A1X7UI08_AMPQE
OG0004887	sp|P54840|GYS2_HUMAN, sp|P13807|GYS1_HUMAN	tr|A0A1X7UI12|A0A1X7UI12_AMPQE
OG0004888	sp|Q9UGI8|TES_HUMAN, sp|Q9NZU5|LMCD1_HUMAN	tr|A0A1X7UI36|A0A1X7UI36_AMPQE
OG0004890	sp|Q99942|RNF5_HUMAN, sp|Q96GF1|RN185_HUMAN	tr|A0A1X7UIH2|A0A1X7UIH2_AMPQE, tr|A0A1X7UI61|A0A1X7UI61_AMPQE
OG0004891	sp|Q9H4R4|CT191_HUMAN, sp|Q9Y618|NCOR2_HUMAN, sp|O75376|NCOR1_HUMAN	tr|A0A1X7UIA0|A0A1X7UIA0_AMPQE
OG0004892	sp|Q96HV5|TM41A_HUMAN	tr|A0A1X7UIF5|A0A1X7UIF5_AMPQE
OG0004893	sp|P60468|SC61B_HUMAN	tr|A0A1X7UIN5|A0A1X7UIN5_AMPQE
OG0004895	sp|O75956|CDKA2_HUMAN, sp|O14519|CDKA1_HUMAN	tr|A0A1X7UJ25|A0A1X7UJ25_AMPQE
OG0004896	sp|Q569K6|CC157_HUMAN	tr|A0A1X7UJ41|A0A1X7UJ41_AMPQE, tr|A0A1X7URU6|A0A1X7URU6_AMPQE
OG0004897	sp|Q96EY8|MMAB_HUMAN	tr|A0A1X7USM3|A0A1X7USM3_AMPQE, tr|A0A1X7UJ48|A0A1X7UJ48_AMPQE, tr|A0A1X7US93|A0A1X7US93_AMPQE
OG0004898	sp|P51148|RAB5C_HUMAN	tr|A0A1X7UJA5|A0A1X7UJA5_AMPQE
OG0004900	sp|Q7Z3B4|NUP54_HUMAN	tr|A0A1X7UJF7|A0A1X7UJF7_AMPQE, tr|A0A1X7UJP9|A0A1X7UJP9_AMPQE
OG0004901	sp|Q9BYW2|SETD2_HUMAN	tr|A0A1X7UJK2|A0A1X7UJK2_AMPQE
OG0004902	sp|Q9H8Y8|GORS2_HUMAN	tr|A0A1X7UJK7|A0A1X7UJK7_AMPQE, tr|A0A1X7UK73|A0A1X7UK73_AMPQE
OG0004905	sp|Q9UDY4|DNJB4_HUMAN, sp|P25685|DNJB1_HUMAN	tr|A0A1X7UJZ5|A0A1X7UJZ5_AMPQE
OG0004906	sp|Q8IYD1|ERF3B_HUMAN, sp|P15170|ERF3A_HUMAN	tr|A0A1X7UK03|A0A1X7UK03_AMPQE
OG0004907	sp|Q5VWC8|HACD4_HUMAN, sp|Q9P035|HACD3_HUMAN	tr|A0A1X7UK16|A0A1X7UK16_AMPQE
OG0004908	sp|Q9BXD5|NPL_HUMAN	tr|A0A1X7UK19|A0A1X7UK19_AMPQE, tr|A0A1X7ULD8|A0A1X7ULD8_AMPQE
OG0004910	sp|A6NNY8|UBP27_HUMAN, sp|Q9UPT9|UBP22_HUMAN, sp|Q70EK9|UBP51_HUMAN	tr|A0A1X7UK36|A0A1X7UK36_AMPQE
OG0004911	sp|Q96EK6|GNA1_HUMAN	tr|A0A1X7UK49|A0A1X7UK49_AMPQE
OG0004912	sp|Q9NSE2|CISH_HUMAN, sp|O14508|SOCS2_HUMAN, sp|O15524|SOCS1_HUMAN	tr|A0A1X7UK72|A0A1X7UK72_AMPQE
OG0004913	sp|Q6ZNJ1|NBEL2_HUMAN, sp|Q6ZS30|NBEL1_HUMAN	tr|A0A1X7UKB4|A0A1X7UKB4_AMPQE
OG0004914	sp|Q9H422|HIPK3_HUMAN, sp|Q86Z02|HIPK1_HUMAN, sp|Q9H2X6|HIPK2_HUMAN	tr|A0A1X7UKH5|A0A1X7UKH5_AMPQE
OG0004915	sp|A8MPP1|D11L8_HUMAN, sp|Q96FC9|DDX11_HUMAN, sp|Q92771|DDX12_HUMAN	tr|A0A1X7UKI4|A0A1X7UKI4_AMPQE
OG0004916	sp|Q9BSJ2|GCP2_HUMAN	tr|A0A1X7UKI6|A0A1X7UKI6_AMPQE
OG0004917	sp|Q9P1F3|ABRAL_HUMAN	tr|A0A1X7UKK7|A0A1X7UKK7_AMPQE
OG0004918	sp|Q96BJ3|AIDA_HUMAN	tr|A0A1X7UKP5|A0A1X7UKP5_AMPQE
OG0004919	sp|Q9C0G6|DYH6_HUMAN	tr|A0A1X7VR12|A0A1X7VR12_AMPQE, tr|A0A1X7UKU1|A0A1X7UKU1_AMPQE
OG0004920	sp|A0A0B4J2F2|SIK1B_HUMAN, sp|P57059|SIK1_HUMAN	tr|A0A1X7UKX2|A0A1X7UKX2_AMPQE
OG0004921	sp|Q8NI77|KI18A_HUMAN, sp|Q86Y91|KI18B_HUMAN	tr|A0A1X7ULA3|A0A1X7ULA3_AMPQE
OG0004922	sp|Q9H993|ARMT1_HUMAN	tr|A0A1X7ULD0|A0A1X7ULD0_AMPQE
OG0004924	sp|Q9P2F8|SI1L2_HUMAN, sp|O43166|SI1L1_HUMAN, sp|O60292|SI1L3_HUMAN	tr|A0A1X7ULJ1|A0A1X7ULJ1_AMPQE
OG0004925	sp|Q9NQV7|PRDM9_HUMAN, sp|Q9NQW5|PRDM7_HUMAN	tr|A0A1X7ULJ8|A0A1X7ULJ8_AMPQE, tr|A0A1X7UMW6|A0A1X7UMW6_AMPQE
OG0004927	sp|P43378|PTN9_HUMAN	tr|A0A1X7UM05|A0A1X7UM05_AMPQE
OG0004928	sp|Q9H0G5|NSRP1_HUMAN	tr|A0A1X7UM59|A0A1X7UM59_AMPQE, tr|A0A1X7UMV9|A0A1X7UMV9_AMPQE
OG0004929	sp|Q9HBU6|EKI1_HUMAN, sp|Q9NVF9|EKI2_HUMAN	tr|A0A1X7UM85|A0A1X7UM85_AMPQE
OG0004930	sp|Q13586|STIM1_HUMAN, sp|Q9P246|STIM2_HUMAN	tr|A0A1X7UME7|A0A1X7UME7_AMPQE
OG0004931	sp|Q99661|KIF2C_HUMAN, sp|O00139|KIF2A_HUMAN, sp|Q8N4N8|KIF2B_HUMAN	tr|A0A1X7UMF4|A0A1X7UMF4_AMPQE
OG0004932	sp|Q96EQ0|SGTB_HUMAN, sp|O43765|SGTA_HUMAN	tr|A0A1X7UMI6|A0A1X7UMI6_AMPQE
OG0004933	sp|P43897|EFTS_HUMAN	tr|A0A1X7UML5|A0A1X7UML5_AMPQE
OG0004934	sp|P06276|CHLE_HUMAN, sp|P22303|ACES_HUMAN	tr|A0A1X7UMW2|A0A1X7UMW2_AMPQE
OG0004935	sp|O95801|TTC4_HUMAN	tr|A0A1X7UMX5|A0A1X7UMX5_AMPQE
OG0004936	sp|O94760|DDAH1_HUMAN, sp|O95865|DDAH2_HUMAN	tr|A0A1X7UN20|A0A1X7UN20_AMPQE
OG0004937	sp|O75379|VAMP4_HUMAN	tr|A0A1X7UN25|A0A1X7UN25_AMPQE
OG0004938	sp|O95870|ABHGA_HUMAN, sp|Q9H3Z7|ABHGB_HUMAN	tr|A0A1X7UN35|A0A1X7UN35_AMPQE
OG0004939	sp|Q96A37|RN166_HUMAN	tr|A0A1X7UN60|A0A1X7UN60_AMPQE
OG0004940	sp|Q9Y5K6|CD2AP_HUMAN, sp|Q96B97|SH3K1_HUMAN	tr|A0A1X7UNJ3|A0A1X7UNJ3_AMPQE, tr|A0A1X7UN87|A0A1X7UN87_AMPQE, tr|A0A1X7UZY7|A0A1X7UZY7_AMPQE
OG0004941	sp|Q9BZ68|FR8P1_HUMAN, sp|Q9BZ67|FRMD8_HUMAN	tr|A0A1X7UNK4|A0A1X7UNK4_AMPQE
OG0004943	sp|Q9Y394|DHRS7_HUMAN	tr|A0A1X7UNL2|A0A1X7UNL2_AMPQE
OG0004944	sp|O15178|TBXT_HUMAN, sp|O60806|TBX19_HUMAN	tr|A0A1X7UNR6|A0A1X7UNR6_AMPQE
OG0004945	sp|Q8TE49|OTU7A_HUMAN, sp|Q6GQQ9|OTU7B_HUMAN	tr|A0A1X7UNR8|A0A1X7UNR8_AMPQE
OG0004946	sp|Q9UBZ9|REV1_HUMAN	tr|A0A1X7UNS7|A0A1X7UNS7_AMPQE
OG0004947	sp|A0AVT1|UBA6_HUMAN	tr|A0A1X7UP29|A0A1X7UP29_AMPQE
OG0004948	sp|Q9HCJ3|RAVR2_HUMAN, sp|Q8IY67|RAVR1_HUMAN	tr|A0A1X7UP69|A0A1X7UP69_AMPQE, tr|A0A1X7UP64|A0A1X7UP64_AMPQE
OG0004951	sp|Q9UBE8|NLK_HUMAN	tr|A0A1X7UPD5|A0A1X7UPD5_AMPQE
OG0004953	sp|Q96G25|MED8_HUMAN	tr|A0A1X7UPK6|A0A1X7UPK6_AMPQE
OG0004954	sp|Q6P575|BGP11_HUMAN, sp|P08236|BGLR_HUMAN	tr|A0A1X7UQM1|A0A1X7UQM1_AMPQE, tr|A0A1X7UPN4|A0A1X7UPN4_AMPQE
OG0004955	sp|Q9UPR3|SMG5_HUMAN	tr|A0A1X7UPR2|A0A1X7UPR2_AMPQE
OG0004956	sp|Q5T3U5|MRP7_HUMAN	tr|A0A1X7UR56|A0A1X7UR56_AMPQE, tr|A0A1X7UPS9|A0A1X7UPS9_AMPQE, tr|A0A1X7UQQ7|A0A1X7UQQ7_AMPQE
OG0004958	sp|Q96BA8|CR3L1_HUMAN, sp|Q70SY1|CR3L2_HUMAN	tr|A0A1X7UPY4|A0A1X7UPY4_AMPQE
OG0004960	sp|Q5VX52|SPAT1_HUMAN	tr|A0A1X7UQ20|A0A1X7UQ20_AMPQE
OG0004961	sp|Q8IYL2|TRM44_HUMAN	tr|A0A1X7UQ33|A0A1X7UQ33_AMPQE
OG0004964	sp|P04406|G3P_HUMAN	tr|A0A1X7UQP4|A0A1X7UQP4_AMPQE
OG0004965	sp|Q96BN6|F149B_HUMAN, sp|A5PLN7|F149A_HUMAN	tr|A0A1X7UQP9|A0A1X7UQP9_AMPQE
OG0004966	sp|Q9Y6J8|STYL1_HUMAN	tr|A0A1X7UQS4|A0A1X7UQS4_AMPQE
OG0004967	sp|Q00169|PIPNA_HUMAN, sp|P48739|PIPNB_HUMAN	tr|A0A1X7UQV9|A0A1X7UQV9_AMPQE
OG0004968	sp|Q6ZVK8|NUD18_HUMAN	tr|A0A1X7UQW5|A0A1X7UQW5_AMPQE
OG0004969	sp|Q3KR37|ASTRB_HUMAN, sp|Q96CP6|ASTRA_HUMAN, sp|Q8IYS0|ASTRC_HUMAN	tr|A0A1X7UR26|A0A1X7UR26_AMPQE
OG0004970	sp|Q9BTY7|HGH1_HUMAN	tr|A0A1X7UR39|A0A1X7UR39_AMPQE
OG0004971	sp|Q9H6Y2|WDR55_HUMAN	tr|A0A1X7USX6|A0A1X7USX6_AMPQE, tr|A0A1X7UR65|A0A1X7UR65_AMPQE
OG0004973	sp|Q99643|C560_HUMAN	tr|A0A1X7URC8|A0A1X7URC8_AMPQE
OG0004974	sp|Q70Z53|F10C1_HUMAN	tr|A0A1X7URE0|A0A1X7URE0_AMPQE
OG0004975	sp|Q71RH2|TLC3B_HUMAN, sp|Q8TBR7|TLC3A_HUMAN	tr|A0A1X7V949|A0A1X7V949_AMPQE, tr|A0A1X7URJ1|A0A1X7URJ1_AMPQE
OG0004976	sp|Q5JUK3|KCNT1_HUMAN, sp|Q6UVM3|KCNT2_HUMAN	tr|A0A1X7URK1|A0A1X7URK1_AMPQE
OG0004977	sp|O75496|GEMI_HUMAN	tr|A0A1X7V862|A0A1X7V862_AMPQE, tr|A0A1X7URM6|A0A1X7URM6_AMPQE
OG0004978	sp|Q96HE9|PRR11_HUMAN	tr|A0A1X7URQ4|A0A1X7URQ4_AMPQE
OG0004979	sp|Q7Z3K6|MIER3_HUMAN, sp|Q8N108|MIER1_HUMAN, sp|Q8N344|MIER2_HUMAN	tr|A0A1X7URR3|A0A1X7URR3_AMPQE
OG0004980	sp|Q99638|RAD9A_HUMAN	tr|A0A1X7URR4|A0A1X7URR4_AMPQE
OG0004982	sp|Q15014|MO4L2_HUMAN, sp|Q9UBU8|MO4L1_HUMAN	tr|A0A1X7URZ0|A0A1X7URZ0_AMPQE
OG0004983	sp|Q5T890|ER6L2_HUMAN	tr|A0A1X7US22|A0A1X7US22_AMPQE
OG0004985	sp|A3KN83|SBNO1_HUMAN	tr|A0A1X7USG3|A0A1X7USG3_AMPQE
OG0004986	sp|Q8TDW4|ST7L_HUMAN, sp|Q9NRC1|ST7_HUMAN	tr|A0A1X7USG8|A0A1X7USG8_AMPQE
OG0004988	sp|P35236|PTN7_HUMAN, sp|Q15256|PTPRR_HUMAN, sp|P54829|PTN5_HUMAN	tr|A0A1X7UT39|A0A1X7UT39_AMPQE
OG0004991	sp|Q76L83|ASXL2_HUMAN, sp|Q8IXJ9|ASXL1_HUMAN, sp|Q9C0F0|ASXL3_HUMAN	tr|A0A1X7UTG1|A0A1X7UTG1_AMPQE
OG0004996	sp|Q03111|ENL_HUMAN, sp|P42568|AF9_HUMAN	tr|A0A1X7UU86|A0A1X7UU86_AMPQE
OG0004997	sp|Q14849|STAR3_HUMAN, sp|P49675|STAR_HUMAN, sp|O95772|STR3N_HUMAN	tr|A0A1X7UU93|A0A1X7UU93_AMPQE
OG0004998	sp|Q7Z739|YTHD3_HUMAN, sp|Q9BYJ9|YTHD1_HUMAN, sp|Q9Y5A9|YTHD2_HUMAN	tr|A0A1X7UUI9|A0A1X7UUI9_AMPQE
OG0004999	sp|Q96HR8|NAF1_HUMAN	tr|A0A1X7UVG3|A0A1X7UVG3_AMPQE, tr|A0A1X7UUQ4|A0A1X7UUQ4_AMPQE
OG0005000	sp|Q96LD1|SGCZ_HUMAN, sp|Q92629|SGCD_HUMAN, sp|Q13326|SGCG_HUMAN	tr|A0A1X7UUZ0|A0A1X7UUZ0_AMPQE
OG0005001	sp|P10155|RO60_HUMAN	tr|A0A1X7UUZ1|A0A1X7UUZ1_AMPQE
OG0005002	sp|Q8IWJ2|GCC2_HUMAN	tr|A0A1X7UV40|A0A1X7UV40_AMPQE
OG0005003	sp|Q6ZRS2|SRCAP_HUMAN	tr|A0A1X7UV42|A0A1X7UV42_AMPQE
OG0005004	sp|P37235|HPCL1_HUMAN, sp|P61601|NCALD_HUMAN	tr|A0A1X7UV93|A0A1X7UV93_AMPQE
OG0005005	sp|P68400|CSK21_HUMAN, sp|Q8NEV1|CSK23_HUMAN, sp|P19784|CSK22_HUMAN	tr|A0A1X7UVI1|A0A1X7UVI1_AMPQE
OG0005006	sp|Q6X4W1|NSMF_HUMAN	tr|A0A1X7UW88|A0A1X7UW88_AMPQE, tr|A0A1X7UVJ2|A0A1X7UVJ2_AMPQE
OG0005007	sp|P22307|SCP2_HUMAN	tr|A0A1X7UVJ4|A0A1X7UVJ4_AMPQE
OG0005008	sp|P00519|ABL1_HUMAN	tr|A0A1X7UVT4|A0A1X7UVT4_AMPQE
OG0005009	sp|O94808|GFPT2_HUMAN, sp|Q06210|GFPT1_HUMAN, sp|Q06203|PUR1_HUMAN	tr|A0A1X7UVX1|A0A1X7UVX1_AMPQE
OG0005012	sp|Q13371|PHLP_HUMAN, sp|P20941|PHOS_HUMAN	tr|A0A1X7UW76|A0A1X7UW76_AMPQE
OG0005013	sp|Q5TDP6|LGSN_HUMAN	tr|A0A1X7UW84|A0A1X7UW84_AMPQE
OG0005015	sp|P28907|CD38_HUMAN, sp|Q10588|BST1_HUMAN	tr|A0A1X7VBS1|A0A1X7VBS1_AMPQE, tr|A0A1X7UWB6|A0A1X7UWB6_AMPQE, tr|A0A1X7VB26|A0A1X7VB26_AMPQE
OG0005016	sp|O43741|AAKB2_HUMAN, sp|Q9Y478|AAKB1_HUMAN	tr|A0A1X7UWD4|A0A1X7UWD4_AMPQE
OG0005017	sp|Q9Y530|OARD1_HUMAN	tr|A0A1X7UWM0|A0A1X7UWM0_AMPQE
OG0005018	sp|Q9ULJ1|ODF2L_HUMAN, sp|Q5BJF6|ODFP2_HUMAN	tr|A0A1X7UWQ5|A0A1X7UWQ5_AMPQE
OG0005019	sp|Q5VV63|ATRN1_HUMAN, sp|O75882|ATRN_HUMAN	tr|A0A1X7UWV8|A0A1X7UWV8_AMPQE, tr|A0A1X7VPN4|A0A1X7VPN4_AMPQE
OG0005020	sp|P55060|XPO2_HUMAN	tr|A0A1X7UWW9|A0A1X7UWW9_AMPQE
OG0005021	sp|P14866|HNRPL_HUMAN, sp|Q8WVV9|HNRLL_HUMAN	tr|A0A1X7UX04|A0A1X7UX04_AMPQE
OG0005022	sp|P23786|CPT2_HUMAN	tr|A0A1X7VD10|A0A1X7VD10_AMPQE, tr|A0A1X7UX62|A0A1X7UX62_AMPQE
OG0005023	sp|Q9BWH6|RPAP1_HUMAN	tr|A0A1X7UXH9|A0A1X7UXH9_AMPQE
OG0005025	sp|Q08043|ACTN3_HUMAN, sp|P35609|ACTN2_HUMAN, sp|O43707|ACTN4_HUMAN, sp|P12814|ACTN1_HUMAN	tr|A0A1X7UXJ8|A0A1X7UXJ8_AMPQE
OG0005026	sp|Q8WVC0|LEO1_HUMAN	tr|A0A1X7UXM6|A0A1X7UXM6_AMPQE
OG0005027	sp|O75586|MED6_HUMAN	tr|A0A1X7UY98|A0A1X7UY98_AMPQE, tr|A0A1X7UXR5|A0A1X7UXR5_AMPQE
OG0005028	sp|P31213|S5A2_HUMAN, sp|P18405|S5A1_HUMAN	tr|A0A1X7UXV8|A0A1X7UXV8_AMPQE
OG0005030	sp|Q92782|DPF1_HUMAN, sp|Q92784|DPF3_HUMAN, sp|Q92785|REQU_HUMAN	tr|A0A1X7UY15|A0A1X7UY15_AMPQE
OG0005033	sp|Q9P2K3|RCOR3_HUMAN, sp|Q8IZ40|RCOR2_HUMAN, sp|Q9UKL0|RCOR1_HUMAN	tr|A0A1X7UYB2|A0A1X7UYB2_AMPQE
OG0005034	sp|Q5VSY0|GKAP1_HUMAN	tr|A0A1X7UYF0|A0A1X7UYF0_AMPQE
OG0005035	sp|Q9NSC5|HOME3_HUMAN, sp|Q86YM7|HOME1_HUMAN, sp|Q9NSB8|HOME2_HUMAN	tr|A0A1X7UYI6|A0A1X7UYI6_AMPQE
OG0005036	sp|Q9P286|PAK5_HUMAN, sp|O96013|PAK4_HUMAN	tr|A0A1X7UYL7|A0A1X7UYL7_AMPQE
OG0005038	sp|O00422|SAP18_HUMAN	tr|A0A1X7UYR9|A0A1X7UYR9_AMPQE, tr|A0A1X7UYS5|A0A1X7UYS5_AMPQE
OG0005039	sp|P40855|PEX19_HUMAN	tr|A0A1X7UYS1|A0A1X7UYS1_AMPQE
OG0005040	sp|Q8N8R3|MCATL_HUMAN	tr|A0A1X7UYS2|A0A1X7UYS2_AMPQE
OG0005041	sp|Q9H7E2|TDRD3_HUMAN	tr|A0A1X7V065|A0A1X7V065_AMPQE, tr|A0A1X7UYY3|A0A1X7UYY3_AMPQE
OG0005042	sp|Q9UKA9|PTBP2_HUMAN, sp|O95758|PTBP3_HUMAN, sp|P26599|PTBP1_HUMAN	tr|A0A1X7UYZ1|A0A1X7UYZ1_AMPQE
OG0005043	sp|P22087|FBRL_HUMAN	tr|A0A1X7UZ07|A0A1X7UZ07_AMPQE
OG0005045	sp|Q9NUE0|ZDH18_HUMAN, sp|Q8IZN3|ZDH14_HUMAN, sp|Q9Y397|ZDHC9_HUMAN	tr|A0A1X7UZ79|A0A1X7UZ79_AMPQE
OG0005046	sp|P12074|CX6A1_HUMAN, sp|Q02221|CX6A2_HUMAN	tr|A0A1X7UZA6|A0A1X7UZA6_AMPQE, tr|A0A1X7V9R8|A0A1X7V9R8_AMPQE
OG0005047	sp|P49750|YLPM1_HUMAN	tr|A0A1X7UZB1|A0A1X7UZB1_AMPQE
OG0005048	sp|Q9Y5Q9|TF3C3_HUMAN	tr|A0A1X7UZB8|A0A1X7UZB8_AMPQE
