Orthogroup	Human_UP000005640_9606	Ephydatia_Emu_v1_prots
OG0001789	sp|O75530|EED_HUMAN	Em0023g510a, Em0023g519a
OG0001791	sp|P25398|RS12_HUMAN	Em0023g160a, Em0023g152a
OG0001795	sp|P61457|PHS_HUMAN	Em0017g955a
OG0001796	sp|Q9BSQ5|CCM2_HUMAN, sp|Q9NUG4|CCM2L_HUMAN	Em0179g19a, Em0023g51a, Em0786g4a, Em0179g10a
OG0001800	sp|Q03164|KMT2A_HUMAN, sp|Q9UMN6|KMT2B_HUMAN	Em0005g138a, Em0005g169a, Em0005g167a
OG0001801	sp|Q9Y5L3|ENTP2_HUMAN, sp|Q5MY95|ENTP8_HUMAN, sp|P49961|ENTP1_HUMAN, sp|O75355|ENTP3_HUMAN	Em0019g169a
OG0001805	sp|Q7Z7F0|KHDC4_HUMAN	Em0009g109a, Em0009g108a
OG0001806	sp|A0AVK6|E2F8_HUMAN, sp|Q96AV8|E2F7_HUMAN	Em0021g258a
OG0001809	sp|Q8NI35|INADL_HUMAN, sp|O75970|MPDZ_HUMAN	Em0011g11a
OG0001812	sp|Q96PB1|CASD1_HUMAN	Em0012g520a
OG0001812	sp|Q96QF0|RAB3I_HUMAN, sp|Q8TBN0|R3GEF_HUMAN	Em0021g272a
OG0001816	sp|O60244|MED14_HUMAN	Em0021g989a
OG0001817	sp|Q5VWG9|TAF3_HUMAN	Em0014g23a, Em0014g25a, Em0900g3a, Em0763g2a, Em0005g1441a, Em1142g1a
OG0001818	sp|Q9H490|PIGU_HUMAN	Em0018g645a, Em0018g641a, Em0018g655a, Em0018g636a
OG0001821	sp|Q6JBY9|CPZIP_HUMAN	Em0006g1142a
OG0001821	sp|Q641Q2|WAC2A_HUMAN, sp|Q9Y4E1|WAC2C_HUMAN	Em0006g1144a
OG0001824	sp|P23378|GCSP_HUMAN	Em0011g816a
OG0001829	sp|Q9NVV4|PAPD1_HUMAN, sp|Q9H6E5|STPAP_HUMAN	Em0015g1151a, Em0015g1145a, Em0015g1135a
OG0001830	sp|Q14108|SCRB2_HUMAN, sp|P16671|CD36_HUMAN, sp|Q8WTV0|SCRB1_HUMAN	Em0010g944a
OG0001832	sp|P07686|HEXB_HUMAN, sp|P06865|HEXA_HUMAN	Em0009g1242a, Em0567g4a
OG0001836	sp|Q92750|TAF4B_HUMAN, sp|O00268|TAF4_HUMAN	Em0018g805a
OG0001843	sp|Q96RT8|GCP5_HUMAN	Em0016g117a
OG0001847	sp|Q8IXQ6|PARP9_HUMAN	Em0013g494a
OG0001848	sp|Q7Z6K5|ARPIN_HUMAN	Em0023g518a, Em0023g509a
OG0001849	sp|Q12789|TF3C1_HUMAN	Em0001g2705a, Em1074g2a, Em0001g2707a
OG0001852	sp|Q5TAP6|UT14C_HUMAN, sp|Q9BVJ6|UT14A_HUMAN	Em0002g754a, Em0002g755a
OG0001855	sp|Q15067|ACOX1_HUMAN	Em0009g831a, Em0051g19a, Em0009g919a
OG0001858	sp|Q96N28|PLD3A_HUMAN, sp|Q9Y3B1|PLD3B_HUMAN	Em0018g790a
OG0001861	sp|Q9H9J2|RM44_HUMAN	Em0019g166a, Em0019g165a, Em0395g8a, Em0021g849a
OG0001863	sp|O14827|RGRF2_HUMAN, sp|Q13972|RGRF1_HUMAN	Em0009g1031a
OG0001867	sp|A8MY62|BLML_HUMAN	Em0021g933a, Em0956g2a, Em0021g798a, Em0021g785a, Em0012g804a, Em0005g205a
OG0001869	sp|Q92820|GGH_HUMAN	Em0019g202a, Em0006g1029a
OG0001870	sp|Q96K37|S35E1_HUMAN	Em0011g850a
OG0001875	sp|Q96HW7|INT4_HUMAN	Em0021g856a
OG0001881	sp|Q9Y6A4|CFA20_HUMAN	Em0004g931a, Em0016g288a
OG0001884	sp|Q8N2H3|PYRD2_HUMAN	Em0013g551a, Em0013g239a, Em0013g269a, Em0013g258a, Em0013g263a
OG0001887	sp|P19623|SPEE_HUMAN	Em0008g394a, Em0030g24a
OG0001888	sp|Q9Y620|RA54B_HUMAN	Em0019g989a, Em1389g1a
OG0001890	sp|A8MYP8|ODF3B_HUMAN, sp|Q96PU9|ODF3A_HUMAN, sp|Q8IXM7|OD3L1_HUMAN	Em0006g1218a
OG0001892	sp|P60842|IF4A1_HUMAN, sp|Q14240|IF4A2_HUMAN	Em0021g890a
OG0001892	sp|P38919|IF4A3_HUMAN	Em0019g637a, Em0019g761a
OG0001893	sp|Q8NFB2|T185A_HUMAN, sp|Q9H7F4|T185B_HUMAN	Em0447g5a, Em0022g322a
OG0001897	sp|Q9NPF5|DMAP1_HUMAN	Em0011g59a
OG0001900	sp|Q9NUU7|DD19A_HUMAN, sp|Q9UMR2|DD19B_HUMAN, sp|Q9UHL0|DDX25_HUMAN	Em0008g96a, Em0008g103a
OG0001902	sp|P0DPD8|EFCE2_HUMAN, sp|P0DPD6|ECE2_HUMAN, sp|P42892|ECE1_HUMAN, sp|P23276|KELL_HUMAN, sp|A8MUP2|CSKMT_HUMAN, sp|P0DPD7|EFMT4_HUMAN	Em0008g422a, Em0030g37a
OG0001903	sp|P35557|HXK4_HUMAN	Em0013g391a, Em0328g6a, Em0013g402a, Em0475g5a, Em0475g1a, Em0013g392a, Em0013g387a
OG0001904	sp|Q9NP77|SSU72_HUMAN, tr|A0A1W2PQ27|A0A1W2PQ27_HUMAN, tr|A0A1W2PQC6|A0A1W2PQC6_HUMAN, tr|A0A1W2PQJ5|A0A1W2PQJ5_HUMAN, tr|A0A1W2PQ64|A0A1W2PQ64_HUMAN, tr|A0A1W2PQD8|A0A1W2PQD8_HUMAN, tr|A0A1W2PR75|A0A1W2PR75_HUMAN	Em0008g821a
OG0001905	sp|Q7Z695|ADCK2_HUMAN	Em0022g207a
OG0001910	sp|Q5FVE4|ACBG2_HUMAN	Em0022g502a, Em0022g497a, Em0022g495a, Em0022g496a
OG0001911	sp|P37802|TAGL2_HUMAN, sp|Q01995|TAGL_HUMAN, sp|Q9UI15|TAGL3_HUMAN	Em0023g747a, Em0023g746a
OG0001914	sp|P10911|MCF2_HUMAN, sp|O15068|MCF2L_HUMAN, sp|Q86YR7|MF2L2_HUMAN	Em0021g122a, Em0867g3a, Em0021g120a
OG0001915	sp|Q96D70|R3HD4_HUMAN	Em0011g27a
OG0001916	sp|Q9NYY8|FAKD2_HUMAN, sp|Q14296|FASTK_HUMAN, sp|Q14CZ7|FAKD3_HUMAN, sp|Q969Z0|FAKD4_HUMAN, sp|Q53R41|FAKD1_HUMAN	Em0016g286a
OG0001917	sp|Q9HCS7|SYF1_HUMAN	Em0016g196a, Em0016g210a, Em0016g200a, Em0329g4a, Em0016g214a
OG0001918	sp|Q6PI48|SYDM_HUMAN	Em0003g1420a
OG0001919	sp|Q8IUS5|EPHX4_HUMAN, sp|Q9H6B9|EPHX3_HUMAN	Em0011g880a, Em0011g959a, Em0011g876a, Em0011g958a, Em0011g874a
OG0001920	sp|Q02880|TOP2B_HUMAN, sp|P11388|TOP2A_HUMAN	Em0012g708a
OG0001921	sp|O95238|SPDEF_HUMAN, sp|Q9UKW6|ELF5_HUMAN, sp|P78545|ELF3_HUMAN, sp|Q9NZC4|EHF_HUMAN	Em0003g291a, Em0003g298a, Em0003g292a
OG0001922	sp|Q5SZQ8|CELF3_HUMAN, sp|Q9BZC1|CELF4_HUMAN, sp|Q96J87|CELF6_HUMAN, sp|Q8N6W0|CELF5_HUMAN	Em0648g7a, Em0010g78a, Em0674g7a, Em0010g42a
OG0001923	sp|P23381|SYWC_HUMAN	Em0018g566a, Em0221g5a, Em0019g981a
OG0001924	sp|P46977|STT3A_HUMAN	Em0005g1600a
OG0001924	sp|Q8TCJ2|STT3B_HUMAN	Em0007g1330a
OG0001926	sp|P49590|SYHM_HUMAN, sp|P12081|HARS1_HUMAN	Em0022g335a, Em0017g276a, Em0017g281a
OG0001927	sp|Q5VTH9|DNAI4_HUMAN	Em0003g1667a, Em0003g1651a
OG0001928	sp|Q9UMQ6|CAN11_HUMAN, sp|A6NHC0|CAN8_HUMAN, sp|P17655|CAN2_HUMAN, sp|P07384|CAN1_HUMAN, sp|O14815|CAN9_HUMAN, sp|P20807|CAN3_HUMAN	Em0015g457a, Em0015g454a
OG0001929	sp|Q00526|CDK3_HUMAN, sp|P24941|CDK2_HUMAN	Em0007g322a
OG0001929	sp|Q00534|CDK6_HUMAN, sp|P11802|CDK4_HUMAN	Em0007g966a
OG0001930	sp|Q6BEB4|SP5_HUMAN, sp|Q02446|SP4_HUMAN, sp|P08047|SP1_HUMAN, sp|Q02447|SP3_HUMAN	Em0118g10a, Em0118g2a, Em1208g1a
OG0001932	sp|P55212|CASP6_HUMAN, sp|P42574|CASP3_HUMAN, sp|P55210|CASP7_HUMAN	Em0008g97a, Em0008g102a
OG0001933	sp|Q8WUE5|CT55_HUMAN, sp|Q9BXT6|M10L1_HUMAN	Em0015g748a, Em0114g12a, Em0698g3a, Em0010g9a, Em0001g799a
OG0001934	sp|A0PJX0|CIB4_HUMAN, sp|Q99828|CIB1_HUMAN	Em0023g101a, Em0420g2a
OG0001935	sp|Q8TC44|POC1B_HUMAN	Em0124g1a
OG0001935	sp|Q8NBT0|POC1A_HUMAN	Em0001g467a
OG0001937	sp|Q8IYU2|HACE1_HUMAN	Em0016g841a, Em0016g850a, Em0016g852a, Em0016g846a, Em0016g879a, Em0016g873a
OG0001939	sp|P27105|STOM_HUMAN	Em0016g190a, Em0016g192a, Em0016g186a, Em0016g189a
OG0001940	sp|Q8IVF4|DYH10_HUMAN	Em0015g743a, Em0563g6a, Em0114g8a, Em0015g744a
OG0001942	sp|Q96IV6|FXDC2_HUMAN	Em0022g288a, Em0022g289a
OG0001943	sp|P14921|ETS1_HUMAN, sp|P15036|ETS2_HUMAN	Em0006g884a, Em0006g875a, Em0006g885a, Em0006g874a
OG0001945	sp|P30047|GFRP_HUMAN	Em0012g817a, Em0012g878a, Em0018g972a, Em0004g667a, Em0002g979a, Em0002g978a, Em0008g269a, Em0002g200a
OG0001947	sp|Q12851|M4K2_HUMAN, sp|Q92918|M4K1_HUMAN, sp|Q9Y4K4|M4K5_HUMAN, sp|Q8IVH8|M4K3_HUMAN	Em0028g41a
OG0001949	sp|O43813|LANC1_HUMAN, sp|Q9NS86|LANC2_HUMAN	Em0015g356a, Em0015g388a
OG0001949	sp|Q9H300|PARL_HUMAN	Em0021g107a, Em0021g95a
OG0001950	sp|Q01844|EWS_HUMAN, sp|P35637|FUS_HUMAN, sp|Q92804|RBP56_HUMAN	Em0701g3a, Em0696g3a, Em0015g474a
OG0001952	sp|Q9BZD2|S29A3_HUMAN, sp|Q99808|S29A1_HUMAN, sp|Q14542|S29A2_HUMAN	Em0014g819a, Em0014g815a
OG0001958	sp|Q6NUT2|D19L2_HUMAN, sp|Q6ZN68|D19P2_HUMAN, sp|Q6NXN4|D19P1_HUMAN, sp|Q2PZI1|D19L1_HUMAN	Em0004g1366a
OG0001958	sp|Q7Z388|D19L4_HUMAN, sp|Q6ZPD9|D19L3_HUMAN	Em0023g759a
OG0001960	sp|Q8N4L8|CCD24_HUMAN	Em0011g962a, Em0011g963a
OG0001961	sp|Q96EH8|NEUL3_HUMAN, sp|O76050|NEUL1_HUMAN, sp|A8MQ27|NEU1B_HUMAN	Em0013g550a
OG0001961	sp|Q9BR09|NEUL2_HUMAN	Em0015g736a, Em0306g5a, Em0305g7a
OG0001962	sp|Q7Z5H3|RHG22_HUMAN, sp|Q8N264|RHG24_HUMAN	Em0018g788a
OG0001964	sp|Q9Y5R4|HEMK1_HUMAN	Em0001g409a, Em0001g404a
OG0001965	sp|Q9BW30|TPPP3_HUMAN, sp|O94811|TPPP_HUMAN, sp|P59282|TPPP2_HUMAN	Em0018g256a, Em0115g6a, Em0419g1a, Em0018g255a, Em0115g7a
OG0001966	sp|Q6DKJ4|NXN_HUMAN	Em0015g170a
OG0001967	sp|Q8IUZ5|AT2L2_HUMAN, sp|Q8TBG4|AT2L1_HUMAN	Em0019g659a, Em0004g1214a, Em0019g947a, Em0221g1a, Em0019g976a
OG0001972	sp|Q07666|KHDR1_HUMAN, sp|O75525|KHDR3_HUMAN, sp|Q5VWX1|KHDR2_HUMAN	Em0786g3a, Em0179g18a, Em0179g9a, Em0023g50a
OG0001974	sp|O15305|PMM2_HUMAN, sp|O95359|TACC2_HUMAN, sp|O75410|TACC1_HUMAN, sp|Q9Y6A5|TACC3_HUMAN, sp|Q92871|PMM1_HUMAN	Em0013g888a, Em0013g889a
OG0001975	sp|Q8N9B4|ANR42_HUMAN	Em0021g842a, Em0395g15a
OG0001975	sp|Q9UIJ7|KAD3_HUMAN, sp|P27144|KAD4_HUMAN	Em0192g2a, Em0021g876a
OG0001976	sp|Q8NER5|ACV1C_HUMAN, sp|P36896|ACV1B_HUMAN, sp|P36897|TGFR1_HUMAN	Em0012g37a, Em0012g10a
OG0001977	sp|Q9ULT0|TTC7A_HUMAN, sp|Q86TV6|TTC7B_HUMAN	Em0001g1749a, Em0001g1733a, Em0001g1719a, Em0001g1699a, Em0001g2514a
OG0001979	sp|O60231|DHX16_HUMAN	Em0018g653a, Em0018g628a, Em0018g644a, Em0018g621a
OG0001980	sp|Q8TB52|FBX30_HUMAN, sp|Q9UH90|FBX40_HUMAN	Em0015g1026a, Em0015g1027a
OG0002036	sp|Q96FE5|LIGO1_HUMAN, sp|Q7L985|LIGO2_HUMAN, sp|P0C6S8|LIGO3_HUMAN, sp|Q6UY18|LIGO4_HUMAN, sp|Q96NI6|LRFN5_HUMAN, sp|Q9ULH4|LRFN2_HUMAN, sp|Q6PJG9|LRFN4_HUMAN, sp|Q9BTN0|LRFN3_HUMAN, sp|Q9P244|LRFN1_HUMAN	Em0016g294a
OG0002041	sp|Q8NFW9|MYRIP_HUMAN, sp|Q9BV36|MELPH_HUMAN, sp|Q13875|MOBP_HUMAN, sp|Q8NEV8|EXPH5_HUMAN, sp|Q96C24|SYTL4_HUMAN, sp|Q8TDW5|SYTL5_HUMAN, sp|Q4VX76|SYTL3_HUMAN, sp|Q9HCH5|SYTL2_HUMAN, sp|Q8IYJ3|SYTL1_HUMAN	Em0023g449a
OG0002089	sp|Q9BTM9|URM1_HUMAN	Em0010g1018a, Em0010g981a
OG0002103	sp|Q9UBH6|XPR1_HUMAN	Em0016g1084a, Em0016g1085a, Em0016g1102a
OG0002104	sp|O96005|CLPT1_HUMAN	Em0019g265a, Em0019g257a, Em0402g11a
OG0002105	sp|Q9H0R1|AP5M1_HUMAN	Em0019g668a
OG0002106	sp|Q6A555|TXND8_HUMAN, sp|Q86VQ3|TXND2_HUMAN, sp|P10599|THIO_HUMAN	Em0013g1103a, Em0013g1118a, Em0011g869a
OG0002107	sp|Q05048|CSTF1_HUMAN	Em0008g1228a
OG0002113	sp|Q9NTI5|PDS5B_HUMAN, sp|Q29RF7|PDS5A_HUMAN	Em0022g717a
OG0002114	sp|Q8WVS4|DC2I1_HUMAN	Em0003g911a, Em0003g1038a
OG0002115	sp|O95299|NDUAA_HUMAN	Em0012g392a, Em0170g4a, Em0019g661a
OG0002117	sp|Q5TB30|DEP1A_HUMAN, sp|Q8WUY9|DEP1B_HUMAN	Em0011g19a
OG0002118	sp|Q99747|SNAG_HUMAN	Em0018g308a, Em0018g164a
OG0002121	sp|Q15569|TESK1_HUMAN, sp|Q96S53|TESK2_HUMAN	Em0011g231a
OG0002122	sp|Q8TC07|TBC15_HUMAN, sp|Q9HA65|TBC17_HUMAN	Em0021g374a, Em1242g1a
OG0002132	sp|Q07866|KLC1_HUMAN, sp|Q9H0B6|KLC2_HUMAN, sp|Q9NSK0|KLC4_HUMAN, sp|Q6P597|KLC3_HUMAN	Em0019g153a
OG0002139	sp|Q8NFT8|DNER_HUMAN, sp|Q53RD9|FBLN7_HUMAN	Em0019g859a
OG0002140	sp|O94953|KDM4B_HUMAN, sp|Q9H3R0|KDM4C_HUMAN, sp|O75164|KDM4A_HUMAN, sp|Q6B0I6|KDM4D_HUMAN, sp|B2RXH2|KDM4E_HUMAN, tr|A0A1W2PPD8|A0A1W2PPD8_HUMAN	Em0011g1184a
OG0002142	sp|Q9BVG8|KIFC3_HUMAN	Em0014g52a, Em0001g1344a
OG0002143	sp|Q86VS8|HOOK3_HUMAN, sp|Q96ED9|HOOK2_HUMAN, sp|Q9UJC3|HOOK1_HUMAN	Em0011g388a
OG0002147	sp|Q86WG5|MTMRD_HUMAN, sp|O95248|MTMR5_HUMAN	Em0003g1398a
OG0002149	sp|O94886|CSCL1_HUMAN, sp|Q5T3F8|CSCL2_HUMAN, sp|Q9P1W3|CSC1_HUMAN	Em0014g936a
OG0002150	sp|O43318|M3K7_HUMAN, sp|P57077|M3KCL_HUMAN	Em0023g664a, Em0023g663a, Em0023g649a, Em0023g643a
OG0002154	sp|Q8NEL9|DDHD1_HUMAN	Em0012g873a, Em0012g820a
OG0002164	sp|Q9UPY3|DICER_HUMAN	Em0019g657a
OG0002166	sp|Q6P2D8|XRRA1_HUMAN	Em0011g216a
OG0002168	sp|Q8NAV1|PR38A_HUMAN	Em0011g851a
OG0002169	sp|O00462|MANBA_HUMAN	Em0009g812a
OG0002170	sp|Q5T4S7|UBR4_HUMAN	Em0016g910a
OG0002171	sp|Q9BQI5|SGIP1_HUMAN, sp|O14526|FCHO1_HUMAN, sp|Q0JRZ9|FCHO2_HUMAN	Em0011g1026a
OG0002172	sp|Q96LR9|APLD1_HUMAN	Em0003g617a
OG0002173	sp|Q8WWN8|ARAP3_HUMAN, sp|Q8WZ64|ARAP2_HUMAN, sp|Q96P48|ARAP1_HUMAN	Em0022g243a
OG0002176	sp|Q14690|RRP5_HUMAN	Em0013g104a, Em0013g187a, Em0013g200a
OG0002178	sp|Q96NN9|AIFM3_HUMAN	Em0005g1593a, Em0005g1588a, Em0005g1592a
OG0002180	sp|Q9H6S3|ES8L2_HUMAN, sp|Q12929|EPS8_HUMAN, sp|Q8TE68|ES8L1_HUMAN, sp|Q8TE67|ES8L3_HUMAN	Em0017g89a
OG0002182	sp|P43490|NAMPT_HUMAN	Em0016g364a, Em0016g363a
OG0002184	sp|A8MXD5|GRCR1_HUMAN, sp|A6NFK2|GRCR2_HUMAN	Em0022g294a
OG0002190	sp|Q9Y5S2|MRCKB_HUMAN, sp|Q5VT25|MRCKA_HUMAN	Em0311g1a, Em0021g526a
OG0002191	sp|P25705|ATPA_HUMAN	Em0009g1026a
OG0002191	sp|O95163|ELP1_HUMAN	Em0009g1046a, Em0096g5a
OG0002194	sp|Q86WU2|LDHD_HUMAN	Em0018g1051a
OG0002198	sp|Q15070|OXA1L_HUMAN	Em0021g428a, Em0081g10a, Em0018g1041a, Em0728g1a
OG0002201	sp|Q7L4E1|MIGA2_HUMAN, sp|Q8NAN2|MIGA1_HUMAN	Em0016g284a
OG0002204	sp|Q3MIN7|RGL3_HUMAN, sp|Q9NZL6|RGL1_HUMAN, sp|Q12967|GNDS_HUMAN, sp|Q8IZJ4|RGDSR_HUMAN	Em0016g276a
OG0002207	sp|Q15057|ACAP2_HUMAN, sp|Q96P50|ACAP3_HUMAN, sp|Q15027|ACAP1_HUMAN	Em0008g816a, Em0008g817a
OG0002213	sp|Q5VVQ6|OTU1_HUMAN	Em0003g1359a
OG0002215	sp|Q9ULD6|INTU_HUMAN	Em0022g399a
OG0002217	sp|Q9UPI3|FLVC2_HUMAN, sp|Q9Y5Y0|FLVC1_HUMAN	Em0021g921a
OG0002218	sp|Q9BPX7|CG025_HUMAN	Em0012g535a, Em0012g556a, Em0012g534a, Em0012g555a
OG0002222	sp|P42345|MTOR_HUMAN	Em0008g30a
OG0002224	sp|Q9UJT1|TBD_HUMAN	Em0964g1a, Em0004g50a, Em0202g14a, Em0202g3a, Em0202g9a
OG0002226	sp|Q96JM7|LMBL3_HUMAN, sp|Q8NA19|LMBL4_HUMAN, sp|Q9Y468|LMBL1_HUMAN	Em0017g224a
OG0002228	sp|Q9H583|HEAT1_HUMAN	Em0011g796a
OG0002229	sp|Q96DZ5|CLIP3_HUMAN, sp|Q8N3C7|CLIP4_HUMAN	Em0023g100a, Em0420g1a
OG0002231	sp|Q14191|WRN_HUMAN	Em0011g824a
OG0002237	sp|P29558|RBMS1_HUMAN, sp|Q6XE24|RBMS3_HUMAN, sp|Q15434|RBMS2_HUMAN	Em0004g1439a
OG0002238	sp|Q7Z7G8|VP13B_HUMAN	Em0021g683a, Em0021g688a, Em0796g1a
OG0002239	sp|Q9NQG5|RPR1B_HUMAN, sp|Q96P16|RPR1A_HUMAN	Em0018g314a, Em0018g323a
OG0002240	sp|O60927|PP1RB_HUMAN	Em0016g245a
OG0002242	sp|Q86Y07|VRK2_HUMAN, sp|Q99986|VRK1_HUMAN	Em0019g292a, Em0144g11a
OG0002251	sp|Q68CZ6|HAUS3_HUMAN	Em0011g245a
OG0002254	sp|Q9P272|TRM9B_HUMAN	Em0022g328a
OG0002259	sp|Q96Q11|TRNT1_HUMAN	Em0016g263a, Em0162g18a
OG0002263	sp|P49221|TGM4_HUMAN, sp|P00488|F13A_HUMAN, sp|P22735|TGM1_HUMAN, sp|P21980|TGM2_HUMAN	Em0005g1033a
OG0002266	sp|Q13686|ALKB1_HUMAN	Em0402g8a, Em0019g260a, Em0019g268a, Em0402g7a
OG0002268	sp|Q5TDH0|DDI2_HUMAN, sp|Q8WTU0|DDI1_HUMAN	Em0008g1082a
OG0002270	sp|Q9NXL9|MCM9_HUMAN	Em0003g181a, Em0003g186a
OG0002271	sp|Q7LFX5|CHSTF_HUMAN	Em0021g586a
OG0002271	sp|Q9NRN9|METL5_HUMAN	Em0001g1079a, Em0001g1102a
OG0002274	sp|Q567V2|M17L2_HUMAN	Em0011g77a, Em0776g1a, Em0011g78a
OG0002276	sp|Q14204|DYHC1_HUMAN	Em0077g10a, Em0482g1a, Em0016g621a
OG0002279	sp|Q1L5Z9|LONF2_HUMAN, sp|Q496Y0|LONF3_HUMAN, sp|Q17RB8|LONF1_HUMAN	Em0022g443a
OG0002281	sp|Q04726|TLE3_HUMAN, sp|Q04724|TLE1_HUMAN, sp|Q04727|TLE4_HUMAN, sp|Q08117|TLE5_HUMAN, sp|Q04725|TLE2_HUMAN	Em0008g197a, Em0008g207a
OG0002284	sp|P08590|MYL3_HUMAN, sp|P12829|MYL4_HUMAN, sp|P05976|MYL1_HUMAN, sp|P60660|MYL6_HUMAN, sp|P14649|MYL6B_HUMAN	Em0024g243a
OG0002288	sp|P80192|M3K9_HUMAN, sp|Q02779|M3K10_HUMAN, sp|Q5TCX8|M3K21_HUMAN, sp|Q16584|M3K11_HUMAN	Em0019g820a, Em0019g822a
OG0002290	sp|Q15398|DLGP5_HUMAN	Em0014g554a, Em0014g553a, Em0019g827a, Em0014g561a, Em0614g3a
OG0002291	sp|Q15717|ELAV1_HUMAN, sp|Q14576|ELAV3_HUMAN, sp|Q12926|ELAV2_HUMAN, sp|P26378|ELAV4_HUMAN	Em0011g799a
OG0002293	sp|O15297|PPM1D_HUMAN	Em0010g4a, Em0019g491a, Em0015g106a, Em0019g503a
OG0002294	sp|Q0P651|ABD18_HUMAN	Em0022g578a
OG0002299	sp|Q06124|PTN11_HUMAN	Em0008g1011a
OG0002300	sp|P21675|TAF1_HUMAN, sp|Q8IZX4|TAF1L_HUMAN	Em0022g784a, Em0022g783a
OG0002301	sp|P04040|CATA_HUMAN	Em0014g600a, Em0021g409a
OG0002308	sp|P27544|CERS1_HUMAN	Em0010g869a, Em0010g871a, Em0010g868a
OG0002309	sp|Q9H5I1|SUV92_HUMAN, sp|O43463|SUV91_HUMAN	Em0001g1292a
OG0002309	sp|Q9BPZ7|SIN1_HUMAN	Em0001g1332a
OG0002310	sp|Q03426|KIME_HUMAN	Em0015g770a, Em0015g776a, Em0015g779a, Em0015g778a
OG0002311	sp|Q9ULI1|NWD2_HUMAN, sp|Q149M9|NWD1_HUMAN	Em0015g909a
OG0002313	sp|O75179|ANR17_HUMAN, sp|Q8IWZ3|ANKH1_HUMAN	Em0010g812a, Em0494g4a, Em0548g3a, Em0273g1a
OG0002314	sp|Q9H7B4|SMYD3_HUMAN, sp|Q9NRG4|SMYD2_HUMAN, sp|Q4VC12|MSS51_HUMAN, sp|Q96E35|ZMY19_HUMAN	Em0016g1188a, Em0016g1108a
OG0002317	sp|O43520|AT8B1_HUMAN, sp|P98198|AT8B2_HUMAN, sp|Q8TF62|AT8B4_HUMAN	Em0009g526a, Em0044g25a, Em0009g482a, Em0044g27a
OG0002320	sp|Q86W50|MET16_HUMAN	Em0698g4a, Em0015g749a, Em0114g13a
OG0002322	sp|Q9UJX3|APC7_HUMAN	Em0015g751a, Em0114g15a, Em0011g938a, Em0015g752a
OG0002323	sp|Q9UBS5|GABR1_HUMAN	Em0016g376a, Em0016g374a, Em0016g375a
OG0002324	sp|Q8TDI0|CHD5_HUMAN, sp|Q12873|CHD3_HUMAN, sp|Q14839|CHD4_HUMAN	Em0008g1027a
OG0002324	sp|O43918|AIRE_HUMAN	Em0003g1174a
OG0002325	sp|Q96PU5|NED4L_HUMAN, sp|P46934|NEDD4_HUMAN	Em0009g607a, Em0186g5a, Em0009g131a
OG0002326	sp|Q86XE3|MICU3_HUMAN, sp|Q8IYU8|MICU2_HUMAN	Em0022g248a, Em0022g247a
OG0002327	sp|Q8NFP9|NBEA_HUMAN, sp|P50851|LRBA_HUMAN, sp|P0C6P0|BCL8_HUMAN	Em0022g169a
OG0002329	sp|Q9NZC3|GDE1_HUMAN	Em0019g690a, Em0019g691a, Em0019g696a, Em0019g697a
OG0002331	sp|Q969S9|RRF2M_HUMAN	Em0009g1282a
OG0002332	sp|Q86UF1|TSN33_HUMAN, sp|Q96FV3|TSN17_HUMAN, sp|P62079|TSN5_HUMAN, sp|Q8NG11|TSN14_HUMAN	Em0004g1353a, Em0004g1355a, Em0004g1354a
OG0002333	sp|Q9P289|STK26_HUMAN, sp|Q9Y6E0|STK24_HUMAN, sp|O00506|STK25_HUMAN	Em0021g932a, Em0956g3a
OG0002334	sp|Q9BZG2|PPAT_HUMAN, sp|P15309|PPAP_HUMAN, sp|P11117|PPAL_HUMAN	Em0013g1120a
OG0002335	sp|Q9Y6M7|S4A7_HUMAN, sp|Q2Y0W8|S4A8_HUMAN, sp|Q6U841|S4A10_HUMAN, sp|Q9Y6R1|S4A4_HUMAN, sp|Q9BY07|S4A5_HUMAN	Em0023g877a, Em0086g4a
OG0002336	sp|O14653|GOSR2_HUMAN	Em0012g1036a
OG0002336	sp|Q9BV87|CNPD1_HUMAN	Em0012g1034a, Em0012g1035a
OG0002338	sp|Q8N6S4|AN13C_HUMAN	Em0011g239a, Em0011g242a
OG0002339	sp|Q9P0Z9|SOX_HUMAN	Em0011g508a
OG0002340	sp|P20132|SDHL_HUMAN, sp|Q96GA7|SDSL_HUMAN	Em0015g1250a, Em0598g2a, Em0597g2a
OG0002341	sp|P22626|ROA2_HUMAN, tr|A0A2R8Y4L2|A0A2R8Y4L2_HUMAN, sp|Q32P51|RA1L2_HUMAN, sp|P09651|ROA1_HUMAN, sp|P51991|ROA3_HUMAN, sp|Q13151|ROA0_HUMAN	Em0007g39a
OG0002342	sp|P30260|CDC27_HUMAN	Em0012g975a
OG0002344	sp|Q9H0C2|ADT4_HUMAN, sp|P12235|ADT1_HUMAN, sp|P12236|ADT3_HUMAN, sp|P05141|ADT2_HUMAN	Em0014g22a
OG0002345	sp|Q96S15|WDR24_HUMAN	Em0016g524a
OG0002346	sp|P21397|AOFA_HUMAN, sp|P27338|AOFB_HUMAN	Em0006g211a, Em0006g215a, Em0006g227a
OG0002349	sp|Q8NE09|RGS22_HUMAN	Em0023g99a, Em0023g97a
OG0002353	sp|P49790|NU153_HUMAN	Em0023g198a
