Orthogroup	Human_UP000005640_9606	Niphates_augustus.hints.aa
OG0001940	sp|Q8IVF4|DYH10_HUMAN	jg20398.t1, jg16171.t1, jg16049.t1
OG0001942	sp|Q96IV6|FXDC2_HUMAN	jg17983.t1, jg29021.t1, jg29020.t1, jg29022.t1, jg29023.t1
OG0001943	sp|P14921|ETS1_HUMAN, sp|P15036|ETS2_HUMAN	jg12513.t1, jg12514.t1
OG0001947	sp|Q12851|M4K2_HUMAN, sp|Q92918|M4K1_HUMAN, sp|Q9Y4K4|M4K5_HUMAN, sp|Q8IVH8|M4K3_HUMAN	jg29132.t1, jg7.t1, jg19929.t1
OG0001949	sp|O43813|LANC1_HUMAN, sp|Q9NS86|LANC2_HUMAN, sp|Q9H300|PARL_HUMAN	jg8112.t1
OG0001950	sp|Q01844|EWS_HUMAN, sp|P35637|FUS_HUMAN, sp|Q92804|RBP56_HUMAN	jg14437.t1, jg14437.t3, jg14437.t2
OG0001952	sp|Q9BZD2|S29A3_HUMAN, sp|Q99808|S29A1_HUMAN, sp|Q14542|S29A2_HUMAN	jg19967.t1, jg19965.t1, jg19966.t1
OG0001958	sp|Q6NUT2|D19L2_HUMAN, sp|Q6ZN68|D19P2_HUMAN, sp|Q6NXN4|D19P1_HUMAN, sp|Q2PZI1|D19L1_HUMAN	jg20650.t1
OG0001960	sp|Q8N4L8|CCD24_HUMAN	jg21113.t1, jg11405.t1, jg18232.t1, jg11408.t1, jg11409.t1, jg18228.t1
OG0001961	sp|Q9BR09|NEUL2_HUMAN	jg13944.t1
OG0001962	sp|Q7Z5H3|RHG22_HUMAN, sp|Q8N264|RHG24_HUMAN	jg13477.t2, jg30299.t3, jg13477.t3, jg13477.t1, jg30299.t1, jg30299.t2
OG0001964	sp|Q9Y5R4|HEMK1_HUMAN	jg1151.t2, jg1151.t1, jg10074.t1, jg10074.t2, jg1151.t3, jg10075.t1
OG0001965	sp|Q9BW30|TPPP3_HUMAN, sp|O94811|TPPP_HUMAN, sp|P59282|TPPP2_HUMAN	jg25303.t1
OG0001966	sp|Q6DKJ4|NXN_HUMAN	jg25153.t1, jg25154.t1, jg25141.t1, jg25143.t1
OG0001967	sp|Q8IUZ5|AT2L2_HUMAN, sp|Q8TBG4|AT2L1_HUMAN	jg25550.t1, jg14463.t1
OG0001972	sp|Q07666|KHDR1_HUMAN, sp|O75525|KHDR3_HUMAN, sp|Q5VWX1|KHDR2_HUMAN	jg19579.t1, jg6450.t1
OG0001974	sp|O15305|PMM2_HUMAN, sp|O95359|TACC2_HUMAN, sp|O75410|TACC1_HUMAN, sp|Q9Y6A5|TACC3_HUMAN, sp|Q92871|PMM1_HUMAN	jg2586.t1
OG0001975	sp|Q8N9B4|ANR42_HUMAN, sp|Q9UIJ7|KAD3_HUMAN, sp|P27144|KAD4_HUMAN	jg15808.t1
OG0001976	sp|Q8NER5|ACV1C_HUMAN, sp|P36896|ACV1B_HUMAN, sp|P36897|TGFR1_HUMAN	jg12930.t1, jg1306.t1, jg1307.t1
OG0001977	sp|Q9ULT0|TTC7A_HUMAN, sp|Q86TV6|TTC7B_HUMAN	jg20516.t1, jg7893.t1
OG0001979	sp|O60231|DHX16_HUMAN	jg11672.t1, jg10371.t1, jg5391.t1, jg24997.t1
OG0001980	sp|Q8TB52|FBX30_HUMAN, sp|Q9UH90|FBX40_HUMAN	jg25627.t1, jg6944.t1, jg6943.t1, jg25626.t1
OG0002058	sp|Q53RT3|APRV1_HUMAN	jg16324.t1, jg8087.t1, jg15456.t1, jg15462.t1, jg25584.t1, jg9959.t1, jg21158.t1, jg24127.t1, jg1448.t1
OG0002089	sp|Q9BTM9|URM1_HUMAN	jg28065.t1
OG0002090	sp|Q9HB75|PIDD1_HUMAN	jg3523.t1, jg27700.t1, jg24423.t1, jg28165.t1
OG0002103	sp|Q9UBH6|XPR1_HUMAN	jg14597.t1
OG0002104	sp|O96005|CLPT1_HUMAN	jg28455.t1
OG0002105	sp|Q9H0R1|AP5M1_HUMAN	jg18112.t1
OG0002106	sp|Q6A555|TXND8_HUMAN, sp|Q86VQ3|TXND2_HUMAN, sp|P10599|THIO_HUMAN	jg15851.t1
OG0002107	sp|Q05048|CSTF1_HUMAN	jg20768.t1, jg20983.t1, jg3034.t1, jg3034.t2
OG0002113	sp|Q9NTI5|PDS5B_HUMAN, sp|Q29RF7|PDS5A_HUMAN	jg30540.t1, jg3123.t1
OG0002114	sp|Q8WVS4|DC2I1_HUMAN	jg9855.t1
OG0002115	sp|O95299|NDUAA_HUMAN	jg12833.t1, jg28310.t1
OG0002117	sp|Q5TB30|DEP1A_HUMAN, sp|Q8WUY9|DEP1B_HUMAN	jg30219.t1, jg11313.t1, jg30218.t1
OG0002118	sp|Q99747|SNAG_HUMAN	jg10777.t1, jg24232.t1
OG0002121	sp|Q15569|TESK1_HUMAN, sp|Q96S53|TESK2_HUMAN	jg6319.t1, jg14689.t1
OG0002122	sp|Q8TC07|TBC15_HUMAN, sp|Q9HA65|TBC17_HUMAN	jg1970.t1
OG0002124	sp|Q9BVA6|FICD_HUMAN	jg9462.t1, jg9433.t1, jg9437.t1, jg9472.t1, jg9435.t1
OG0002132	sp|Q07866|KLC1_HUMAN, sp|Q9H0B6|KLC2_HUMAN, sp|Q9NSK0|KLC4_HUMAN, sp|Q6P597|KLC3_HUMAN	jg27952.t1
OG0002140	sp|O94953|KDM4B_HUMAN, sp|Q9H3R0|KDM4C_HUMAN, sp|O75164|KDM4A_HUMAN, sp|Q6B0I6|KDM4D_HUMAN, sp|B2RXH2|KDM4E_HUMAN, tr|A0A1W2PPD8|A0A1W2PPD8_HUMAN	jg27425.t1
OG0002141	sp|Q8NHS1|CLDN2_HUMAN	jg8673.t1, jg1242.t1
OG0002142	sp|Q9BVG8|KIFC3_HUMAN	jg12272.t1
OG0002143	sp|Q86VS8|HOOK3_HUMAN, sp|Q96ED9|HOOK2_HUMAN, sp|Q9UJC3|HOOK1_HUMAN	jg30230.t1, jg11323.t1
OG0002147	sp|Q86WG5|MTMRD_HUMAN, sp|O95248|MTMR5_HUMAN	jg11972.t1, jg26073.t1
OG0002149	sp|O94886|CSCL1_HUMAN, sp|Q5T3F8|CSCL2_HUMAN, sp|Q9P1W3|CSC1_HUMAN	jg20841.t1, jg20841.t2
OG0002150	sp|O43318|M3K7_HUMAN, sp|P57077|M3KCL_HUMAN	jg20210.t1
OG0002154	sp|Q8NEL9|DDHD1_HUMAN	jg2299.t1
OG0002164	sp|Q9UPY3|DICER_HUMAN	jg10751.t1, jg22289.t1, jg21764.t1
OG0002166	sp|Q6P2D8|XRRA1_HUMAN	jg14687.t1, jg30124.t1
OG0002168	sp|Q8NAV1|PR38A_HUMAN	jg6825.t1
OG0002169	sp|O00462|MANBA_HUMAN	jg30424.t1, jg6180.t1
OG0002170	sp|Q5T4S7|UBR4_HUMAN	jg19264.t1
OG0002171	sp|Q9BQI5|SGIP1_HUMAN, sp|O14526|FCHO1_HUMAN, sp|Q0JRZ9|FCHO2_HUMAN	jg19156.t1, jg3518.t1
OG0002172	sp|Q96LR9|APLD1_HUMAN	jg27323.t1, jg27334.t1, jg27325.t1, jg19461.t1
OG0002173	sp|Q8WWN8|ARAP3_HUMAN, sp|Q8WZ64|ARAP2_HUMAN, sp|Q96P48|ARAP1_HUMAN	jg1067.t1, jg24111.t1
OG0002176	sp|Q14690|RRP5_HUMAN	jg2645.t1
OG0002178	sp|Q96NN9|AIFM3_HUMAN	jg21339.t1, jg20228.t1
OG0002180	sp|Q9H6S3|ES8L2_HUMAN, sp|Q12929|EPS8_HUMAN, sp|Q8TE68|ES8L1_HUMAN, sp|Q8TE67|ES8L3_HUMAN	jg11150.t1
OG0002182	sp|P43490|NAMPT_HUMAN	jg8991.t1, jg16717.t1, jg20925.t1
OG0002184	sp|A8MXD5|GRCR1_HUMAN, sp|A6NFK2|GRCR2_HUMAN	jg24497.t1, jg15498.t1, jg2991.t1
OG0002188	sp|Q9H6P5|TASP1_HUMAN	jg16727.t3, jg16727.t1, jg16727.t2, jg16727.t4, jg25985.t1
OG0002190	sp|Q9Y5S2|MRCKB_HUMAN, sp|Q5VT25|MRCKA_HUMAN	jg8481.t1, jg8481.t2
OG0002191	sp|P25705|ATPA_HUMAN	jg6210.t1
OG0002191	sp|O95163|ELP1_HUMAN	jg6211.t1
OG0002194	sp|Q86WU2|LDHD_HUMAN	jg2043.t1, jg2048.t1, jg2041.t1, jg2045.t1, jg18662.t1
OG0002198	sp|Q15070|OXA1L_HUMAN	jg28219.t1
OG0002201	sp|Q7L4E1|MIGA2_HUMAN, sp|Q8NAN2|MIGA1_HUMAN	jg8974.t1
OG0002204	sp|Q3MIN7|RGL3_HUMAN, sp|Q9NZL6|RGL1_HUMAN, sp|Q12967|GNDS_HUMAN, sp|Q8IZJ4|RGDSR_HUMAN	jg19903.t1, jg19902.t1
OG0002207	sp|Q15057|ACAP2_HUMAN, sp|Q96P50|ACAP3_HUMAN, sp|Q15027|ACAP1_HUMAN	jg25983.t1
OG0002213	sp|Q5VVQ6|OTU1_HUMAN	jg11969.t1, jg26072.t1, jg11971.t1, jg26070.t1
OG0002215	sp|Q9ULD6|INTU_HUMAN	jg3082.t1, jg25536.t1
OG0002217	sp|Q9UPI3|FLVC2_HUMAN, sp|Q9Y5Y0|FLVC1_HUMAN	jg3639.t1, jg11365.t1, jg18275.t1
OG0002218	sp|Q9BPX7|CG025_HUMAN	jg8389.t2, jg8389.t1
OG0002222	sp|P42345|MTOR_HUMAN	jg22517.t1, jg22523.t1, jg22523.t2, jg1753.t2, jg1753.t1
OG0002224	sp|Q9UJT1|TBD_HUMAN	jg6919.t1
OG0002226	sp|Q96JM7|LMBL3_HUMAN, sp|Q8NA19|LMBL4_HUMAN, sp|Q9Y468|LMBL1_HUMAN	jg11024.t1
OG0002228	sp|Q9H583|HEAT1_HUMAN	jg21609.t1, jg11378.t1, jg19794.t1, jg18259.t1, jg19793.t1
OG0002229	sp|Q96DZ5|CLIP3_HUMAN, sp|Q8N3C7|CLIP4_HUMAN	jg24544.t1
OG0002231	sp|Q14191|WRN_HUMAN	jg6800.t1, jg22187.t1
OG0002237	sp|P29558|RBMS1_HUMAN, sp|Q6XE24|RBMS3_HUMAN, sp|Q15434|RBMS2_HUMAN	jg2005.t1, jg4711.t1
OG0002238	sp|Q7Z7G8|VP13B_HUMAN	jg7172.t1, jg7172.t2, jg7173.t1
OG0002239	sp|Q9NQG5|RPR1B_HUMAN, sp|Q96P16|RPR1A_HUMAN	jg18047.t1, jg17370.t1, jg18045.t1
OG0002240	sp|O60927|PP1RB_HUMAN	jg11801.t1, jg15676.t1, jg11876.t1, jg15678.t1, jg11872.t1
OG0002242	sp|Q86Y07|VRK2_HUMAN, sp|Q99986|VRK1_HUMAN	jg13362.t1
OG0002251	sp|Q68CZ6|HAUS3_HUMAN	jg14824.t1, jg16711.t1, jg24725.t1
OG0002254	sp|Q9P272|TRM9B_HUMAN	jg29117.t1, jg29115.t1
OG0002259	sp|Q96Q11|TRNT1_HUMAN	jg15022.t1, jg15029.t1, jg19673.t1
OG0002263	sp|P49221|TGM4_HUMAN, sp|P00488|F13A_HUMAN, sp|P22735|TGM1_HUMAN, sp|P21980|TGM2_HUMAN	jg7638.t1
OG0002266	sp|Q13686|ALKB1_HUMAN	jg28461.t1, jg28458.t1
OG0002268	sp|Q5TDH0|DDI2_HUMAN, sp|Q8WTU0|DDI1_HUMAN	jg3035.t1, jg20982.t1, jg20766.t1
OG0002270	sp|Q9NXL9|MCM9_HUMAN	jg16409.t1, jg16476.t1, jg13148.t1, jg16388.t1
OG0002271	sp|Q7LFX5|CHSTF_HUMAN, sp|Q9NRN9|METL5_HUMAN	jg12251.t1
OG0002274	sp|Q567V2|M17L2_HUMAN	jg22115.t1, jg22116.t1
OG0002276	sp|Q14204|DYHC1_HUMAN	jg19245.t1
OG0002277	sp|Q8N8N0|RN152_HUMAN	jg22575.t1, jg5173.t1, jg24261.t1, jg24278.t2, jg24278.t1, jg5978.t1
OG0002279	sp|Q1L5Z9|LONF2_HUMAN, sp|Q496Y0|LONF3_HUMAN, sp|Q17RB8|LONF1_HUMAN	jg27141.t1, jg4419.t1, jg2132.t1
OG0002281	sp|Q04726|TLE3_HUMAN, sp|Q04724|TLE1_HUMAN, sp|Q04727|TLE4_HUMAN, sp|Q08117|TLE5_HUMAN, sp|Q04725|TLE2_HUMAN	jg2864.t1
OG0002284	sp|P08590|MYL3_HUMAN, sp|P12829|MYL4_HUMAN, sp|P05976|MYL1_HUMAN, sp|P60660|MYL6_HUMAN, sp|P14649|MYL6B_HUMAN	jg8144.t1, jg8144.t2
OG0002288	sp|P80192|M3K9_HUMAN, sp|Q02779|M3K10_HUMAN, sp|Q5TCX8|M3K21_HUMAN, sp|Q16584|M3K11_HUMAN	jg28502.t1
OG0002290	sp|Q15398|DLGP5_HUMAN	jg20859.t1
OG0002291	sp|Q15717|ELAV1_HUMAN, sp|Q14576|ELAV3_HUMAN, sp|Q12926|ELAV2_HUMAN, sp|P26378|ELAV4_HUMAN	jg6835.t2, jg6835.t1, jg6835.t3
OG0002293	sp|O15297|PPM1D_HUMAN	jg7383.t1, jg14423.t1
OG0002294	sp|Q0P651|ABD18_HUMAN	jg25615.t1, jg26985.t1, jg2992.t2, jg24496.t1, jg2992.t1, jg15499.t1
OG0002299	sp|Q06124|PTN11_HUMAN	jg14389.t1, jg3226.t1, jg3228.t1, jg20582.t1
OG0002300	sp|P21675|TAF1_HUMAN, sp|Q8IZX4|TAF1L_HUMAN	jg13070.t1, jg14105.t1, jg13071.t1
OG0002301	sp|P04040|CATA_HUMAN	jg11879.t1, jg15673.t1, jg14864.t1, jg8316.t1
OG0002308	sp|P27544|CERS1_HUMAN	jg27886.t1, jg27064.t1, jg27067.t1
OG0002309	sp|Q9BPZ7|SIN1_HUMAN	jg11513.t1
OG0002310	sp|Q03426|KIME_HUMAN	jg8045.t1, jg7468.t2, jg7468.t1
OG0002311	sp|Q9ULI1|NWD2_HUMAN, sp|Q149M9|NWD1_HUMAN	jg8057.t1, jg7462.t1, jg7464.t1, jg8055.t1, jg18315.t1
OG0002313	sp|O75179|ANR17_HUMAN, sp|Q8IWZ3|ANKH1_HUMAN	jg4634.t1, jg4634.t2
OG0002314	sp|Q9H7B4|SMYD3_HUMAN, sp|Q9NRG4|SMYD2_HUMAN, sp|Q4VC12|MSS51_HUMAN, sp|Q96E35|ZMY19_HUMAN	jg14672.t1, jg233.t1
OG0002317	sp|O43520|AT8B1_HUMAN, sp|P98198|AT8B2_HUMAN, sp|Q8TF62|AT8B4_HUMAN	jg861.t1
OG0002320	sp|Q86W50|MET16_HUMAN	jg19356.t1, jg13445.t1, jg19356.t2, jg13444.t1
OG0002322	sp|Q9UJX3|APC7_HUMAN	jg13442.t1, jg19358.t1
OG0002323	sp|Q9UBS5|GABR1_HUMAN	jg8961.t1, jg8964.t1, jg8960.t1
OG0002324	sp|Q8TDI0|CHD5_HUMAN, sp|Q12873|CHD3_HUMAN, sp|Q14839|CHD4_HUMAN, sp|O43918|AIRE_HUMAN	jg20538.t1
OG0002325	sp|Q96PU5|NED4L_HUMAN, sp|P46934|NEDD4_HUMAN	jg27693.t1, jg7671.t1
OG0002326	sp|Q86XE3|MICU3_HUMAN, sp|Q8IYU8|MICU2_HUMAN	jg139.t1, jg4761.t1, jg411.t1
OG0002327	sp|Q8NFP9|NBEA_HUMAN, sp|P50851|LRBA_HUMAN, sp|P0C6P0|BCL8_HUMAN	jg24103.t1, jg1057.t1, jg1052.t1, jg24097.t1
OG0002329	sp|Q9NZC3|GDE1_HUMAN	jg5910.t1, jg28330.t1
OG0002331	sp|Q969S9|RRF2M_HUMAN	jg1867.t1, jg3498.t1, jg3495.t1, jg16014.t1, jg16018.t2, jg16018.t1
OG0002332	sp|Q86UF1|TSN33_HUMAN, sp|Q96FV3|TSN17_HUMAN, sp|P62079|TSN5_HUMAN, sp|Q8NG11|TSN14_HUMAN	jg29067.t1
OG0002333	sp|Q9P289|STK26_HUMAN, sp|Q9Y6E0|STK24_HUMAN, sp|O00506|STK25_HUMAN	jg12199.t1, jg16838.t1
OG0002334	sp|Q9BZG2|PPAT_HUMAN, sp|P15309|PPAP_HUMAN, sp|P11117|PPAL_HUMAN	jg27197.t1, jg27195.t1, jg27194.t1
OG0002335	sp|Q9Y6M7|S4A7_HUMAN, sp|Q2Y0W8|S4A8_HUMAN, sp|Q6U841|S4A10_HUMAN, sp|Q9Y6R1|S4A4_HUMAN, sp|Q9BY07|S4A5_HUMAN	jg8436.t1
OG0002336	sp|O14653|GOSR2_HUMAN	jg8432.t1
OG0002336	sp|Q9BV87|CNPD1_HUMAN	jg8430.t1, jg8431.t1
OG0002338	sp|Q8N6S4|AN13C_HUMAN	jg29311.t1, jg22153.t1, jg22161.t1, jg24723.t1
OG0002339	sp|Q9P0Z9|SOX_HUMAN	jg29512.t1, jg29508.t1, jg29511.t1, jg23713.t1, jg27010.t1
OG0002340	sp|P20132|SDHL_HUMAN, sp|Q96GA7|SDSL_HUMAN	jg17024.t1, jg17024.t3, jg17024.t2
OG0002341	sp|P22626|ROA2_HUMAN, tr|A0A2R8Y4L2|A0A2R8Y4L2_HUMAN, sp|Q32P51|RA1L2_HUMAN, sp|P09651|ROA1_HUMAN, sp|P51991|ROA3_HUMAN, sp|Q13151|ROA0_HUMAN	jg9884.t1
OG0002342	sp|P30260|CDC27_HUMAN	jg26815.t2, jg26815.t1, jg22490.t2, jg22490.t1, jg26785.t2, jg26785.t1
OG0002344	sp|Q9H0C2|ADT4_HUMAN, sp|P12235|ADT1_HUMAN, sp|P12236|ADT3_HUMAN, sp|P05141|ADT2_HUMAN	jg20300.t1, jg20301.t1
OG0002345	sp|Q96S15|WDR24_HUMAN	jg1657.t1, jg15674.t1, jg14873.t1, jg11878.t1, jg21522.t1, jg27552.t1
OG0002346	sp|P21397|AOFA_HUMAN, sp|P27338|AOFB_HUMAN	jg6256.t1, jg24329.t1
OG0002349	sp|Q8NE09|RGS22_HUMAN	jg583.t1, jg15777.t1, jg2953.t1, jg15783.t1, jg16919.t1
OG0002352	sp|Q13951|PEBB_HUMAN	jg26255.t1, jg9018.t1, jg26259.t1, jg26264.t1, jg18147.t1, jg9035.t1, jg22414.t1
OG0002353	sp|P49790|NU153_HUMAN	jg20706.t1
OG0002358	sp|Q969H4|CNKR1_HUMAN, sp|Q8WXI2|CNKR2_HUMAN, sp|Q6P9H4|CNKR3_HUMAN, sp|G9CGD6|CNIPF_HUMAN, sp|Q8WWN9|ICEF1_HUMAN	jg24342.t1
OG0002360	sp|Q14241|ELOA1_HUMAN, sp|Q8NG57|ELOA3_HUMAN, sp|A6NLF2|ELB3D_HUMAN, sp|A0A087WX78|ELB3C_HUMAN, sp|Q3SY89|ELB3B_HUMAN, sp|Q8IYF1|ELOA2_HUMAN	jg12734.t1
OG0002361	sp|Q9H6H4|REEP4_HUMAN, sp|Q6NUK4|REEP3_HUMAN, sp|Q9H902|REEP1_HUMAN, sp|Q9BRK0|REEP2_HUMAN	jg8364.t1
OG0002362	sp|P55199|ELL_HUMAN, sp|O00472|ELL2_HUMAN, sp|Q9HB65|ELL3_HUMAN, sp|Q8N4S9|MALD2_HUMAN, sp|Q9H607|OCEL1_HUMAN, sp|Q16625|OCLN_HUMAN	jg13310.t1
OG0002364	sp|P13716|HEM2_HUMAN	jg21258.t1, jg15377.t1, jg18559.t1, jg12063.t1, jg21180.t1
OG0002366	sp|Q92556|ELMO1_HUMAN, sp|Q96JJ3|ELMO2_HUMAN, sp|Q96BJ8|ELMO3_HUMAN	jg18989.t1, jg18989.t2
OG0002367	sp|Q6PJG2|MDEAS_HUMAN, sp|Q96PN7|TREF1_HUMAN, sp|Q9H0D2|ZN541_HUMAN	jg28299.t1, jg28299.t2
OG0002368	sp|O15160|RPAC1_HUMAN	jg28292.t1
OG0002368	sp|Q8WYP3|RIN2_HUMAN, sp|Q13671|RIN1_HUMAN, sp|Q8TB24|RIN3_HUMAN, sp|Q6ZS11|RINL_HUMAN	jg28274.t1
OG0002369	sp|Q14410|GLPK2_HUMAN, sp|Q14409|GLPK3_HUMAN, sp|P32189|GLPK_HUMAN, sp|Q8NHQ1|CEP70_HUMAN	jg20315.t1
OG0002370	sp|P04062|GLCM_HUMAN	jg28444.t1
OG0002371	sp|Q01970|PLCB3_HUMAN, sp|Q9NQ66|PLCB1_HUMAN, sp|Q00722|PLCB2_HUMAN, sp|Q15147|PLCB4_HUMAN	jg20196.t1
OG0002372	sp|Q9Y5S8|NOX1_HUMAN, sp|Q9HBY0|NOX3_HUMAN, sp|P04839|CY24B_HUMAN	jg14159.t1, jg8601.t1, jg14172.t1
OG0002373	sp|Q96CM8|ACSF2_HUMAN	jg11108.t1
OG0002374	sp|Q6QHF9|PAOX_HUMAN, sp|Q9NWM0|SMOX_HUMAN	jg11085.t1, jg2466.t2, jg2466.t1
OG0002376	sp|Q9NV66|TYW1_HUMAN, sp|Q6NUM6|TYW1B_HUMAN	jg10204.t1, jg24526.t1, jg10207.t1
OG0002377	sp|Q9H4G4|GAPR1_HUMAN	jg12324.t1
OG0002378	sp|Q86UC2|RSPH3_HUMAN	jg29247.t1
OG0002379	sp|Q5SY80|CTSRE_HUMAN	jg28116.t1, jg15.t1, jg28118.t1, jg28471.t1
OG0002382	sp|O75689|ADAP1_HUMAN, sp|Q9NPF8|ADAP2_HUMAN	jg10093.t1, jg10094.t1
OG0002384	sp|Q8TB72|PUM2_HUMAN, sp|Q14671|PUM1_HUMAN	jg15531.t1, jg9664.t1
OG0002386	sp|Q7Z7K2|ZN467_HUMAN, sp|Q5TEC3|ZN697_HUMAN, sp|Q8NCA9|ZN784_HUMAN, sp|Q8NAF0|ZN579_HUMAN	jg29900.t1
OG0002387	sp|Q96RU8|TRIB1_HUMAN, sp|Q92519|TRIB2_HUMAN, sp|Q96RU7|TRIB3_HUMAN	jg12742.t1
OG0002389	sp|Q9UPN3|MACF1_HUMAN, sp|Q03001|DYST_HUMAN	jg27407.t1, jg27408.t1, jg27402.t1
OG0002390	sp|A0A024RBG1|NUD4B_HUMAN, sp|Q9NZJ9|NUDT4_HUMAN, sp|Q96G61|NUD11_HUMAN, sp|Q8NFP7|NUD10_HUMAN, sp|O95989|NUDT3_HUMAN	jg20819.t1, jg20684.t1
OG0002391	sp|Q9BXR0|TGT_HUMAN	jg3999.t1, jg4024.t1, jg29300.t2, jg22252.t1, jg29300.t1, jg3989.t1
OG0002392	sp|Q9Y2K6|UBP20_HUMAN, sp|Q8TEY7|UBP33_HUMAN	jg10306.t1, jg30191.t1, jg27644.t1
OG0002393	sp|P41247|PLPL4_HUMAN, sp|Q7Z6Z6|PLPL5_HUMAN, sp|Q96AD5|PLPL2_HUMAN, sp|Q9NST1|PLPL3_HUMAN	jg17973.t1, jg17974.t1
OG0002394	sp|P61244|MAX_HUMAN	jg19036.t1
OG0002394	sp|Q7Z3B0|SIM15_HUMAN	jg19035.t1
OG0002395	sp|Q9Y613|FHOD1_HUMAN, sp|Q2V2M9|FHOD3_HUMAN	jg28584.t1
OG0002396	sp|O00767|SCD_HUMAN	jg11733.t1
OG0002397	sp|Q9BVA0|KTNB1_HUMAN, sp|Q9H079|KTBL1_HUMAN	jg17824.t1, jg25104.t1, jg17821.t1, jg17815.t1, jg24414.t1
OG0002398	sp|P61077|UB2D3_HUMAN, sp|P62837|UB2D2_HUMAN, sp|P51668|UB2D1_HUMAN, sp|Q9Y2X8|UB2D4_HUMAN	jg4604.t1
OG0002399	sp|Q9Y3I1|FBX7_HUMAN	jg11610.t1
OG0002399	sp|Q6FIF0|ZFAN6_HUMAN, sp|O76080|ZFAN5_HUMAN	jg24546.t1
OG0002400	sp|O60762|DPM1_HUMAN	jg28199.t1
OG0002400	sp|Q49AJ0|F135B_HUMAN, sp|Q9P2D6|F135A_HUMAN	jg28432.t1
OG0002401	sp|O15457|MSH4_HUMAN	jg27761.t1, jg6023.t1
OG0002402	sp|Q9Y490|TLN1_HUMAN, sp|Q9Y4G6|TLN2_HUMAN	jg11735.t1, jg11734.t1
OG0002403	sp|P61129|ZC3H6_HUMAN, sp|Q9UPT8|ZC3H4_HUMAN, sp|Q8N5P1|ZC3H8_HUMAN	jg11042.t1
OG0002404	sp|Q9NVR5|KTU_HUMAN	jg1481.t1, jg6021.t1, jg27763.t1
OG0002407	sp|Q8ND30|LIPB2_HUMAN, sp|Q86W92|LIPB1_HUMAN	jg11523.t1
OG0002408	sp|Q86U86|PB1_HUMAN	jg9103.t1, jg9103.t2, jg9103.t3, jg21982.t1
OG0002410	sp|O43491|E41L2_HUMAN, sp|P11171|EPB41_HUMAN, sp|Q9H4G0|E41L1_HUMAN, sp|Q9Y2J2|E41L3_HUMAN	jg2723.t1
OG0002411	sp|Q5VXM1|CDCP2_HUMAN	jg13340.t1
OG0002412	sp|Q8WW32|HMGB4_HUMAN, sp|C9JSJ3|MEIOS_HUMAN, sp|O15347|HMGB3_HUMAN, sp|P09429|HMGB1_HUMAN, sp|B2RPK0|HGB1A_HUMAN, sp|P26583|HMGB2_HUMAN	jg29164.t1
OG0002413	sp|Q9NVA2|SEP11_HUMAN, sp|Q92599|SEPT8_HUMAN, sp|Q14141|SEPT6_HUMAN, sp|Q9P0V9|SEP10_HUMAN	jg13416.t1, jg23225.t1
OG0002414	sp|Q16548|B2LA1_HUMAN, sp|Q9HBF5|ST20_HUMAN	jg8515.t1
OG0002415	sp|P05549|AP2A_HUMAN, sp|Q92754|AP2C_HUMAN, sp|Q92481|AP2B_HUMAN, sp|Q6VUC0|AP2E_HUMAN, sp|Q7Z6R9|AP2D_HUMAN	jg8638.t1, jg1212.t1
OG0002416	sp|Q8NE35|CPEB3_HUMAN, sp|Q7Z5Q1|CPEB2_HUMAN, sp|Q17RY0|CPEB4_HUMAN	jg2512.t1, jg2513.t2, jg2513.t1
OG0002418	sp|Q01668|CAC1D_HUMAN, sp|Q13936|CAC1C_HUMAN, sp|O60840|CAC1F_HUMAN, sp|Q13698|CAC1S_HUMAN	jg18902.t1
OG0002419	sp|O43592|XPOT_HUMAN	jg19115.t1
OG0002419	sp|P31150|GDIA_HUMAN, sp|P50395|GDIB_HUMAN	jg19114.t1
OG0002420	sp|Q7Z3U7|MON2_HUMAN	jg19013.t2, jg19013.t1
OG0002421	sp|Q9UP38|FZD1_HUMAN, sp|O75084|FZD7_HUMAN, sp|Q14332|FZD2_HUMAN, sp|Q9H461|FZD8_HUMAN, sp|Q13467|FZD5_HUMAN	jg8478.t1, jg22214.t1
OG0002422	sp|Q6ZV73|FGD6_HUMAN	jg7894.t1, jg20517.t1
OG0002425	sp|P78527|PRKDC_HUMAN	jg7979.t1, jg7982.t1
OG0002426	sp|Q9BTT0|AN32E_HUMAN, sp|Q92688|AN32B_HUMAN, sp|P39687|AN32A_HUMAN, sp|O95626|AN32D_HUMAN, sp|O43423|AN32C_HUMAN, sp|Q99467|CD180_HUMAN	jg29752.t1
OG0002427	sp|Q9P2Q2|FRM4A_HUMAN, sp|Q9Y2L6|FRM4B_HUMAN, sp|Q3KP66|INAVA_HUMAN, sp|Q96HB5|CC120_HUMAN	jg20015.t1, jg20018.t1
OG0002428	sp|Q5VWQ0|RSBN1_HUMAN, sp|Q6PCB5|RSBNL_HUMAN	jg23656.t1
OG0002429	sp|P10075|GLI4_HUMAN, sp|Q8NB50|ZFP62_HUMAN, sp|Q499Z4|ZN672_HUMAN, sp|Q96SL8|FIZ1_HUMAN, sp|Q9NSD4|ZN275_HUMAN	jg6969.t1
