Orthogroup	Ephydatia_Emu_v1_prots	Niphates_augustus.hints.aa
OG0001599	Em0009g1022a	jg6203.t1
OG0001602	Em0013g735a, Em0013g736a	jg2675.t1
OG0001603	Em0018g1109a	jg11867.t1, jg10330.t1, jg11866.t1, jg28902.t1, jg14878.t1, jg27509.t1, jg26763.t1, jg11806.t1, jg26774.t1
OG0001604	Em0016g985a	jg9617.t1, jg25414.t1, jg9601.t1, jg9610.t1, jg9603.t1
OG0001605	Em0021g951a, Em0021g965a, Em0021g952a	jg15829.t1
OG0001606	Em0194g4a, Em0983g3a, Em0022g239a	jg476.t1
OG0001606	Em0005g1289a, Em0001g3151a	jg5455.t1
OG0001607	Em0001g1a	jg16915.t1, jg30449.t1
OG0001607	Em0009g700a, Em0009g717a	jg16023.t1, jg11482.t1
OG0001608	Em0137g8a, Em0016g956a	jg2712.t1, jg17014.t1, jg2708.t1, jg2711.t1, jg2709.t1, jg2710.t1
OG0001609	Em0001g1705a	jg25590.t1, jg15469.t1, jg25589.t2, jg25589.t1, jg15467.t1, jg15467.t2, jg25595.t1
OG0001610	Em0019g502a	jg16100.t1, jg24476.t1, jg15516.t1, jg30349.t1, jg21472.t1
OG0001613	Em0022g156a, Em0655g1a, Em0460g1a, Em1006g1a	jg7221.t1
OG0001615	Em0452g3a, Em0012g76a, Em0012g73a, Em0005g871a, Em0005g876a, Em0452g7a, Em0452g4a, Em0005g873a, Em0005g879a	jg30451.t1
OG0001616	Em0006g735a, Em0006g878a, Em0021g568a	jg23737.t1, jg23743.t1, jg23739.t1, jg23742.t1, jg23738.t1
OG0001619	Em0015g232a, Em0015g856a, Em0015g231a, Em0015g233a, Em0015g217a, Em0015g216a, Em0015g235a, Em0015g219a	jg8035.t1
OG0001620	Em0015g806a, Em0015g801a	jg23262.t1, jg10515.t1, jg22748.t1, jg22746.t1
OG0001621	Em1006g4a, Em0655g3a, Em0460g3a, Em0022g153a	jg27327.t1, jg22561.t1, jg27320.t1
OG0001623	Em0001g82a	jg5354.t1
OG0001623	Em0014g599a, Em0014g586a, Em0014g559a, Em0001g83a, Em1042g1a, Em0614g5a	jg19023.t1
OG0001625	Em0017g544a, Em0017g545a, Em0017g526a, Em0017g532a, Em1022g1a, Em0017g536a, Em0022g88a	jg29217.t1
OG0001626	Em0015g58a	jg13895.t1
OG0001626	Em0009g101a, Em0023g948a, Em0024g308a, Em0024g312a	jg964.t1
OG0001627	Em0016g33a, Em0023g173a	jg14977.t1, jg19696.t1, jg23071.t1
OG0001628	Em0017g126a, Em0002g798a, Em0002g646a, Em0002g647a, Em0002g797a	jg23055.t1, jg23055.t2
OG0001630	Em0018g1167a, Em0005g71a, Em0018g1165a, Em0018g1169a, Em0006g1436a, Em0018g1168a	jg26738.t1
OG0001631	Em0022g183a	jg23240.t1
OG0001632	Em0013g552a	jg20050.t1, jg26660.t1, jg8007.t1
OG0001633	Em0023g812a	jg4519.t1, jg4525.t1, jg4526.t1, jg21359.t1, jg20853.t1
OG0001635	Em0008g1076a, Em0008g1075a, Em0008g1073a, Em0008g1074a	jg6862.t1, jg25259.t1, jg25257.t1, jg6860.t1
OG0001636	Em0001g981a	jg809.t1, jg17765.t1, jg27582.t1, jg11767.t1, jg21117.t1, jg21577.t1, jg6786.t1
OG0001637	Em0015g119a, Em0015g120a	jg14841.t1, jg14839.t1, jg2197.t1, jg14849.t2, jg14849.t1, jg23205.t1
OG0001638	Em0034g28a, Em0003g1895a	jg30356.t1, jg27829.t1
OG0001638	Em0007g489a	jg22827.t1
OG0001638	Em0029g24a	jg24502.t1, jg2985.t1
OG0001639	Em0438g6a, Em0074g17a, Em0617g5a, Em0074g18a, Em0617g4a, Em0005g1676a	jg12770.t1, jg12770.t2
OG0001641	Em0013g72a, Em0013g76a, Em0013g85a, Em0013g80a	jg1879.t1, jg2780.t1
OG0001642	Em0001g1222a	jg22892.t1, jg19335.t1, jg19336.t1, jg22039.t1, jg4027.t1, jg22895.t1, jg9767.t1, jg27638.t1
OG0001643	Em0011g282a, Em0011g292a, Em0011g291a, Em0011g283a	jg6360.t1, jg6359.t1
OG0001644	Em0007g141a, Em0007g220a, Em0007g225a, Em0007g239a, Em0004g697a, Em0007g589a	jg12193.t1
OG0001647	Em0001g520a, Em0013g341a, Em0013g331a, Em0001g708a, Em0001g745a, Em0001g741a, Em0009g1007a, Em0009g1003a	jg13304.t1
OG0001649	Em0015g845a, Em0015g844a, Em0004g304a, Em0004g306a, Em0004g305a	jg12328.t1, jg19077.t1
OG0001650	Em0011g1007a, Em0011g994a	jg8735.t1
OG0001651	Em0006g1421a, Em0006g1420a, Em0001g1014a, Em0005g804a	jg18690.t1
OG0001653	Em0004g146a	jg4315.t1
OG0001653	Em0016g537a, Em0004g145a	jg7113.t1
OG0001654	Em0015g1236a, Em0015g1213a, Em0015g1212a, Em0015g1235a	jg28398.t1, jg10212.t1
OG0001655	Em0003g858a	jg22545.t1, jg11680.t1, jg23729.t2, jg23729.t1, jg22544.t1, jg11681.t1
OG0001657	Em0018g415a, Em0005g1624a, Em0005g1617a, Em0005g1623a, Em0003g1671a, Em0003g1647a	jg23800.t1, jg18769.t1
OG0001658	Em0009g49a	jg6159.t1, jg26043.t1, jg6143.t1, jg20910.t1, jg26036.t1, jg6158.t1, jg26034.t1, jg6140.t1
OG0001659	Em0007g732a, Em0007g721a, Em0007g716a, Em0007g704a	jg17502.t1, jg17500.t1, jg17501.t1
OG0001660	Em0016g785a, Em0023g682a, Em0023g9a, Em0036g40a, Em0023g780a, Em1007g2a, Em0023g11a	jg3804.t1, jg3805.t1, jg3806.t1
OG0001661	Em0004g76a, Em0004g77a, Em0004g80a	jg25159.t1
OG0001662	Em0001g394a, Em0001g3234a, Em0001g3266a, Em0001g3212a, Em0001g3301a, Em0001g3274a	jg9096.t1
OG0001663	Em0013g20a, Em0324g9a, Em0573g4a, Em0013g12a, Em0013g19a, Em0324g8a, Em0013g11a, Em0573g3a	jg2456.t1
OG0001664	Em0464g4a, Em0445g2a, Em0446g2a, Em1106g2a, Em0416g2a, Em0013g5a, Em0013g8a, Em0324g5a	jg2451.t1
OG0001665	Em0014g439a, Em0014g490a, Em0014g454a, Em0014g503a, Em0014g460a	jg12225.t1
OG0001667	Em0018g1217a, Em0018g1204a	jg28186.t1
OG0001668	Em0008g516a, Em0018g197a, Em0018g198a, Em0018g203a, Em0020g543a, Em0018g517a	jg2528.t1, jg2525.t1
OG0001670	Em0013g485a, Em0009g767a, Em0008g582a, Em0016g817a, Em0001g1359a	jg24201.t1, jg9667.t1, jg24190.t1, jg29321.t1, jg5371.t1
OG0001671	Em0019g882a, Em0019g881a, Em0020g949a, Em0020g948a	jg27053.t1, jg27059.t1, jg27889.t1, jg27889.t2, jg27896.t1, jg27895.t1
OG0001672	Em0014g285a, Em0014g281a, Em0014g295a, Em0012g59a	jg20014.t1, jg20017.t1
OG0001674	Em0009g3a, Em0014g118a, Em0459g4a, Em0014g80a, Em0014g85a, Em0014g94a, Em0014g107a	jg23657.t1
OG0001762	Em0158g10a, Em0007g13a, Em0158g9a, Em0248g3a	jg17388.t1
OG0001763	Em0006g888a	jg23736.t1, jg23736.t2, jg19401.t1, jg19397.t1
OG0001764	Em0011g232a, Em0011g233a	jg30278.t1, jg6372.t1
OG0001765	Em0011g1062a	jg8761.t1, jg8770.t1, jg8766.t1
OG0001767	Em0022g804a	jg9500.t1, jg3743.t1, jg9501.t1, jg27035.t1
OG0001769	Em0004g1239a	jg22959.t1, jg2843.t1, jg6538.t1
OG0001770	Em0005g1460a	jg6053.t1, jg6061.t1, jg6057.t1, jg1398.t1
OG0001772	Em0690g1a, Em0218g4a	jg25948.t1
OG0001778	Em0022g403a	jg29096.t1
OG0001782	Em0018g1099a, Em0018g1132a	jg1913.t1
OG0001789	Em0023g510a, Em0023g519a	jg18508.t1
OG0001791	Em0023g160a, Em0023g152a	jg15977.t1, jg387.t1, jg387.t2, jg15977.t2
OG0001795	Em0017g955a	jg4515.t1, jg5210.t1, jg5212.t1, jg21377.t1, jg25641.t1, jg3161.t1
OG0001796	Em0179g19a, Em0023g51a, Em0786g4a, Em0179g10a	jg6452.t1, jg19580.t1
OG0001798	Em0023g258a, Em0023g256a	jg18276.t1, jg11364.t1
OG0001800	Em0005g138a, Em0005g169a, Em0005g167a	jg12545.t1
OG0001801	Em0019g169a	jg7250.t1, jg28038.t1
OG0001805	Em0009g109a, Em0009g108a	jg7663.t1
OG0001806	Em0021g258a	jg12567.t2, jg12567.t1, jg28800.t1, jg23330.t1
OG0001809	Em0011g11a	jg30233.t1, jg11325.t2, jg11325.t1
OG0001812	Em0012g520a, Em0021g272a	jg8540.t1, jg8540.t2
OG0001814	Em0022g138a, Em0022g137a	jg17847.t1
OG0001814	Em0022g133a	jg19731.t1
OG0001815	Em0004g1059a	jg20397.t1, jg16048.t1, jg28967.t1
OG0001816	Em0021g989a	jg12211.t1
OG0001817	Em0014g23a, Em0014g25a, Em0900g3a, Em0763g2a, Em0005g1441a, Em1142g1a	jg12312.t1
OG0001818	Em0018g645a, Em0018g641a, Em0018g655a, Em0018g636a	jg28577.t1, jg28567.t1, jg8103.t1
OG0001819	Em0004g384a, Em0017g612a	jg29914.t1, jg5419.t1, jg30019.t1, jg2146.t1
OG0001820	Em0533g2a	jg17873.t1, jg25696.t1, jg11997.t1, jg11928.t1, jg16520.t1, jg14256.t1, jg14256.t2, jg26857.t1
OG0001821	Em0006g1142a	jg22378.t1
OG0001821	Em0006g1144a	jg22375.t1
OG0001822	Em0021g970a	jg15832.t1
OG0001824	Em0011g816a	jg10729.t1
OG0001829	Em0015g1151a, Em0015g1145a, Em0015g1135a	jg17056.t1, jg17059.t1
OG0001830	Em0010g944a	jg11561.t1, jg11561.t2
OG0001832	Em0009g1242a, Em0567g4a	jg6181.t1, jg30425.t1
OG0001833	Em0019g32a, Em0008g306a	jg27310.t1, jg3583.t1, jg27125.t1
OG0001836	Em0018g805a	jg19750.t1
OG0001837	Em0007g49a, Em0575g3a, Em0014g401a, Em0006g822a	jg17662.t1, jg5290.t1, jg17741.t1
OG0001840	Em0016g402a	jg22680.t1, jg26199.t1, jg15190.t1, jg9709.t1, jg13030.t1, jg349.t1
OG0001841	Em0005g1003a, Em0017g983a	jg23541.t1, jg10535.t1, jg30074.t1, jg23927.t1, jg7405.t1
OG0001842	Em0012g248a	jg25366.t1, jg21989.t1, jg6496.t1, jg2077.t1, jg12087.t1
OG0001843	Em0016g117a	jg21667.t1, jg21670.t1
OG0001844	Em0022g244a, Em0015g995a, Em0019g771a, Em0017g55a	jg26745.t1, jg20095.t1, jg3080.t1, jg7697.t1, jg24173.t1
OG0001847	Em0013g494a	jg7729.t1, jg16556.t1, jg7727.t1, jg16554.t1
OG0001848	Em0023g518a, Em0023g509a	jg18507.t1
OG0001849	Em0001g2705a, Em1074g2a	jg19142.t1
OG0001852	Em0002g754a, Em0002g755a	jg10413.t1, jg4984.t1, jg4985.t1, jg10417.t1
OG0001855	Em0009g831a, Em0051g19a, Em0009g919a	jg12768.t1, jg12767.t1
OG0001858	Em0018g790a	jg19755.t1
OG0001861	Em0019g166a, Em0019g165a, Em0395g8a, Em0021g849a	jg27955.t1, jg13323.t1
OG0001862	Em0017g855a	jg4742.t1, jg64.t1
OG0001863	Em0009g1031a	jg17916.t1, jg4202.t1
OG0001865	Em0008g253a, Em0005g1103a, Em0018g948a, Em0018g949a	jg16386.t1, jg518.t1
OG0001867	Em0021g933a, Em0956g2a, Em0021g798a, Em0021g785a, Em0012g804a, Em0005g205a	jg5890.t2
OG0001869	Em0019g202a, Em0006g1029a	jg24291.t1, jg27440.t1, jg24286.t1, jg22099.t1
OG0001870	Em0011g850a	jg10499.t1, jg10499.t2, jg1354.t1
OG0001874	Em0013g651a, Em0001g2966a, Em0017g732a, Em0001g1346a	jg9918.t1
OG0001875	Em0021g856a	jg15861.t1
OG0001880	Em0004g1031a, Em0016g458a	jg21739.t1, jg24903.t1, jg17304.t1, jg13171.t1, jg13180.t1, jg5565.t1, jg30353.t1
OG0001881	Em0004g931a, Em0016g288a	jg3491.t1, jg1869.t1, jg8976.t1
OG0001883	Em0009g653a, Em0009g659a, Em0009g688a, Em0009g707a, Em0009g687a, Em0009g708a	jg3741.t1, jg27034.t1
OG0001884	Em0013g551a	jg2694.t1
OG0001884	Em0013g239a, Em0013g269a, Em0013g258a, Em0013g263a	jg2695.t1
OG0001887	Em0008g394a, Em0030g24a	jg2226.t1, jg3562.t1, jg3561.t1
OG0001888	Em0019g989a, Em1389g1a	jg12936.t1, jg22772.t1, jg22057.t1, jg10391.t1, jg26965.t1, jg2875.t1
OG0001890	Em0006g1218a	jg7645.t1, jg24320.t1, jg6248.t1
OG0001892	Em0021g890a	jg15825.t1
OG0001892	Em0019g637a, Em0019g761a	jg28535.t1
OG0001893	Em0447g5a, Em0022g322a	jg3072.t1, jg3064.t1, jg3068.t1, jg25546.t1
OG0001897	Em0011g59a	jg15630.t1, jg12159.t1, jg12054.t1, jg15368.t1, jg15361.t1, jg21169.t1, jg14823.t1
OG0001899	Em0011g755a, Em0006g1297a, Em0001g3772a, Em0004g119a, Em0459g2a, Em0001g2307a	jg5064.t1
OG0001900	Em0008g96a, Em0008g103a	jg20827.t1
OG0001902	Em0008g422a, Em0030g37a	jg3410.t1
OG0001903	Em0013g391a, Em0328g6a, Em0013g402a, Em0475g5a, Em0475g1a, Em0013g392a, Em0013g387a	jg2721.t1
OG0001904	Em0008g821a	jg25980.t1
OG0001905	Em0022g207a	jg12060.t1, jg12156.t1, jg21176.t1, jg12059.t1, jg21255.t1, jg18555.t1, jg15373.t1
OG0001907	Em0008g824a, Em0005g1156a	jg17812.t1, jg21184.t1, jg11504.t1, jg18563.t1, jg21082.t1
OG0001908	Em0004g409a, Em0004g422a	jg28812.t1, jg25033.t1, jg9207.t1, jg9207.t2
OG0001910	Em0022g502a, Em0022g497a, Em0022g495a, Em0022g496a	jg27335.t1, jg22568.t1, jg17863.t1
OG0001911	Em0023g747a, Em0023g746a	jg18550.t1, jg18549.t1, jg18549.t2
OG0001914	Em0021g122a, Em0867g3a, Em0021g120a	jg11535.t1, jg11542.t1
OG0001915	Em0011g27a	jg22611.t1, jg22615.t1, jg22611.t2, jg10272.t1, jg22614.t1, jg26692.t1, jg11983.t1
OG0001916	Em0016g286a	jg8966.t1, jg8963.t1
OG0001917	Em0016g196a, Em0016g210a, Em0016g200a, Em0329g4a, Em0016g214a	jg15091.t1, jg15100.t1, jg10492.t1
OG0001918	Em0003g1420a	jg19314.t1, jg10486.t1, jg30154.t1, jg19317.t1, jg15088.t1, jg30151.t2, jg30151.t1
OG0001919	Em0011g880a, Em0011g959a, Em0011g876a, Em0011g958a, Em0011g874a	jg18129.t1
OG0001920	Em0012g708a	jg22494.t1, jg26811.t1, jg26789.t1, jg26806.t1, jg22496.t1
OG0001921	Em0003g291a, Em0003g298a, Em0003g292a	jg18001.t1, jg18002.t1
OG0001922	Em0648g7a, Em0010g78a, Em0674g7a, Em0010g42a	jg11570.t1
OG0001923	Em0018g566a, Em0221g5a, Em0019g981a	jg1221.t1, jg8646.t1, jg16990.t1
OG0001924	Em0005g1600a	jg1409.t1, jg6072.t1
OG0001924	Em0007g1330a	jg17407.t1
OG0001926	Em0022g335a, Em0017g276a, Em0017g281a	jg24494.t1, jg11704.t1, jg24258.t1
OG0001927	Em0003g1667a, Em0003g1651a	jg14754.t2, jg14754.t1
OG0001928	Em0015g457a, Em0015g454a	jg13832.t1
OG0001929	Em0007g322a	jg22263.t1, jg7998.t1, jg26656.t1
OG0001930	Em0118g10a, Em0118g2a, Em1208g1a	jg17606.t1, jg8454.t1
OG0001932	Em0008g97a, Em0008g102a	jg25971.t1, jg6461.t1, jg19588.t1
OG0001933	Em0015g748a, Em0114g12a, Em0698g3a, Em0010g9a, Em0001g799a	jg15428.t1, jg25565.t1
OG0001934	Em0023g101a, Em0420g2a	jg24540.t1
OG0001935	Em0001g467a	jg25573.t1, jg25577.t1, jg15444.t1, jg15448.t1, jg25579.t1
OG0001936	Em0005g1125a, Em0005g1061a, Em0005g1128a	jg24331.t1, jg6258.t1, jg12729.t1, jg12728.t1, jg12730.t1
OG0001937	Em0016g841a, Em0016g850a, Em0016g852a, Em0016g846a, Em0016g879a, Em0016g873a	jg16542.t1, jg7700.t1
OG0001938	Em0001g2190a, Em0001g2187a, Em0001g2189a, Em0001g2201a, Em0001g2198a, Em0001g2171a, Em0001g2177a	jg27293.t1, jg27299.t1
OG0001939	Em0016g190a, Em0016g192a, Em0016g186a	jg8835.t1, jg21023.t1
OG0001939	Em0016g189a	jg8836.t1
OG0001940	Em0015g743a, Em0563g6a, Em0114g8a	jg16049.t1
OG0001941	Em0023g166a	jg15971.t1, jg24340.t1
OG0001941	Em0023g169a, Em0023g171a, Em0023g180a, Em0023g179a, Em0023g168a	jg15970.t1
OG0001942	Em0022g288a, Em0022g289a	jg17983.t1, jg29021.t1, jg29020.t1, jg29022.t1, jg29023.t1
OG0001943	Em0006g884a, Em0006g875a	jg12513.t1
OG0001943	Em0006g885a, Em0006g874a	jg12514.t1
OG0001944	Em0145g14a, Em0099g13a, Em0099g21a, Em0099g5a, Em0429g5a	jg4306.t2, jg4306.t1
OG0001946	Em0029g16a, Em0004g449a, Em0004g477a, Em0029g21a, Em0004g469a, Em0029g17a, Em0004g521a, Em0004g525a	jg19757.t1
OG0001947	Em0028g41a	jg29132.t1, jg7.t1, jg19929.t1
OG0001949	Em0015g356a, Em0015g388a, Em0021g107a, Em0021g95a	jg8112.t1
OG0001950	Em0701g3a, Em0696g3a, Em0015g474a	jg14437.t1, jg14437.t3, jg14437.t2
OG0001952	Em0014g819a, Em0014g815a	jg19967.t1, jg19965.t1, jg19966.t1
OG0001953	Em0015g855a, Em0015g896a, Em0015g892a, Em0015g897a, Em0015g889a, Em0015g895a, Em0015g894a, Em0015g888a	jg11217.t1
OG0001954	Em0008g84a	jg26438.t1, jg17326.t1, jg24812.t1, jg30031.t1, jg26437.t1, jg17329.t1, jg24813.t1, jg17327.t1
OG0001955	Em0003g131a, Em0003g159a	jg15423.t1, jg25555.t1, jg25556.t1, jg25557.t1, jg15424.t1
OG0001956	Em0020g33a, Em0020g388a, Em0020g31a, Em0020g401a, Em0020g375a, Em0020g408a, Em0020g386a, Em0020g382a	jg24843.t1
OG0001957	Em0007g740a, Em0007g741a, Em0005g217a, Em0007g773a	jg29891.t1, jg29893.t1, jg29892.t1
OG0001958	Em0004g1366a	jg20650.t1
OG0001959	Em0004g404a	jg26323.t1, jg15208.t1, jg25048.t1, jg29966.t1, jg30108.t1, jg9334.t1, jg26177.t1, jg28747.t1
OG0001960	Em0011g962a, Em0011g963a	jg21113.t1, jg11405.t1, jg18232.t1, jg11408.t1, jg11409.t1, jg18228.t1
OG0001961	Em0015g736a, Em0306g5a, Em0305g7a	jg13944.t1
OG0001962	Em0018g788a	jg13477.t2, jg30299.t3, jg13477.t3, jg13477.t1, jg30299.t1, jg30299.t2
OG0001963	Em0783g1a, Em0001g2638a, Em0001g2564a, Em0001g2597a, Em0001g2422a, Em0001g2617a, Em0001g2637a, Em0001g2565a	jg19127.t1
OG0001964	Em0001g409a, Em0001g404a	jg1151.t2, jg1151.t1, jg10074.t1, jg10074.t2, jg1151.t3, jg10075.t1
OG0001965	Em0018g256a, Em0115g6a, Em0419g1a, Em0018g255a, Em0115g7a	jg25303.t1
OG0001966	Em0015g170a	jg25153.t1, jg25154.t1, jg25141.t1, jg25143.t1
OG0001967	Em0019g659a, Em0004g1214a, Em0019g947a	jg25550.t1
OG0001967	Em0221g1a, Em0019g976a	jg14463.t1
OG0001968	Em0002g288a, Em0019g679a, Em0015g14a, Em0006g1182a	jg4070.t1, jg25929.t1, jg25927.t1, jg4063.t1, jg25931.t1
OG0001969	Em1106g1a, Em0445g3a, Em0013g4a, Em0446g3a, Em0416g3a, Em0013g7a, Em0464g3a, Em0324g4a	jg2452.t1
OG0001970	Em0006g377a	jg5585.t1, jg9220.t1, jg5584.t1, jg23517.t1, jg9386.t1, jg2124.t1, jg847.t1, jg9387.t1
OG0001972	Em0786g3a, Em0179g18a, Em0179g9a, Em0023g50a	jg19579.t1, jg6450.t1
OG0001973	Em0001g1123a, Em0001g1133a, Em0829g1a, Em0110g5a, Em0012g160a, Em0110g1a, Em0012g156a	jg28938.t1, jg8479.t1
OG0001974	Em0013g888a	jg2586.t1
OG0001975	Em0021g842a, Em0395g15a, Em0192g2a, Em0021g876a	jg15808.t1
OG0001976	Em0012g37a, Em0012g10a	jg12930.t1, jg1306.t1, jg1307.t1
OG0001977	Em0001g1749a, Em0001g1733a, Em0001g1719a, Em0001g1699a, Em0001g2514a	jg20516.t1, jg7893.t1
OG0001978	Em0003g1831a, Em0003g1790a, Em0003g1762a, Em0003g1794a, Em0003g1816a, Em0003g1782a, Em0003g1769a	jg18590.t1
OG0001979	Em0018g653a, Em0018g628a, Em0018g644a, Em0018g621a	jg11672.t1, jg10371.t1, jg5391.t1, jg24997.t1
OG0001980	Em0015g1026a, Em0015g1027a	jg25627.t1, jg6944.t1, jg6943.t1, jg25626.t1
OG0001981	Em0022g18a, Em0022g2a	jg17364.t1, jg10786.t1, jg1718.t1, jg25100.t1, jg25574.t1, jg25570.t1
OG0001987	Em0002g262a, Em0014g272a, Em0702g2a, Em0001g852a, Em0216g7a, Em0013g456a, Em0002g152a, Em0020g291a	jg20168.t1, jg23529.t1
OG0001996	Em0747g1a, Em0001g1383a, Em0004g1618a	jg10315.t1, jg10316.t1, jg19615.t1, jg24045.t1
OG0001996	Em0016g768a, Em0005g970a	jg28732.t1
OG0002001	Em0037g15a, Em0001g2002a, Em0022g972a, Em0006g317a, Em0006g322a	jg9257.t1, jg7630.t1, jg14007.t1, jg26317.t1, jg26642.t1
OG0002004	Em0007g185a, Em0001g2607a	jg164.t1, jg7285.t1, jg21729.t1, jg27374.t1, jg14108.t1, jg5011.t1, jg17600.t1, jg1815.t1
OG0002019	Em0005g1199a, Em0109g8a, Em0005g819a, Em0008g725a, Em0003g989a, Em0003g1094a, Em0010g24a	jg23525.t1, jg23456.t1, jg6042.t1
OG0002042	Em0023g583a	jg23949.t1, jg3587.t1, jg7396.t1, jg1276.t1, jg8081.t1, jg1605.t1, jg27095.t1, jg27303.t1, jg22610.t1
OG0002089	Em0010g1018a, Em0010g981a	jg28065.t1
OG0002092	Em0012g999a, Em0277g4a	jg8378.t1
OG0002103	Em0016g1084a, Em0016g1085a, Em0016g1102a	jg14597.t1
OG0002104	Em0019g265a, Em0019g257a, Em0402g11a	jg28455.t1
OG0002105	Em0019g668a	jg18112.t1
OG0002106	Em0013g1103a, Em0013g1118a, Em0011g869a	jg15851.t1
OG0002107	Em0008g1228a	jg20768.t1, jg20983.t1, jg3034.t1, jg3034.t2
OG0002113	Em0022g717a	jg30540.t1, jg3123.t1
OG0002114	Em0003g911a, Em0003g1038a	jg9855.t1
OG0002115	Em0012g392a, Em0170g4a	jg12833.t1
OG0002115	Em0019g661a	jg28310.t1
OG0002117	Em0011g19a	jg30219.t1, jg11313.t1, jg30218.t1
OG0002118	Em0018g308a	jg10777.t1
OG0002118	Em0018g164a	jg24232.t1
OG0002121	Em0011g231a	jg6319.t1, jg14689.t1
OG0002122	Em0021g374a, Em1242g1a	jg1970.t1
OG0002129	Em0010g384a, Em0001g3213a, Em0004g1191a	jg4809.t1, jg21959.t2
OG0002132	Em0019g153a	jg27952.t1
OG0002137	Em0016g1161a, Em0059g13a, Em0692g2a, Em0093g8a	jg9085.t1
OG0002140	Em0011g1184a	jg27425.t1
OG0002142	Em0014g52a	jg12272.t1
OG0002143	Em0011g388a	jg30230.t1, jg11323.t1
OG0002145	Em0011g868a, Em0011g848a	jg9499.t1, jg27036.t1, jg3744.t1, jg15963.t1
OG0002147	Em0003g1398a	jg11972.t1, jg26073.t1
OG0002148	Em1343g1a	jg1923.t1
OG0002149	Em0014g936a	jg20841.t1, jg20841.t2
OG0002150	Em0023g664a, Em0023g663a, Em0023g649a, Em0023g643a	jg20210.t1
OG0002151	Em0022g639a, Em0022g646a, Em0022g632a, Em0022g623a, Em0022g630a	jg29028.t1
OG0002154	Em0012g873a, Em0012g820a	jg2299.t1
OG0002159	Em0145g12a, Em0425g5a, Em0099g3a, Em0099g23a, Em0429g7a, Em0099g14a	jg4314.t1
OG0002164	Em0019g657a	jg10751.t1, jg22289.t1, jg21764.t1
OG0002166	Em0011g216a	jg14687.t1, jg30124.t1
OG0002168	Em0011g851a	jg6825.t1
OG0002169	Em0009g812a	jg30424.t1, jg6180.t1
OG0002170	Em0016g910a	jg19264.t1
OG0002171	Em0011g1026a	jg19156.t1, jg3518.t1
OG0002172	Em0003g617a	jg27323.t1, jg27334.t1, jg27325.t1, jg19461.t1
OG0002173	Em0022g243a	jg1067.t1, jg24111.t1
OG0002176	Em0013g104a	jg2645.t1
OG0002178	Em0005g1593a, Em0005g1588a, Em0005g1592a	jg21339.t1, jg20228.t1
OG0002180	Em0017g89a	jg11150.t1
OG0002181	Em0047g34a, Em0047g32a, Em0047g16a, Em0047g39a	jg25622.t1
OG0002182	Em0016g363a	jg16717.t1, jg20925.t1
OG0002184	Em0022g294a	jg24497.t1, jg15498.t1, jg2991.t1
OG0002189	Em0008g503a, Em0009g866a, Em0024g197a, Em0021g12a	jg25364.t1, jg27846.t1, jg7482.t1, jg2187.t1
OG0002190	Em0311g1a, Em0021g526a	jg8481.t1, jg8481.t2
OG0002191	Em0009g1026a	jg6210.t1
OG0002191	Em0009g1046a, Em0096g5a	jg6211.t1
OG0002194	Em0018g1051a	jg2043.t1, jg2048.t1, jg2041.t1, jg2045.t1, jg18662.t1
OG0002196	Em0661g6a	jg6492.t1
OG0002196	Em0007g584a	jg3967.t1, jg21568.t1
OG0002198	Em0021g428a, Em0081g10a	jg28219.t1
OG0002200	Em0003g1488a	jg28920.t1, jg16310.t1, jg2928.t1, jg28922.t1, jg2930.t1
OG0002201	Em0016g284a	jg8974.t1
OG0002202	Em0024g178a, Em1073g1a, Em0024g176a	jg17221.t1, jg1172.t1, jg1175.t1, jg26514.t1
OG0002203	Em0017g633a, Em0024g286a, Em0017g680a	jg24196.t1
OG0002204	Em0016g276a	jg19903.t1, jg19902.t1
OG0002206	Em0020g198a	jg23326.t1, jg25102.t1, jg27248.t1, jg25103.t1, jg25101.t1, jg29678.t1
OG0002207	Em0008g816a, Em0008g817a	jg25983.t1
OG0002209	Em0016g474a	jg21118.t1, jg22025.t1, jg21952.t1
OG0002213	Em0003g1359a	jg11969.t1, jg26072.t1, jg11971.t1, jg26070.t1
OG0002214	Em0017g813a, Em0009g218a, Em0012g154a	jg14050.t1, jg26132.t1, jg5444.t1, jg14047.t1, jg28706.t1
OG0002215	Em0022g399a	jg3082.t1, jg25536.t1
OG0002216	Em0005g238a, Em0022g85a	jg6315.t1, jg11439.t1, jg18199.t1
OG0002217	Em0021g921a	jg3639.t1, jg11365.t1, jg18275.t1
OG0002218	Em0012g535a, Em0012g556a, Em0012g534a, Em0012g555a	jg8389.t2, jg8389.t1
OG0002219	Em0003g1690a, Em0863g1a	jg30048.t1, jg9260.t1, jg23858.t1
OG0002221	Em0018g1135a, Em0018g1096a	jg4952.t1, jg4963.t1, jg4970.t1, jg4972.t1, jg4975.t1, jg4979.t1
OG0002222	Em0008g30a	jg22517.t1, jg22523.t1, jg22523.t2, jg1753.t2, jg1753.t1
OG0002224	Em0964g1a, Em0004g50a, Em0202g14a, Em0202g3a, Em0202g9a	jg6919.t1
OG0002225	Em0001g2486a, Em0001g2506a, Em0001g2516a, Em0007g770a	jg19143.t1
OG0002226	Em0017g224a	jg11024.t1
