Orthogroup	Ephydatia_Emu_v1_prots	Human_UP000005640_9606
OG0002702	Em0007g591a	sp|Q9UNS1|TIM_HUMAN
OG0002703	Em0008g911a	sp|Q9BUP0|EFHD1_HUMAN, sp|Q96C19|EFHD2_HUMAN
OG0002706	Em0637g8a, Em0013g36a, Em0013g40a	sp|P78316|NOP14_HUMAN
OG0002708	Em0003g434a, Em0003g431a	sp|O00443|P3C2A_HUMAN, sp|O00750|P3C2B_HUMAN, sp|O75747|P3C2G_HUMAN
OG0002709	Em0018g167a	sp|Q6P2E9|EDC4_HUMAN
OG0002710	Em0016g31a	sp|Q92845|KIFA3_HUMAN
OG0002711	Em0016g279a	sp|Q13838|DX39B_HUMAN, sp|O00148|DX39A_HUMAN
OG0002714	Em0026g37a	sp|Q9BVM4|GGACT_HUMAN
OG0002715	Em0023g323a	sp|Q9UQN3|CHM2B_HUMAN
OG0002719	Em0018g1095a, Em0018g1136a	sp|Q9BQ70|TCF25_HUMAN
OG0002720	Em0010g721a	sp|Q6PIY5|ARMD1_HUMAN
OG0002723	Em0013g844a, Em0023g208a, Em0023g207a, Em0151g7a	sp|Q9BXT4|TDRD1_HUMAN
OG0002725	Em0023g126a	sp|Q9UHY1|NRBP_HUMAN, sp|Q9NSY0|NRBP2_HUMAN
OG0002737	Em0531g3a, Em0016g1116a, Em0016g1179a	sp|Q8WX92|NELFB_HUMAN
OG0002740	Em0001g964a, Em0001g998a, Em0001g943a	sp|Q9UL63|MKLN1_HUMAN
OG0002741	Em0006g1226a, Em0006g1235a	sp|O96008|TOM40_HUMAN, sp|Q969M1|TM40L_HUMAN
OG0002742	Em0011g1185a	sp|Q9Y548|YIPF1_HUMAN, sp|Q9BWQ6|YIPF2_HUMAN
OG0002745	Em0179g14a, Em0179g6a, Em0023g45a	sp|P01106|MYC_HUMAN
OG0002746	Em0023g78a	sp|Q6PL18|ATAD2_HUMAN, sp|Q9ULI0|ATD2B_HUMAN
OG0002748	Em0011g521a	sp|Q63ZY3|KANK2_HUMAN, sp|Q6NY19|KANK3_HUMAN, sp|Q5T7N3|KANK4_HUMAN
OG0002750	Em0631g1a, Em0018g505a, Em0440g1a	sp|Q96NW4|ANR27_HUMAN
OG0002755	Em0011g215a	sp|Q8WXA9|SREK1_HUMAN
OG0002757	Em0001g1059a, Em0001g1051a	sp|Q13217|DNJC3_HUMAN
OG0002759	Em0020g88a	sp|O60645|EXOC3_HUMAN, sp|Q86VI1|EX3L1_HUMAN, sp|Q17RC7|EX3L4_HUMAN, sp|Q03169|TNAP2_HUMAN, sp|Q2M3D2|EX3L2_HUMAN
OG0002760	Em0013g813a	sp|O75607|NPM3_HUMAN, sp|P06748|NPM_HUMAN, sp|Q86SE8|NPM2_HUMAN
OG0002762	Em0171g1a, Em0007g267a	sp|Q96DN6|MBD6_HUMAN, sp|Q9P267|MBD5_HUMAN
OG0002766	Em0001g1791a	sp|Q6IC98|GRAM4_HUMAN
OG0002768	Em0018g1108a	sp|O14662|STX16_HUMAN
OG0002770	Em0022g287a, Em0022g286a	sp|Q92870|APBB2_HUMAN, sp|O00213|APBB1_HUMAN, sp|O95704|APBB3_HUMAN
OG0002773	Em0002g293a, Em0014g749a, Em0014g751a	sp|Q9UH65|SWP70_HUMAN, sp|Q9H4E7|DEFI6_HUMAN
OG0002774	Em0582g1a, Em0016g939a, Em0582g3a	sp|Q6HA08|ASTL_HUMAN
OG0002775	Em0023g819a	sp|Q5TB80|CE162_HUMAN
OG0002782	Em0637g4a, Em1078g4a, Em0637g5a, Em0013g33a	sp|Q8IYW2|CFA46_HUMAN
OG0002785	Em0005g75a	sp|Q8IY95|TM192_HUMAN
OG0002787	Em0011g588a, Em1145g1a, Em0011g539a	sp|Q5TBK1|N42L1_HUMAN, sp|Q86UW6|N4BP2_HUMAN, sp|Q92802|N42L2_HUMAN
OG0002795	Em0021g878a	sp|Q9NXX6|NSE4A_HUMAN, sp|Q8N140|EID3_HUMAN
OG0002799	Em0023g837a, Em0023g835a, Em0023g830a	sp|P42356|PI4KA_HUMAN
OG0002804	Em0016g622a, Em0077g11a, Em0831g3a	sp|Q9BQI0|AIF1L_HUMAN, sp|P55008|AIF1_HUMAN
OG0002805	Em0016g265a	sp|Q05193|DYN1_HUMAN, sp|Q9UQ16|DYN3_HUMAN, sp|P50570|DYN2_HUMAN
OG0002808	Em0018g835a, Em0018g814a	sp|Q9UEE9|CFDP1_HUMAN
OG0002812	Em0015g467a, Em0015g471a	sp|P20823|HNF1A_HUMAN, sp|P35680|HNF1B_HUMAN
OG0002816	Em0023g470a	sp|P58004|SESN2_HUMAN, sp|Q9Y6P5|SESN1_HUMAN, sp|P58005|SESN3_HUMAN
OG0002817	Em0009g44a	sp|P98077|SHC2_HUMAN, sp|P29353|SHC1_HUMAN, sp|Q92529|SHC3_HUMAN, sp|Q6S5L8|SHC4_HUMAN
OG0002818	Em0011g1164a, Em0011g1162a	sp|P55809|SCOT1_HUMAN, sp|Q9BYC2|SCOT2_HUMAN
OG0002821	Em0020g697a	sp|P28289|TMOD1_HUMAN, sp|Q9NZQ9|TMOD4_HUMAN, sp|Q9NYL9|TMOD3_HUMAN, sp|Q9NZR1|TMOD2_HUMAN
OG0002828	Em0003g1357a, Em0008g95a, Em0008g94a	sp|P19338|NUCL_HUMAN
OG0002829	Em0008g333a, Em0008g286a, Em0008g282a	sp|P42336|PK3CA_HUMAN, sp|P42338|PK3CB_HUMAN
OG0002832	Em0008g1057a	sp|Q969F9|HPS3_HUMAN
OG0002834	Em0001g1241a, Em0001g1154a	sp|Q99259|DCE1_HUMAN, sp|Q05329|DCE2_HUMAN, sp|Q6ZQY3|GADL1_HUMAN, sp|Q9Y600|CSAD_HUMAN
OG0002837	Em0011g823a	sp|Q9BRT8|CBWD1_HUMAN, sp|Q8IUF1|CBWD2_HUMAN, sp|Q5JTY5|CBWD3_HUMAN, sp|Q5RIA9|CBWD5_HUMAN, sp|Q4V339|CBWD6_HUMAN
OG0002839	Em0009g1231a	sp|Q8IY18|SMC5_HUMAN
OG0002840	Em0012g773a, Em0012g775a, Em0012g781a, Em0012g774a, Em0012g780a	sp|Q14596|NBR1_HUMAN
OG0002841	Em0003g1221a, Em0012g24a, Em0010g765a	sp|O75197|LRP5_HUMAN, sp|O75581|LRP6_HUMAN, sp|O75096|LRP4_HUMAN
OG0002845	Em0023g389a, Em0023g399a	sp|Q15233|NONO_HUMAN, sp|Q8WXF1|PSPC1_HUMAN, sp|P23246|SFPQ_HUMAN
OG0002847	Em0015g1053a	sp|Q6IN84|MRM1_HUMAN
OG0002848	Em0014g28a	sp|P19484|TFEB_HUMAN, sp|O14948|TFEC_HUMAN, sp|P19532|TFE3_HUMAN, sp|O75030|MITF_HUMAN
OG0002849	Em0023g472a	sp|Q5VVH5|IKBP1_HUMAN
OG0002850	Em0033g21a, Em0033g14a, Em0033g11a, Em0033g23a	sp|Q16531|DDB1_HUMAN
OG0002852	Em0018g1185a, Em0018g1184a	sp|Q2LD37|K1109_HUMAN
OG0002853	Em0018g930a, Em0018g931a, Em0011g758a	sp|P27918|PROP_HUMAN, sp|P35442|TSP2_HUMAN, sp|P07996|TSP1_HUMAN
OG0002856	Em0009g591a	sp|O14795|UN13B_HUMAN, sp|Q9UPW8|UN13A_HUMAN, sp|Q8NB66|UN13C_HUMAN
OG0002857	Em0021g811a, Em0996g2a, Em0020g187a	sp|A0A1B0GU71|C97D2_HUMAN
OG0002860	Em0023g62a	sp|Q8N755|S66A3_HUMAN
OG0002862	Em0544g1a, Em0016g339a, Em0016g346a, Em0016g319a, Em0544g2a	sp|Q96JI7|SPTCS_HUMAN
OG0002866	Em0016g308a, Em0016g322a	sp|P31942|HNRH3_HUMAN, sp|P31943|HNRH1_HUMAN, sp|P55795|HNRH2_HUMAN, sp|P52597|HNRPF_HUMAN
OG0002867	Em0015g1221a, Em0015g1244a	sp|Q15019|SEPT2_HUMAN, sp|Q99719|SEPT5_HUMAN
OG0002868	Em0003g736a, Em0003g742a	sp|O95373|IPO7_HUMAN, sp|O15397|IPO8_HUMAN
OG0002870	Em0003g718a, Em0003g711a, Em0003g713a, Em0003g720a	sp|P38935|SMBP2_HUMAN
OG0002871	Em0003g293a, Em0003g310a, Em0003g314a, Em0003g315a	sp|Q9GZR5|ELOV4_HUMAN
OG0002872	Em0007g1471a	sp|Q07820|MCL1_HUMAN, sp|Q07812|BAX_HUMAN
OG0002875	Em0008g1270a	sp|Q8TBF2|PXL2B_HUMAN
OG0002877	Em0011g1194a	sp|Q07343|PDE4B_HUMAN, sp|Q08493|PDE4C_HUMAN, sp|Q08499|PDE4D_HUMAN, sp|P27815|PDE4A_HUMAN
OG0002880	Em0011g1158a	sp|P10586|PTPRF_HUMAN, sp|Q13332|PTPRS_HUMAN, sp|P23468|PTPRD_HUMAN, sp|P42701|I12R1_HUMAN
OG0002885	Em0012g704a, Em0009g947a, Em0009g941a	sp|Q9BZV2|S19A3_HUMAN, sp|O60779|S19A2_HUMAN, sp|Q53S99|CB083_HUMAN
OG0002886	Em0015g1016a	sp|P24863|CCNC_HUMAN
OG0002887	Em0022g274a	sp|P57682|KLF3_HUMAN, sp|Q99612|KLF6_HUMAN, sp|O75840|KLF7_HUMAN
OG0002888	Em0023g73a	sp|A6NFX1|MFS2B_HUMAN, sp|Q8NA29|NLS1_HUMAN
OG0002891	Em0011g264a, Em0011g279a	sp|Q9UBD6|RHCG_HUMAN, sp|Q9H310|RHBG_HUMAN, sp|Q02094|RHAG_HUMAN
OG0002893	Em0002g271a	sp|O95803|NDST3_HUMAN, sp|Q9H3R1|NDST4_HUMAN, sp|P52849|NDST2_HUMAN, sp|P52848|NDST1_HUMAN
OG0002894	Em0011g237a, Em0544g3a, Em0016g345a, Em0016g338a, Em0016g318a	sp|O95260|ATE1_HUMAN
OG0002895	Em0022g439a	sp|P55854|SUMO3_HUMAN, sp|Q6EEV6|SUMO4_HUMAN, sp|P61956|SUMO2_HUMAN
OG0002896	Em0019g1049a	sp|Q68CQ4|UTP25_HUMAN
OG0002897	Em0011g726a	sp|Q6P1X5|TAF2_HUMAN
OG0002899	Em0021g371a, Em0021g369a	sp|Q13049|TRI32_HUMAN, sp|P0CG21|NHLC4_HUMAN
OG0002901	Em0012g995a	sp|Q92615|LAR4B_HUMAN, sp|Q71RC2|LARP4_HUMAN
OG0002905	Em0005g544a, Em0005g541a, Em0001g495a, Em0001g486a, Em0020g57a	sp|P10253|LYAG_HUMAN
OG0002906	Em0438g3a, Em0005g1673a, Em0617g1a	sp|O75365|TP4A3_HUMAN, sp|Q12974|TP4A2_HUMAN, sp|Q93096|TP4A1_HUMAN
OG0002907	Em0021g259a	sp|Q92621|NU205_HUMAN
OG0002908	Em0002g766a, Em0002g676a	sp|Q96SL1|DIRC2_HUMAN
OG0002909	Em0011g1063a	sp|Q8N1G1|REXO1_HUMAN, sp|Q8IX06|GOR_HUMAN, sp|P0C843|CI014_HUMAN
OG0002911	Em0021g392a, Em0036g18a, Em0021g231a	sp|Q9UNW1|MINP1_HUMAN
OG0002912	Em0019g233a, Em0019g236a, Em0019g235a, Em0019g234a	sp|P61916|NPC2_HUMAN
OG0002913	Em0021g230a, Em0021g229a	sp|Q5THR3|EFCB6_HUMAN, sp|Q5T440|CAF17_HUMAN
OG0002915	Em0016g426a, Em0016g452a	sp|Q92945|FUBP2_HUMAN, sp|Q96AE4|FUBP1_HUMAN, sp|Q96I24|FUBP3_HUMAN
OG0002917	Em0006g1134a, Em0758g3a, Em0006g1139a, Em0006g1130a	sp|Q6ZRR5|TLCD5_HUMAN
OG0002919	Em0011g362a, Em0173g1a	sp|O14976|GAK_HUMAN, sp|O75061|AUXI_HUMAN
OG0002920	Em0016g257a, Em0162g10a	sp|A5D8V7|ODAD3_HUMAN
OG0002922	Em0023g194a	sp|Q9NUH8|TM14B_HUMAN, sp|A8MWL7|TM14D_HUMAN, sp|Q9P0S9|TM14C_HUMAN, sp|Q6UXP3|TM14E_HUMAN, sp|Q9Y6G1|TM14A_HUMAN
OG0002925	Em0019g1028a	sp|Q7Z5J1|DHI1L_HUMAN, sp|P28845|DHI1_HUMAN
OG0002927	Em0013g59a, Em0013g53a, Em0013g46a, Em0013g45a	sp|Q6UXD7|S49A3_HUMAN
OG0002928	Em0006g675a, Em0006g698a, Em0006g664a, Em0006g716a	sp|Q6PFW1|VIP1_HUMAN, sp|O43314|VIP2_HUMAN
OG0002929	Em0023g96a, Em0023g94a	sp|Q15560|TCEA2_HUMAN, sp|P23193|TCEA1_HUMAN
OG0002931	Em0016g635a	sp|Q9Y3C6|PPIL1_HUMAN
OG0002932	Em0023g69a	sp|Q9Y6E2|BZW2_HUMAN, sp|Q7L1Q6|BZW1_HUMAN
OG0002933	Em0016g303a, Em0016g305a, Em0016g304a	sp|Q53GD3|CTL4_HUMAN, sp|Q8IWA5|CTL2_HUMAN, sp|Q8NCS7|CTL5_HUMAN
OG0002934	Em0008g1083a, Em0008g967a	sp|P10914|IRF1_HUMAN, sp|P14316|IRF2_HUMAN
OG0002935	Em0008g367a, Em0008g368a, Em0008g369a	sp|Q02978|M2OM_HUMAN
OG0002937	Em0211g1a, Em0211g2a, Em0017g574a	sp|Q7Z494|NPHP3_HUMAN
OG0002940	Em0001g1025a	sp|P78332|RBM6_HUMAN, sp|P98175|RBM10_HUMAN, sp|P52756|RBM5_HUMAN
OG0002944	Em0009g1275a	sp|Q9UJZ1|STML2_HUMAN
OG0002945	Em0014g834a	sp|P31751|AKT2_HUMAN, sp|P31749|AKT1_HUMAN, sp|Q9Y243|AKT3_HUMAN
OG0002947	Em0023g714a, Em0023g721a	sp|Q8N2I9|STK40_HUMAN
OG0002948	Em0006g1040a, Em0006g1034a	sp|Q96QE2|MYCT_HUMAN
OG0002949	Em0019g551a, Em0020g633a, Em0019g539a	sp|Q9NUB1|ACS2L_HUMAN
OG0002951	Em0022g796a, Em0608g3a, Em0024g355a	sp|P56192|SYMC_HUMAN
OG0002952	Em0005g133a, Em0005g146a, Em0005g177a	sp|Q9H9R9|DBND1_HUMAN, sp|Q96EV8|DTBP1_HUMAN, sp|Q9BQY9|DBND2_HUMAN
OG0002953	Em0028g16a, Em0028g4a	sp|Q96DZ1|ERLEC_HUMAN
OG0002955	Em0006g1430a	sp|A0A1W2PRP0|FOXL3_HUMAN, sp|O15353|FOXN1_HUMAN, sp|Q96NZ1|FOXN4_HUMAN
OG0002956	Em0145g10a, Em0429g9a, Em0099g16a	sp|P26038|MOES_HUMAN, sp|P15311|EZRI_HUMAN, sp|P35241|RADI_HUMAN
OG0002957	Em0004g909a, Em0004g905a	sp|Q4G0A6|MINY4_HUMAN
OG0002958	Em0023g937a	sp|P52292|IMA1_HUMAN
OG0002958	Em0021g982a	sp|O00629|IMA3_HUMAN, sp|O00505|IMA4_HUMAN
OG0002959	Em0023g666a, Em0023g642a	sp|Q07075|AMPE_HUMAN, sp|P15144|AMPN_HUMAN
OG0002960	Em0017g153a, Em0017g154a, Em1385g1a, Em0017g152a	sp|Q9H3Z4|DNJC5_HUMAN, sp|Q9UF47|DNJ5B_HUMAN
OG0002961	Em0023g652a	sp|Q8TEU7|RPGF6_HUMAN, sp|Q9Y4G8|RPGF2_HUMAN
OG0002963	Em0005g166a, Em0005g141a, Em0005g172a, Em0005g129a	sp|O95251|KAT7_HUMAN
OG0002964	Em0006g871a	sp|Q9NXL6|SIDT1_HUMAN, sp|Q8NBJ9|SIDT2_HUMAN
OG0002966	Em0028g28a, Em0028g20a	sp|Q8NBN3|TM87A_HUMAN, sp|Q96K49|TM87B_HUMAN
OG0002967	Em0011g325a	sp|O60307|MAST3_HUMAN, sp|O15021|MAST4_HUMAN, sp|Q9Y2H9|MAST1_HUMAN, sp|Q6P0Q8|MAST2_HUMAN
OG0002968	Em0019g1091a, Em0019g1056a	sp|O95070|YIF1A_HUMAN, sp|Q5BJH7|YIF1B_HUMAN
OG0002969	Em0015g1045a	sp|Q9Y2R4|DDX52_HUMAN
OG0002970	Em0018g48a, Em0018g59a	sp|Q8TCX5|RHPN1_HUMAN, sp|A8MT19|RHN2P_HUMAN, sp|Q8IUC4|RHPN2_HUMAN
OG0002971	Em0793g2a, Em0018g302a	sp|Q9UK73|FEM1B_HUMAN, sp|Q96JP0|FEM1C_HUMAN, sp|Q9BSK4|FEM1A_HUMAN
OG0002973	Em0017g294a, Em0017g298a, Em0023g178a	sp|Q9NRY4|RHG35_HUMAN, sp|Q13017|RHG05_HUMAN
OG0002974	Em0001g1084a, Em0001g1094a	sp|Q3KNT7|NSN5B_HUMAN, sp|Q63ZY6|NSN5C_HUMAN, sp|Q96P11|NSUN5_HUMAN
OG0002975	Em0010g1004a, Em0010g1046a	sp|P59797|SELV_HUMAN, sp|P63302|SELW_HUMAN
OG0002976	Em0011g422a, Em0018g127a, Em0018g128a, Em0012g444a	sp|P13686|PPA5_HUMAN
OG0002977	Em0003g1565a, Em0018g1032a, Em0003g1561a, Em0456g3a, Em0003g1560a	sp|P41252|SYIC_HUMAN
OG0002978	Em0014g72a, Em0621g2a	sp|Q9Y3E2|BOLA1_HUMAN
OG0002979	Em0018g957a, Em0018g867a, Em0018g892a, Em0018g906a, Em0018g945a	sp|Q96I13|ABHD8_HUMAN
OG0002982	Em0014g119a, Em0014g129a, Em0014g125a	sp|Q2TAC2|CCD57_HUMAN
OG0002983	Em0005g1521a	sp|Q658K8|EF1DL_HUMAN
OG0002986	Em0020g818a	sp|O60287|NPA1P_HUMAN
OG0002987	Em0008g1063a	sp|Q9UK58|CCNL1_HUMAN, sp|Q96S94|CCNL2_HUMAN
OG0002988	Em0458g1a, Em0021g339a	sp|Q96K80|ZC3HA_HUMAN
OG0002991	Em0894g3a, Em0023g291a	sp|Q56NI9|ESCO2_HUMAN
OG0002992	Em0018g784a, Em0018g774a, Em0144g18a, Em0019g285a	sp|Q6ZNF0|ACP7_HUMAN
OG0002993	Em0013g992a, Em0013g998a, Em0013g993a, Em0013g997a	sp|Q7LBC6|KDM3B_HUMAN, sp|Q9Y4C1|KDM3A_HUMAN
OG0002994	Em0023g457a, Em0023g458a, Em0023g459a, Em0023g456a, Em0023g455a	sp|O75762|TRPA1_HUMAN
OG0002996	Em0016g541a	sp|P18850|ATF6A_HUMAN, sp|Q99941|ATF6B_HUMAN
OG0002996	Em0016g158a	sp|P56937|DHB7_HUMAN
OG0002998	Em0018g1149a	sp|O95985|TOP3B_HUMAN
OG0002999	Em1074g1a, Em0001g2704a	sp|Q96J92|WNK4_HUMAN, sp|Q9H4A3|WNK1_HUMAN, sp|Q9BYP7|WNK3_HUMAN, sp|Q9Y3S1|WNK2_HUMAN
OG0003000	Em0849g2a, Em0849g3a, Em0005g1347a	sp|Q49A92|CH034_HUMAN
OG0003001	Em0018g378a	sp|Q9Y666|S12A7_HUMAN, sp|Q9H2X9|S12A5_HUMAN, sp|Q9UP95|S12A4_HUMAN, sp|Q9UHW9|S12A6_HUMAN
OG0003002	Em0019g635a, Em0666g1a, Em0019g634a	sp|Q9P219|DAPLE_HUMAN, sp|Q3V6T2|GRDN_HUMAN
OG0003003	Em0010g1034a, Em0010g1013a	sp|O43633|CHM2A_HUMAN
OG0003004	Em0022g702a	sp|P54803|GALC_HUMAN
OG0003005	Em0009g64a, Em0009g62a, Em0009g63a, Em0009g65a	sp|Q9UKT4|FBX5_HUMAN, sp|Q4G163|FBX43_HUMAN
OG0003006	Em0018g219a, Em0018g224a, Em0018g223a	sp|Q9Y2L5|TPPC8_HUMAN
OG0003007	Em0019g1206a	sp|A8K0Z3|WASH1_HUMAN, sp|Q9NQA3|WASH6_HUMAN, sp|A8MWX3|WASH4_HUMAN, sp|Q6VEQ5|WASH2_HUMAN, sp|C4AMC7|WASH3_HUMAN
OG0003008	Em0009g1241a, Em0567g3a	sp|Q9BSE5|SPEB_HUMAN
OG0003009	Em0018g92a, Em0018g85a	sp|Q93100|KPBB_HUMAN
OG0003011	Em0020g211a, Em0020g224a	sp|Q8IUI4|S29P2_HUMAN, sp|Q8TEQ0|SNX29_HUMAN, sp|Q86U02|CN165_HUMAN, sp|Q8NDZ0|BEND2_HUMAN
OG0003012	Em0337g2a, Em0018g1196a, Em0018g1225a	sp|P16885|PLCG2_HUMAN, sp|P19174|PLCG1_HUMAN
OG0003013	Em0016g1032a, Em0016g1037a, Em0006g1429a	sp|Q6N075|MFSD5_HUMAN
OG0003014	Em0013g444a, Em0013g432a	sp|O75643|U520_HUMAN
OG0003015	Em0013g446a, Em0013g733a, Em0012g449a, Em0012g801a, Em0012g800a	sp|Q9HBL8|NMRL1_HUMAN
OG0003016	Em0015g655a, Em0015g167a, Em0015g165a, Em0015g160a	sp|Q6GPH4|XAF1_HUMAN
OG0003017	Em0005g1013a	sp|Q8IWW8|HOT_HUMAN
OG0003018	Em0023g804a, Em0023g808a, Em0023g809a	sp|P08922|ROS1_HUMAN
OG0003020	Em0023g553a	sp|Q6P2H3|CEP85_HUMAN, sp|Q5SZL2|CE85L_HUMAN
OG0003021	Em0001g1251a, Em0001g1171a, Em0293g1a	sp|Q92630|DYRK2_HUMAN
OG0003022	Em0013g702a, Em0016g948a, Em0009g1058a, Em0013g704a	sp|Q03014|HHEX_HUMAN
OG0003023	Em0012g1083a, Em0012g1087a, Em0006g1227a, Em0006g1236a	sp|Q96JY0|MAEL_HUMAN
OG0003024	Em0179g20a, Em0179g11a, Em0023g52a, Em0786g5a	sp|O14713|ITBP1_HUMAN
OG0003025	Em0019g271a, Em0402g4a, Em0019g262a	sp|Q15834|CC85B_HUMAN, sp|Q96PX6|CC85A_HUMAN, sp|A6NKD9|CC85C_HUMAN
OG0003027	Em0021g342a, Em0458g4a	sp|Q5VXI9|LIPN_HUMAN, sp|P38571|LICH_HUMAN, sp|Q5VXJ0|LIPK_HUMAN, sp|P07098|LIPG_HUMAN
OG0003028	Em0460g2a, Em0655g2a, Em1006g2a, Em0022g155a	sp|Q6ZWJ1|STXB4_HUMAN
OG0003030	Em0021g274a, Em0021g276a	sp|Q9NW13|RBM28_HUMAN
OG0003031	Em0021g833a	sp|Q96F10|SAT2_HUMAN, sp|Q86VE3|SATL1_HUMAN, sp|P21673|SAT1_HUMAN
OG0003034	Em0012g36a, Em0012g9a	sp|P37023|ACVL1_HUMAN, sp|Q04771|ACVR1_HUMAN
OG0003035	Em0013g159a	sp|Q9UQK1|PPR3C_HUMAN, sp|Q86XI6|PPR3B_HUMAN, sp|B7ZBB8|PP13G_HUMAN, sp|O95685|PPR3D_HUMAN, sp|Q9H7J1|PPR3E_HUMAN
OG0003036	Em0022g723a, Em0022g721a	sp|Q9P2N5|RBM27_HUMAN, sp|Q5T8P6|RBM26_HUMAN
OG0003037	Em0013g956a, Em0013g965a	sp|Q9HAT2|SIAE_HUMAN
OG0003038	Em0012g1093a, Em0021g520a	sp|P78363|ABCA4_HUMAN, sp|Q8IZY2|ABCA7_HUMAN, sp|O95477|ABCA1_HUMAN, sp|Q9BZC7|ABCA2_HUMAN
OG0003039	Em0013g121a	sp|Q13363|CTBP1_HUMAN, sp|P56545|CTBP2_HUMAN
OG0003040	Em0001g505a, Em0001g538a, Em0001g518a	sp|Q8IZD2|KMT2E_HUMAN, sp|Q9C0A6|SETD5_HUMAN
OG0003041	Em0013g124a, Em0735g4a	sp|Q9BQW3|COE4_HUMAN, sp|Q9UH73|COE1_HUMAN, sp|Q9H4W6|COE3_HUMAN, sp|Q9HAK2|COE2_HUMAN
OG0003042	Em0001g1909a, Em0001g1236a, Em0001g1145a, Em0001g1144a, Em0001g1235a	sp|Q99685|MGLL_HUMAN
OG0003043	Em0004g31a, Em0004g35a	sp|Q92551|IP6K1_HUMAN, sp|Q9UHH9|IP6K2_HUMAN, sp|Q96PC2|IP6K3_HUMAN
OG0003044	Em0001g2865a, Em0001g2872a, Em0001g2942a, Em0001g2925a	sp|Q9BQ15|SOSB1_HUMAN, sp|Q96AH0|SOSB2_HUMAN
OG0003045	Em0010g896a	sp|Q86TP1|PRUN1_HUMAN, sp|Q86WG3|ATCAY_HUMAN, sp|Q7Z465|BNIPL_HUMAN, sp|Q12982|BNIP2_HUMAN, sp|Q8WUY3|PRUN2_HUMAN
OG0003046	Em0011g52a, Em0005g1334a, Em0005g1339a, Em0401g2a, Em0017g935a	sp|Q9NTN3|S35D1_HUMAN
OG0003047	Em0004g1685a	sp|Q8NHS0|DNJB8_HUMAN, sp|Q7Z6W7|DNJB7_HUMAN, sp|O75190|DNJB6_HUMAN, sp|P25686|DNJB2_HUMAN, sp|Q8WWF6|DNJB3_HUMAN
OG0003048	Em0020g815a	sp|Q9NRA0|SPHK2_HUMAN, sp|Q9NYA1|SPHK1_HUMAN
OG0003049	Em0014g489a, Em0014g416a, Em0518g2a, Em0014g436a, Em0517g2a	sp|Q9Y6I9|TX264_HUMAN
OG0003050	Em0020g967a, Em0020g954a, Em0020g960a	sp|Q9NYH9|UTP6_HUMAN
OG0003051	Em0017g101a, Em0017g107a, Em0017g121a, Em0017g133a	sp|P42694|HELZ_HUMAN
OG0003052	Em0011g659a, Em0014g124a	sp|O14832|PAHX_HUMAN
OG0003053	Em0014g833a	sp|Q68DA7|FMN1_HUMAN, sp|Q9NZ56|FMN2_HUMAN
OG0003054	Em0002g42a	sp|Q9HCS4|TF7L1_HUMAN, sp|Q9NQB0|TF7L2_HUMAN, sp|Q9UJU2|LEF1_HUMAN, sp|P36402|TCF7_HUMAN
OG0003055	Em0009g1144a, Em0009g1138a	sp|Q9UI26|IPO11_HUMAN
OG0003056	Em0009g806a, Em0009g790a	sp|Q8TEQ8|PIGO_HUMAN
OG0003057	Em0001g1089a, Em0174g5a, Em0018g130a	sp|Q7M4L6|SHF_HUMAN, sp|Q5VZ18|SHE_HUMAN, sp|Q15464|SHB_HUMAN, sp|Q96IW2|SHD_HUMAN
OG0003058	Em0018g42a	sp|Q6PKH6|DR4L2_HUMAN, sp|Q9BTZ2|DHRS4_HUMAN, sp|P0CG22|DR4L1_HUMAN
OG0003059	Em0018g338a, Em0018g335a, Em1351g1a, Em0018g337a	sp|Q9NPI1|BRD7_HUMAN, sp|Q9H8M2|BRD9_HUMAN
OG0003060	Em0006g1239a, Em0006g1231a	sp|Q9H211|CDT1_HUMAN
OG0003064	Em0018g216a, Em0018g227a, Em0018g218a, Em0018g225a	sp|P59074|CHM4P_HUMAN, sp|Q9H444|CHM4B_HUMAN
OG0003066	Em0008g347a	sp|O14641|DVL2_HUMAN, sp|Q92997|DVL3_HUMAN, sp|O14640|DVL1_HUMAN, sp|P54792|DVLP1_HUMAN
OG0003135	Em0009g514a, Em0386g5a, Em0044g22a, Em0011g975a, Em0009g493a, Em0044g6a, Em0009g501a	sp|Q6TFL3|CC171_HUMAN
OG0003152	Em0021g141a	sp|Q8NF50|DOCK8_HUMAN, sp|Q96HP0|DOCK6_HUMAN
OG0003238	Em0023g610a, Em0023g611a	sp|Q8IVF5|TIAM2_HUMAN, sp|Q13009|TIAM1_HUMAN
OG0003240	Em0168g5a, Em0017g495a, Em0008g168a	sp|O95628|CNOT4_HUMAN
OG0003241	Em0016g275a	sp|Q5T1M5|FKB15_HUMAN
OG0003247	Em0023g605a	sp|Q9NVP1|DDX18_HUMAN
OG0003248	Em0015g958a, Em0015g955a	sp|Q9NWS0|PIHD1_HUMAN
OG0003251	Em0014g809a, Em0014g792a	sp|Q5TEU4|NDUF5_HUMAN
OG0003252	Em0011g417a	sp|P54725|RD23A_HUMAN, sp|P54727|RD23B_HUMAN
OG0003254	Em0023g533a	sp|Q9Y385|UB2J1_HUMAN
OG0003260	Em0016g660a	sp|O95876|FRITZ_HUMAN
OG0003262	Em0151g4a, Em0023g204a	sp|Q7Z4L9|PPR42_HUMAN
