HOG	OG	Gene Tree Parent Clade	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
N2.HOG0007918	OG0007552	n0	tr|A0A1X7VQ36|A0A1X7VQ36_AMPQE			jg2555.t1
N2.HOG0007919	OG0007553	n0	tr|A0A1X7VQA7|A0A1X7VQA7_AMPQE			jg15846.t1
N2.HOG0007920	OG0007554	n0	tr|A0A1X7VQD0|A0A1X7VQD0_AMPQE			jg18913.t1
N2.HOG0007921	OG0007555	n0	tr|A0A1X7VQD3|A0A1X7VQD3_AMPQE			jg8480.t1
N2.HOG0007922	OG0007556	n0	tr|A0A1X7VQD9|A0A1X7VQD9_AMPQE			jg681.t1, jg7012.t1
N2.HOG0007923	OG0007557	n0	tr|A0A1X7VQE2|A0A1X7VQE2_AMPQE			jg15869.t1
N2.HOG0007924	OG0007558	n0	tr|A0A1X7VQE4|A0A1X7VQE4_AMPQE			jg19418.t1
N2.HOG0007925	OG0007559	n0	tr|A0A1X7VQF5|A0A1X7VQF5_AMPQE			jg8404.t1
N2.HOG0007926	OG0007560	n0	tr|A0A1X7VQH6|A0A1X7VQH6_AMPQE			jg7049.t1
N2.HOG0007927	OG0007561	n0	tr|A0A1X7VQI0|A0A1X7VQI0_AMPQE			jg3724.t2, jg3724.t1
N2.HOG0007928	OG0007562	n0	tr|A0A1X7VQI9|A0A1X7VQI9_AMPQE			jg8332.t1
N2.HOG0007929	OG0007563	n0	tr|A0A1X7VQJ1|A0A1X7VQJ1_AMPQE			jg18938.t1
N2.HOG0007930	OG0007564	n0	tr|A0A1X7VQK9|A0A1X7VQK9_AMPQE			jg20510.t1, jg7890.t1
N2.HOG0007931	OG0007565	n0	tr|A0A1X7VQM0|A0A1X7VQM0_AMPQE			jg6895.t1
N2.HOG0007932	OG0007566	n0	tr|A0A1X7VQM1|A0A1X7VQM1_AMPQE			jg7073.t1, jg7073.t2
N2.HOG0007933	OG0007567	n0	tr|A0A1X7VQM4|A0A1X7VQM4_AMPQE			jg28394.t1, jg18830.t1
N2.HOG0007934	OG0007568	n0	tr|A0A1X7VQN9|A0A1X7VQN9_AMPQE			jg3720.t1, jg3720.t2
N2.HOG0007935	OG0007569	n0	tr|A0A1X7VQP6|A0A1X7VQP6_AMPQE			jg15807.t1
N2.HOG0007936	OG0007570	n0	tr|A0A1X7VQQ1|A0A1X7VQQ1_AMPQE			jg15803.t2, jg15803.t1
N2.HOG0007937	OG0007571	n0	tr|A0A1X7VQQ3|A0A1X7VQQ3_AMPQE			jg6915.t1
N2.HOG0007938	OG0007572	n0	tr|A0A1X7VQQ5|A0A1X7VQQ5_AMPQE			jg15800.t2, jg15800.t1
N2.HOG0007939	OG0007573	n0	tr|A0A1X7VV37|A0A1X7VV37_AMPQE, tr|A0A1X7VQR3|A0A1X7VQR3_AMPQE			jg7260.t1
N2.HOG0007940	OG0007574	n0	tr|A0A1X7VQR9|A0A1X7VQR9_AMPQE			jg15787.t1
N2.HOG0007941	OG0007575	n0	tr|A0A1X7VQS5|A0A1X7VQS5_AMPQE			jg12195.t1
N2.HOG0007942	OG0007576	n0	tr|A0A1X7VQS6|A0A1X7VQS6_AMPQE			jg6894.t1
N2.HOG0007943	OG0007577	n0	tr|A0A1X7VQV5|A0A1X7VQV5_AMPQE			jg8110.t1
N2.HOG0007944	OG0007578	n0	tr|A0A1X7VQW6|A0A1X7VQW6_AMPQE			jg15802.t1
N2.HOG0007945	OG0007579	n0	tr|A0A1X7VQX1|A0A1X7VQX1_AMPQE			jg15799.t1
N2.HOG0007946	OG0007580	n0	tr|A0A1X7VQX3|A0A1X7VQX3_AMPQE			jg15873.t1
N2.HOG0007947	OG0007581	n0	tr|A0A1X7VQX8|A0A1X7VQX8_AMPQE			jg15880.t1
N2.HOG0007948	OG0007582	n0	tr|A0A1X7VQX9|A0A1X7VQX9_AMPQE			jg18981.t1
N2.HOG0007949	OG0007583	n0	tr|A0A1X7VQY0|A0A1X7VQY0_AMPQE			jg15791.t1
N2.HOG0007950	OG0007584	n0	tr|A0A1X7VQY5|A0A1X7VQY5_AMPQE			jg12149.t1, jg12150.t1, jg12151.t1
N2.HOG0007951	OG0007585	n0	tr|A0A1X7VQZ5|A0A1X7VQZ5_AMPQE			jg12201.t1
N2.HOG0007952	OG0007586	n0	tr|A0A1X7VQZ9|A0A1X7VQZ9_AMPQE			jg19108.t1
N2.HOG0007953	OG0007587	n0	tr|A0A1X7VR10|A0A1X7VR10_AMPQE			jg15854.t1
N2.HOG0007954	OG0007588	n0	tr|A0A1X7VR18|A0A1X7VR18_AMPQE, tr|A0A1X7VVI1|A0A1X7VVI1_AMPQE			jg481.t1, jg2075.t1, jg27608.t1
N2.HOG0007955	OG0007589	n0	tr|A0A1X7VR29|A0A1X7VR29_AMPQE			jg19067.t1
N2.HOG0007956	OG0007590	n0	tr|A0A1X7VR37|A0A1X7VR37_AMPQE			jg12305.t1
N2.HOG0007957	OG0007591	n0	tr|A0A1X7VR54|A0A1X7VR54_AMPQE			jg2502.t1, jg2503.t1
N2.HOG0007958	OG0007592	n0	tr|A0A1X7VR55|A0A1X7VR55_AMPQE			jg24037.t1, jg7337.t1, jg23980.t1, jg20906.t1
N2.HOG0007959	OG0007593	n0	tr|A0A1X7VR70|A0A1X7VR70_AMPQE			jg18914.t1
N2.HOG0007960	OG0007594	n0	tr|A0A1X7VRA4|A0A1X7VRA4_AMPQE			jg18922.t1
N2.HOG0007961	OG0007595	n0	tr|A0A1X7VRD1|A0A1X7VRD1_AMPQE			jg20520.t1, jg7897.t1
N2.HOG0007962	OG0007596	n0	tr|A0A1X7VRE8|A0A1X7VRE8_AMPQE			jg2592.t1
N2.HOG0007963	OG0007597	n0	tr|A0A1X7VRE9|A0A1X7VRE9_AMPQE			jg18826.t1
N2.HOG0007964	OG0007598	n0	tr|A0A1X7VRF4|A0A1X7VRF4_AMPQE			jg18831.t1
N2.HOG0007965	OG0007599	n0	tr|A0A1X7VRG1|A0A1X7VRG1_AMPQE			jg24155.t1, jg26872.t1, jg26873.t1, jg2607.t1
N2.HOG0007966	OG0007600	n0	tr|A0A1X7VRG6|A0A1X7VRG6_AMPQE			jg18840.t1, jg1106.t1
N2.HOG0007967	OG0007601	n0	tr|A0A1X7VRI0|A0A1X7VRI0_AMPQE			jg24123.t1, jg30268.t1
N2.HOG0007968	OG0007602	n0	tr|A0A1X7VRK2|A0A1X7VRK2_AMPQE			jg18951.t1
N2.HOG0007969	OG0007603	n1	tr|A0A1X7VRT3|A0A1X7VRT3_AMPQE			jg18858.t1, jg18857.t1
N2.HOG0007970	OG0007603	n3	tr|A0A1X7VRM0|A0A1X7VRM0_AMPQE			jg18856.t1
N2.HOG0007971	OG0007604	n0	tr|A0A1X7VRN2|A0A1X7VRN2_AMPQE			jg7054.t1
N2.HOG0007972	OG0007605	n0	tr|A0A1X7VRN9|A0A1X7VRN9_AMPQE			jg12163.t1, jg15533.t1
N2.HOG0007973	OG0007606	n0	tr|A0A1X7VRP5|A0A1X7VRP5_AMPQE			jg7063.t1
N2.HOG0007974	OG0007607	n0	tr|A0A1X7VRQ5|A0A1X7VRQ5_AMPQE			jg7047.t1
N2.HOG0007975	OG0007608	n0	tr|A0A1X7VRR2|A0A1X7VRR2_AMPQE			jg6832.t1
N2.HOG0007976	OG0007609	n0	tr|A0A1X7VRR8|A0A1X7VRR8_AMPQE			jg22182.t1, jg21327.t1
N2.HOG0007977	OG0007610	n0	tr|A0A1X7VRS3|A0A1X7VRS3_AMPQE			jg18916.t1
N2.HOG0007978	OG0007611	n0	tr|A0A1X7VRS8|A0A1X7VRS8_AMPQE			jg18908.t1
N2.HOG0007979	OG0007612	n0	tr|A0A1X7VRT9|A0A1X7VRT9_AMPQE			jg19065.t1
N2.HOG0007980	OG0007613	n0	tr|A0A1X7VRV0|A0A1X7VRV0_AMPQE			jg12591.t1, jg18920.t1
N2.HOG0007981	OG0007614	n0	tr|A0A1X7VRX1|A0A1X7VRX1_AMPQE			jg18934.t3, jg18934.t1, jg18934.t2
N2.HOG0007982	OG0007615	n0	tr|A0A1X7VRX4|A0A1X7VRX4_AMPQE			jg18912.t1
N2.HOG0007983	OG0007616	n0	tr|A0A1X7VRZ8|A0A1X7VRZ8_AMPQE			jg6891.t1, jg6890.t1
N2.HOG0007984	OG0007617	n0	tr|A0A1X7VS03|A0A1X7VS03_AMPQE			jg6885.t2, jg6885.t1
N2.HOG0007985	OG0007618	n0	tr|A0A1X7VS05|A0A1X7VS05_AMPQE			jg18889.t1
N2.HOG0007986	OG0007619	n0	tr|A0A1X7VS19|A0A1X7VS19_AMPQE			jg18844.t1, jg18844.t2
N2.HOG0007987	OG0007620	n0	tr|A0A1X7VS32|A0A1X7VS32_AMPQE			jg15804.t1
N2.HOG0007988	OG0007621	n0	tr|A0A1X7VS39|A0A1X7VS39_AMPQE			jg20522.t1, jg7899.t1
N2.HOG0007989	OG0007622	n0	tr|A0A1X7VS42|A0A1X7VS42_AMPQE			jg17331.t1, jg9573.t1, jg7752.t1
N2.HOG0007990	OG0007623	n0	tr|A0A1X7VTF3|A0A1X7VTF3_AMPQE, tr|A0A1X7VS46|A0A1X7VS46_AMPQE			jg18941.t1
N2.HOG0007991	OG0007624	n0	tr|A0A1X7VTS5|A0A1X7VTS5_AMPQE, tr|A0A1X7VSA8|A0A1X7VSA8_AMPQE			jg29473.t1, jg29471.t1, jg29472.t1
N2.HOG0007992	OG0007625	n0	tr|A0A1X7VSB0|A0A1X7VSB0_AMPQE			jg15871.t1, jg15870.t1, jg15872.t1
N2.HOG0007993	OG0007626	n0	tr|A0A1X7VSB7|A0A1X7VSB7_AMPQE			jg4431.t1, jg25003.t1, jg5376.t1, jg11537.t1
N2.HOG0007994	OG0007627	n0	tr|A0A1X7VSC0|A0A1X7VSC0_AMPQE			jg18949.t1
N2.HOG0007995	OG0007628	n0	tr|A0A1X7VSE7|A0A1X7VSE7_AMPQE			jg29561.t1
N2.HOG0007996	OG0007629	n0	tr|A0A1X7VSF1|A0A1X7VSF1_AMPQE			jg14278.t1, jg6522.t1, jg22218.t1, jg18642.t1
N2.HOG0007997	OG0007630	n0	tr|A0A1X7VSF2|A0A1X7VSF2_AMPQE			jg29556.t1
N2.HOG0007998	OG0007631	n0	tr|A0A1X7VSG7|A0A1X7VSG7_AMPQE			jg27888.t1, jg27062.t1
N2.HOG0007999	OG0007632	n0	tr|A0A1X7VSH4|A0A1X7VSH4_AMPQE			jg19109.t1
N2.HOG0008000	OG0007633	n0	tr|A0A1X7VST9|A0A1X7VST9_AMPQE			jg29370.t2, jg29370.t1
N2.HOG0008001	OG0007634	n0	tr|A0A1X7VSU4|A0A1X7VSU4_AMPQE			jg29378.t1
N2.HOG0008002	OG0007635	n0	tr|A0A1X7VSV9|A0A1X7VSV9_AMPQE			jg30269.t1, jg24124.t1
N2.HOG0008003	OG0007636	n0	tr|A0A1X7VT20|A0A1X7VT20_AMPQE, tr|A0A1X7VVT6|A0A1X7VVT6_AMPQE			jg29771.t1
N2.HOG0008004	OG0007637	n0	tr|A0A1X7VT55|A0A1X7VT55_AMPQE, tr|A0A1X7VT38|A0A1X7VT38_AMPQE			jg29475.t1, jg29474.t1, jg496.t1
N2.HOG0008005	OG0007638	n0	tr|A0A1X7VT46|A0A1X7VT46_AMPQE			jg29755.t1
N2.HOG0008006	OG0007639	n0	tr|A0A1X7VT70|A0A1X7VT70_AMPQE			jg18923.t1, jg30336.t1
N2.HOG0008007	OG0007640	n0	tr|A0A1X7VT94|A0A1X7VT94_AMPQE			jg19447.t1, jg19446.t1, jg19446.t2
N2.HOG0008008	OG0007641	n0	tr|A0A1X7VT98|A0A1X7VT98_AMPQE			jg22181.t1, jg21326.t1
N2.HOG0008009	OG0007642	n0	tr|A0A1X7VTB8|A0A1X7VTB8_AMPQE			jg29875.t1, jg29875.t2
N2.HOG0008010	OG0007643	n0	tr|A0A1X7VTC1|A0A1X7VTC1_AMPQE			jg7174.t1
N2.HOG0008011	OG0007644	n0	tr|A0A1X7VTC6|A0A1X7VTC6_AMPQE			jg7169.t1, jg7168.t1
N2.HOG0008012	OG0007645	n0	tr|A0A1X7VTF9|A0A1X7VTF9_AMPQE			jg29438.t1
N2.HOG0008013	OG0007646	n0	tr|A0A1X7VTG5|A0A1X7VTG5_AMPQE			jg22296.t1, jg6677.t1
N2.HOG0008014	OG0007647	n0	tr|A0A1X7VTH8|A0A1X7VTH8_AMPQE			jg29589.t1
N2.HOG0008015	OG0007648	n0	tr|A0A1X7VTM4|A0A1X7VTM4_AMPQE			jg19111.t1
N2.HOG0008016	OG0007649	n0	tr|A0A1X7VTP7|A0A1X7VTP7_AMPQE			jg29799.t1, jg29798.t1
N2.HOG0008017	OG0007650	n0	tr|A0A1X7VTQ7|A0A1X7VTQ7_AMPQE			jg6987.t1
N2.HOG0008018	OG0007651	n0	tr|A0A1X7VTR2|A0A1X7VTR2_AMPQE			jg18597.t1
N2.HOG0008019	OG0007652	n0	tr|A0A1X7VTR5|A0A1X7VTR5_AMPQE			jg7988.t2, jg7988.t1
N2.HOG0008020	OG0007653	n0	tr|A0A1X7VTU4|A0A1X7VTU4_AMPQE			jg29563.t1
N2.HOG0008021	OG0007654	n0	tr|A0A1X7VTU7|A0A1X7VTU7_AMPQE			jg7101.t1
N2.HOG0008022	OG0007655	n0	tr|A0A1X7VV56|A0A1X7VV56_AMPQE, tr|A0A1X7VTW0|A0A1X7VTW0_AMPQE			jg29577.t1
N2.HOG0008023	OG0007656	n0	tr|A0A1X7VTX7|A0A1X7VTX7_AMPQE			jg29557.t1
N2.HOG0008024	OG0007657	n0	tr|A0A1X7VTZ1|A0A1X7VTZ1_AMPQE			jg27063.t1, jg27887.t1
N2.HOG0008025	OG0007658	n0	tr|A0A1X7VU00|A0A1X7VU00_AMPQE			jg29883.t1
N2.HOG0008026	OG0007659	n0	tr|A0A1X7VU33|A0A1X7VU33_AMPQE			jg7167.t1
N2.HOG0008027	OG0007660	n0	tr|A0A1X7VU34|A0A1X7VU34_AMPQE			jg29440.t1
N2.HOG0008028	OG0007661	n0	tr|A0A1X7VU47|A0A1X7VU47_AMPQE			jg29591.t1
N2.HOG0008029	OG0007662	n0	tr|A0A1X7VU65|A0A1X7VU65_AMPQE			jg29350.t1
N2.HOG0008030	OG0007663	n0	tr|A0A1X7VU68|A0A1X7VU68_AMPQE			jg6678.t1, jg22297.t1
N2.HOG0008031	OG0007664	n0	tr|A0A1X7VU79|A0A1X7VU79_AMPQE			jg29363.t1
N2.HOG0008032	OG0007665	n0	tr|A0A1X7VU81|A0A1X7VU81_AMPQE			jg22321.t1, jg6702.t1
N2.HOG0008033	OG0007666	n0	tr|A0A1X7VU87|A0A1X7VU87_AMPQE			jg29351.t1
N2.HOG0008034	OG0007667	n0	tr|A0A1X7VU89|A0A1X7VU89_AMPQE			jg22990.t1
N2.HOG0008035	OG0007668	n0	tr|A0A1X7VUA7|A0A1X7VUA7_AMPQE			jg29369.t2, jg29369.t1
N2.HOG0008036	OG0007669	n0	tr|A0A1X7VUB5|A0A1X7VUB5_AMPQE			jg22970.t1
N2.HOG0008037	OG0007670	n0	tr|A0A1X7VUF4|A0A1X7VUF4_AMPQE			jg29844.t1
N2.HOG0008038	OG0007671	n0	tr|A0A1X7VUG6|A0A1X7VUG6_AMPQE			jg7085.t1
N2.HOG0008039	OG0007672	n0	tr|A0A1X7VUG7|A0A1X7VUG7_AMPQE			jg29862.t1
N2.HOG0008040	OG0007673	n0	tr|A0A1X7VUJ3|A0A1X7VUJ3_AMPQE			jg2.t1, jg10856.t1, jg23088.t1
N2.HOG0008041	OG0007674	n0	tr|A0A1X7VUN0|A0A1X7VUN0_AMPQE			jg19445.t1
N2.HOG0008042	OG0007675	n0	tr|A0A1X7VUN7|A0A1X7VUN7_AMPQE			jg18042.t1
N2.HOG0008043	OG0007676	n0	tr|A0A1X7VUN8|A0A1X7VUN8_AMPQE			jg23643.t1
N2.HOG0008044	OG0007677	n0	tr|A0A1X7VUP2|A0A1X7VUP2_AMPQE			jg7199.t1
N2.HOG0008045	OG0007678	n0	tr|A0A1X7VUP9|A0A1X7VUP9_AMPQE			jg1189.t1, jg12966.t1
N2.HOG0008046	OG0007679	n0	tr|A0A1X7VUR9|A0A1X7VUR9_AMPQE			jg7165.t1
N2.HOG0008047	OG0007680	n0	tr|A0A1X7VUT8|A0A1X7VUT8_AMPQE			jg5907.t1
N2.HOG0008048	OG0007681	n0	tr|A0A1X7VUU9|A0A1X7VUU9_AMPQE			jg22300.t1, jg6681.t1
N2.HOG0008049	OG0007682	n0	tr|A0A1X7VUW8|A0A1X7VUW8_AMPQE			jg6927.t1
N2.HOG0008050	OG0007683	n0	tr|A0A1X7VUX0|A0A1X7VUX0_AMPQE			jg6931.t1
N2.HOG0008051	OG0007684	n0	tr|A0A1X7VUX8|A0A1X7VUX8_AMPQE			jg6935.t1
N2.HOG0008052	OG0007685	n0	tr|A0A1X7VUY7|A0A1X7VUY7_AMPQE			jg6946.t1
N2.HOG0008053	OG0007686	n0	tr|A0A1X7VUZ3|A0A1X7VUZ3_AMPQE			jg22969.t1
N2.HOG0008054	OG0007687	n0	tr|A0A1X7VV17|A0A1X7VV17_AMPQE			jg10862.t1
N2.HOG0008055	OG0007688	n0	tr|A0A1X7VV25|A0A1X7VV25_AMPQE			jg7265.t1, jg3157.t1
N2.HOG0008056	OG0007689	n0	tr|A0A1X7VV30|A0A1X7VV30_AMPQE			jg6989.t1
N2.HOG0008057	OG0007690	n0	tr|A0A1X7VV46|A0A1X7VV46_AMPQE			jg29409.t1
N2.HOG0008058	OG0007691	n0	tr|A0A1X7VV48|A0A1X7VV48_AMPQE			jg7084.t1
N2.HOG0008059	OG0007692	n0	tr|A0A1X7VV49|A0A1X7VV49_AMPQE			jg7083.t1
N2.HOG0008060	OG0007693	n0	tr|A0A1X7VV50|A0A1X7VV50_AMPQE			jg18072.t1, jg18073.t1
N2.HOG0008061	OG0007694	n0	tr|A0A1X7VV52|A0A1X7VV52_AMPQE			jg23108.t1, jg23105.t1
N2.HOG0008062	OG0007695	n0	tr|A0A1X7VV65|A0A1X7VV65_AMPQE			jg16926.t1
N2.HOG0008063	OG0007696	n0	tr|A0A1X7VV80|A0A1X7VV80_AMPQE			jg7039.t1
N2.HOG0008064	OG0007697	n0	tr|A0A1X7VV88|A0A1X7VV88_AMPQE			jg10816.t1
N2.HOG0008065	OG0007698	n0	tr|A0A1X7VVB0|A0A1X7VVB0_AMPQE			jg29874.t1
N2.HOG0008066	OG0007699	n0	tr|A0A1X7VVB2|A0A1X7VVB2_AMPQE			jg18043.t1
N2.HOG0008067	OG0007700	n0	tr|A0A1X7VVC0|A0A1X7VVC0_AMPQE			jg3731.t1
N2.HOG0008068	OG0007701	n0	tr|A0A1X7VVD2|A0A1X7VVD2_AMPQE			jg23645.t1
N2.HOG0008069	OG0007702	n0	tr|A0A1X7VVD8|A0A1X7VVD8_AMPQE			jg23649.t1
N2.HOG0008070	OG0007703	n0	tr|A0A1X7VVE9|A0A1X7VVE9_AMPQE			jg29434.t2, jg29434.t1
N2.HOG0008071	OG0007704	n0	tr|A0A1X7VVG8|A0A1X7VVG8_AMPQE			jg29592.t1
N2.HOG0008072	OG0007705	n0	tr|A0A1X7VVH5|A0A1X7VVH5_AMPQE			jg15712.t1
N2.HOG0008073	OG0007706	n0	tr|A0A1X7VVH8|A0A1X7VVH8_AMPQE			jg29585.t1
N2.HOG0008074	OG0007707	n0	tr|A0A1X7VVI5|A0A1X7VVI5_AMPQE			jg29349.t1
N2.HOG0008075	OG0007708	n0	tr|A0A1X7VVJ2|A0A1X7VVJ2_AMPQE			jg15729.t1
N2.HOG0008076	OG0007709	n0	tr|A0A1X7VVL0|A0A1X7VVL0_AMPQE			jg15715.t1
N2.HOG0008077	OG0007710	n0	tr|A0A1X7VVM5|A0A1X7VVM5_AMPQE, tr|A0A1X7VVL4|A0A1X7VVL4_AMPQE, tr|A0A1X7VWX5|A0A1X7VWX5_AMPQE			jg22987.t1, jg627.t1
N2.HOG0008078	OG0007711	n0	tr|A0A1X7VVP5|A0A1X7VVP5_AMPQE			jg24557.t1, jg24560.t1
N2.HOG0008079	OG0007712	n0	tr|A0A1X7VVQ1|A0A1X7VVQ1_AMPQE			jg17795.t1, jg24394.t1, jg24392.t1
N2.HOG0008080	OG0007713	n0	tr|A0A1X7VVQ7|A0A1X7VVQ7_AMPQE			jg10859.t1
N2.HOG0008081	OG0007714	n0	tr|A0A1X7VVQ9|A0A1X7VVQ9_AMPQE			jg10875.t1
N2.HOG0008082	OG0007715	n0	tr|A0A1X7VVR2|A0A1X7VVR2_AMPQE			jg11169.t1
N2.HOG0008083	OG0007716	n0	tr|A0A1X7VVS5|A0A1X7VVS5_AMPQE			jg18068.t1
N2.HOG0008084	OG0007717	n0	tr|A0A1X7VVT0|A0A1X7VVT0_AMPQE			jg25307.t1
N2.HOG0008085	OG0007718	n0	tr|A0A1X7VX56|A0A1X7VX56_AMPQE, tr|A0A1X7VVU2|A0A1X7VVU2_AMPQE			jg23103.t1
N2.HOG0008086	OG0007719	n0	tr|A0A1X7VVU3|A0A1X7VVU3_AMPQE			jg11157.t1
N2.HOG0008087	OG0007720	n1	tr|A0A1X7VVW5|A0A1X7VVW5_AMPQE			jg13737.t1
N2.HOG0008088	OG0007720	n3				jg5234.t1
N2.HOG0008089	OG0007721	n0	tr|A0A1X7VVY2|A0A1X7VVY2_AMPQE			jg11151.t1
N2.HOG0008090	OG0007722	n0	tr|A0A1X7VVY4|A0A1X7VVY4_AMPQE			jg16630.t1, jg16630.t2, jg1724.t1, jg1724.t2
N2.HOG0008091	OG0007723	n0	tr|A0A1X7VVZ8|A0A1X7VVZ8_AMPQE			jg18591.t1
N2.HOG0008092	OG0007724	n0	tr|A0A1X7VW01|A0A1X7VW01_AMPQE			jg10804.t1, jg10803.t1
N2.HOG0008093	OG0007725	n0	tr|A0A1X7VW04|A0A1X7VW04_AMPQE			jg10795.t1
N2.HOG0008094	OG0007726	n0	tr|A0A1X7VW31|A0A1X7VW31_AMPQE			jg7166.t1
N2.HOG0008095	OG0007727	n0	tr|A0A1X7VW32|A0A1X7VW32_AMPQE			jg25079.t1
N2.HOG0008096	OG0007728	n0	tr|A0A1X7VW38|A0A1X7VW38_AMPQE			jg18265.t1, jg18731.t1
N2.HOG0008097	OG0007729	n0	tr|A0A1X7VW41|A0A1X7VW41_AMPQE			jg18399.t1
N2.HOG0008098	OG0007730	n0	tr|A0A1X7VW51|A0A1X7VW51_AMPQE			jg17360.t1
N2.HOG0008099	OG0007731	n0	tr|A0A1X7VW58|A0A1X7VW58_AMPQE			jg24244.t1
N2.HOG0008100	OG0007732	n0	tr|A0A1X7VW61|A0A1X7VW61_AMPQE			jg15708.t1
N2.HOG0008101	OG0007733	n0	tr|A0A1X7VW72|A0A1X7VW72_AMPQE			jg12278.t1
N2.HOG0008102	OG0007734	n0	tr|A0A1X7VW81|A0A1X7VW81_AMPQE			jg6930.t1
N2.HOG0008103	OG0007735	n0	tr|A0A1X7VWE7|A0A1X7VWE7_AMPQE			jg17802.t1, jg17802.t2
N2.HOG0008104	OG0007736	n0	tr|A0A1X7VWE9|A0A1X7VWE9_AMPQE			jg18081.t1
N2.HOG0008105	OG0007737	n0	tr|A0A1X7VWF8|A0A1X7VWF8_AMPQE			jg18077.t1
N2.HOG0008106	OG0007738	n0	tr|A0A1X7VWG6|A0A1X7VWG6_AMPQE			jg7091.t1
N2.HOG0008107	OG0007739	n0	tr|A0A1X7VWH0|A0A1X7VWH0_AMPQE			jg7096.t1
N2.HOG0008108	OG0007740	n0	tr|A0A1X7VWH7|A0A1X7VWH7_AMPQE			jg16935.t1
N2.HOG0008109	OG0007741	n0	tr|A0A1X7VWI9|A0A1X7VWI9_AMPQE			jg24431.t1, jg27705.t1
N2.HOG0008110	OG0007742	n0	tr|A0A1X7VWK3|A0A1X7VWK3_AMPQE			jg18748.t1, jg13739.t1
N2.HOG0008111	OG0007743	n0	tr|A0A1X7VWL4|A0A1X7VWL4_AMPQE			jg22358.t1
N2.HOG0008112	OG0007744	n0	tr|A0A1X7VWT0|A0A1X7VWT0_AMPQE			jg4672.t1
N2.HOG0008113	OG0007745	n0	tr|A0A1X7VWT8|A0A1X7VWT8_AMPQE			jg4661.t1
N2.HOG0008114	OG0007746	n0	tr|A0A1X7VX04|A0A1X7VX04_AMPQE			jg22968.t1
N2.HOG0008115	OG0007747	n0	tr|A0A1X7VX17|A0A1X7VX17_AMPQE			jg10866.t1
N2.HOG0008116	OG0007748	n0	tr|A0A1X7VX32|A0A1X7VX32_AMPQE, tr|A0A1X7VXR3|A0A1X7VXR3_AMPQE			
N2.HOG0008117	OG0007749	n0	tr|A0A1X7VXB8|A0A1X7VXB8_AMPQE			jg30470.t1, jg15747.t1, jg29341.t1, jg29341.t2
N2.HOG0008118	OG0007750	n0	tr|A0A1X7VXE0|A0A1X7VXE0_AMPQE			jg25081.t1, jg25080.t1
N2.HOG0008119	OG0007751	n0	tr|A0A1X7VXE9|A0A1X7VXE9_AMPQE			jg17361.t2, jg17361.t1
N2.HOG0008120	OG0007752	n0	tr|A0A1X7VXK6|A0A1X7VXK6_AMPQE			jg23010.t1
N2.HOG0008121	OG0007753	n1	tr|A0A1X7VXN3|A0A1X7VXN3_AMPQE			jg15162.t1
N2.HOG0008122	OG0007753	n2	tr|A0A1X7VXQ7|A0A1X7VXQ7_AMPQE			jg26460.t1, jg28718.t1
N2.HOG0008123	OG0007754	n0	tr|A0A1X7VXQ6|A0A1X7VXQ6_AMPQE			jg18064.t1
N2.HOG0008124	OG0007755	n0	tr|A0A1X7VXR9|A0A1X7VXR9_AMPQE			jg16937.t1
N2.HOG0008125	OG0007756	n0	tr|A0A1X7VXS4|A0A1X7VXS4_AMPQE			jg16933.t1
N2.HOG0008126	OG0007757	n0	tr|A0A1X7VXZ0|A0A1X7VXZ0_AMPQE			jg3470.t1, jg7561.t1, jg4648.t1
N2.HOG0008127	OG0007758	n0	tr|B1A9Y0|B1A9Y0_AMPQE			jg12536.t1
N2.HOG0008128	OG0007759	n0	tr|I1FEY5|I1FEY5_AMPQE			jg16032.t1
N2.HOG0008129	OG0007760	n0	tr|I1FQ07|I1FQ07_AMPQE			jg8912.t1
N2.HOG0008130	OG0007761	n0	tr|I1G756|I1G756_AMPQE			jg29686.t1
N2.HOG0008131	OG0007773	n0				jg26254.t1, jg2002.t1, jg2000.t1
N2.HOG0008132	OG0007775	n0				jg172.t1, jg2195.t1, jg5750.t1, jg17100.t1
N2.HOG0008133	OG0007788	n0				jg25168.t1
N2.HOG0008134	OG0007862	n0				jg13515.t1
N2.HOG0008135	OG0007864	n0				jg16093.t1, jg26418.t1, jg15266.t1
N2.HOG0008136	OG0007865	n0				jg190.t1, jg193.t1
N2.HOG0008137	OG0007868	n0				jg30439.t1, jg6293.t1
N2.HOG0008138	OG0007890	n0				jg30294.t1, jg30293.t1, jg30295.t1, jg13851.t1
N2.HOG0008139	OG0007895	n0				jg7028.t1
N2.HOG0008140	OG0007897	n0				jg12817.t1
N2.HOG0008141	OG0007900	n0				jg7976.t1
N2.HOG0008142	OG0007938	n0				jg14726.t1
N2.HOG0008143	OG0007945	n0				jg8774.t1
N2.HOG0008144	OG0007946	n0				jg14284.t1, jg9793.t1, jg3538.t1
N2.HOG0008145	OG0007962	n0				jg26431.t1, jg7389.t1, jg23964.t1, jg15309.t1
N2.HOG0008146	OG0007970	n0				jg2963.t1, jg26996.t1
N2.HOG0008147	OG0007972	n0				jg8952.t2, jg8952.t1
N2.HOG0008148	OG0007979	n0				jg22250.t1, jg4021.t1, jg4001.t1
